"Statistic:   Number of Acceptances"
"Variables:   Acceptance Route , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_009_01.pdf"
 
Cycle Year,Acceptance Route , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'Firm choice' ","'UK' ",257690
2006 ,"'Firm choice' ","'EU (excluding UK)' ",12525
2006 ,"'Firm choice' ","'Not EU' ",16095
2006 ,"'Insurance choice' ","'UK' ",19135
2006 ,"'Insurance choice' ","'EU (excluding UK)' ",920
2006 ,"'Insurance choice' ","'Not EU' ",1770
2006 ,"'Other main scheme choice' ","'UK' ",11645
2006 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1930
2006 ,"'Other main scheme choice' ","'Not EU' ",3370
2006 ,"'Extra' ","'UK' ",2920
2006 ,"'Extra' ","'EU (excluding UK)' ",155
2006 ,"'Extra' ","'Not EU' ",190
2006 ,"'Main scheme Clearing' ","'UK' ",25495
2006 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1000
2006 ,"'Main scheme Clearing' ","'Not EU' ",2290
2006 ,"'Direct Clearing' ","'UK' ",8125
2006 ,"'Direct Clearing' ","'EU (excluding UK)' ",655
2006 ,"'Direct Clearing' ","'Not EU' ",460
2006 ,"'RPA' ","'UK' ",19350
2006 ,"'RPA' ","'EU (excluding UK)' ",1100
2006 ,"'RPA' ","'Not EU' ",4070
2007 ,"'Firm choice' ","'UK' ",271590
2007 ,"'Firm choice' ","'EU (excluding UK)' ",14735
2007 ,"'Firm choice' ","'Not EU' ",16650
2007 ,"'Insurance choice' ","'UK' ",20615
2007 ,"'Insurance choice' ","'EU (excluding UK)' ",1110
2007 ,"'Insurance choice' ","'Not EU' ",2025
2007 ,"'Other main scheme choice' ","'UK' ",12125
2007 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1760
2007 ,"'Other main scheme choice' ","'Not EU' ",3220
2007 ,"'Extra' ","'UK' ",3380
2007 ,"'Extra' ","'EU (excluding UK)' ",155
2007 ,"'Extra' ","'Not EU' ",230
2007 ,"'Main scheme Clearing' ","'UK' ",26425
2007 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1035
2007 ,"'Main scheme Clearing' ","'Not EU' ",2220
2007 ,"'Direct Clearing' ","'UK' ",8220
2007 ,"'Direct Clearing' ","'EU (excluding UK)' ",515
2007 ,"'Direct Clearing' ","'Not EU' ",440
2007 ,"'RPA' ","'UK' ",21015
2007 ,"'RPA' ","'EU (excluding UK)' ",1345
2007 ,"'RPA' ","'Not EU' ",4610
2008 ,"'Firm choice' ","'UK' ",297205
2008 ,"'Firm choice' ","'EU (excluding UK)' ",15155
2008 ,"'Firm choice' ","'Not EU' ",17855
2008 ,"'Insurance choice' ","'UK' ",23600
2008 ,"'Insurance choice' ","'EU (excluding UK)' ",1300
2008 ,"'Insurance choice' ","'Not EU' ",2300
2008 ,"'Other main scheme choice' ","'UK' ",13355
2008 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1500
2008 ,"'Other main scheme choice' ","'Not EU' ",2840
2008 ,"'Extra' ","'UK' ",4815
2008 ,"'Extra' ","'EU (excluding UK)' ",230
2008 ,"'Extra' ","'Not EU' ",280
2008 ,"'Main scheme Clearing' ","'UK' ",29635
2008 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1105
2008 ,"'Main scheme Clearing' ","'Not EU' ",2520
2008 ,"'Direct Clearing' ","'UK' ",9645
2008 ,"'Direct Clearing' ","'EU (excluding UK)' ",540
2008 ,"'Direct Clearing' ","'Not EU' ",445
2008 ,"'RPA' ","'UK' ",25600
2008 ,"'RPA' ","'EU (excluding UK)' ",1530
2008 ,"'RPA' ","'Not EU' ",5175
2009 ,"'Firm choice' ","'UK' ",308580
2009 ,"'Firm choice' ","'EU (excluding UK)' ",16915
2009 ,"'Firm choice' ","'Not EU' ",17965
2009 ,"'Insurance choice' ","'UK' ",29385
2009 ,"'Insurance choice' ","'EU (excluding UK)' ",1355
2009 ,"'Insurance choice' ","'Not EU' ",2560
2009 ,"'Other main scheme choice' ","'UK' ",17485
2009 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1970
2009 ,"'Other main scheme choice' ","'Not EU' ",3065
2009 ,"'Extra' ","'UK' ",5005
2009 ,"'Extra' ","'EU (excluding UK)' ",300
2009 ,"'Extra' ","'Not EU' ",315
2009 ,"'Adjustment' ","'UK' ",340
2009 ,"'Adjustment' ","'EU (excluding UK)' ",10
2009 ,"'Adjustment' ","'Not EU' ",30
2009 ,"'Main scheme Clearing' ","'UK' ",32920
2009 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1250
2009 ,"'Main scheme Clearing' ","'Not EU' ",2690
2009 ,"'Direct Clearing' ","'UK' ",9870
2009 ,"'Direct Clearing' ","'EU (excluding UK)' ",475
2009 ,"'Direct Clearing' ","'Not EU' ",465
2009 ,"'RPA' ","'UK' ",20375
2009 ,"'RPA' ","'EU (excluding UK)' ",1520
2009 ,"'RPA' ","'Not EU' ",7000
2010 ,"'Firm choice' ","'UK' ",319610
2010 ,"'Firm choice' ","'EU (excluding UK)' ",18990
2010 ,"'Firm choice' ","'Not EU' ",20200
2010 ,"'Insurance choice' ","'UK' ",32955
2010 ,"'Insurance choice' ","'EU (excluding UK)' ",1740
2010 ,"'Insurance choice' ","'Not EU' ",2770
2010 ,"'Other main scheme choice' ","'UK' ",10060
2010 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1260
2010 ,"'Other main scheme choice' ","'Not EU' ",2405
2010 ,"'Extra' ","'UK' ",6280
2010 ,"'Extra' ","'EU (excluding UK)' ",355
2010 ,"'Extra' ","'Not EU' ",385
2010 ,"'Adjustment' ","'UK' ",320
2010 ,"'Adjustment' ","'EU (excluding UK)' ",10
2010 ,"'Adjustment' ","'Not EU' ",45
2010 ,"'Main scheme Clearing' ","'UK' ",34900
2010 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1355
2010 ,"'Main scheme Clearing' ","'Not EU' ",2705
2010 ,"'Direct Clearing' ","'UK' ",7070
2010 ,"'Direct Clearing' ","'EU (excluding UK)' ",405
2010 ,"'Direct Clearing' ","'Not EU' ",495
2010 ,"'RPA' ","'UK' ",12235
2010 ,"'RPA' ","'EU (excluding UK)' ",1490
2010 ,"'RPA' ","'Not EU' ",9290
2011 ,"'Firm choice' ","'UK' ",319175
2011 ,"'Firm choice' ","'EU (excluding UK)' ",20525
2011 ,"'Firm choice' ","'Not EU' ",21070
2011 ,"'Insurance choice' ","'UK' ",35555
2011 ,"'Insurance choice' ","'EU (excluding UK)' ",2030
2011 ,"'Insurance choice' ","'Not EU' ",2795
2011 ,"'Other main scheme choice' ","'UK' ",10375
2011 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1270
2011 ,"'Other main scheme choice' ","'Not EU' ",2545
2011 ,"'Extra' ","'UK' ",8645
2011 ,"'Extra' ","'EU (excluding UK)' ",440
2011 ,"'Extra' ","'Not EU' ",450
2011 ,"'Adjustment' ","'UK' ",505
2011 ,"'Adjustment' ","'EU (excluding UK)' ",10
2011 ,"'Adjustment' ","'Not EU' ",40
2011 ,"'Main scheme Clearing' ","'UK' ",39150
2011 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1225
2011 ,"'Main scheme Clearing' ","'Not EU' ",2665
2011 ,"'Direct Clearing' ","'UK' ",7335
2011 ,"'Direct Clearing' ","'EU (excluding UK)' ",325
2011 ,"'Direct Clearing' ","'Not EU' ",470
2011 ,"'RPA' ","'UK' ",9330
2011 ,"'RPA' ","'EU (excluding UK)' ",870
