"Statistic:   Number of Acceptances"
"Variables:   Acceptance Route , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_010_01.pdf"
 
Cycle Year,Acceptance Route , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'Firm choice' ","'England' ",214695
2006 ,"'Firm choice' ","'Northern Ireland' ",9385
2006 ,"'Firm choice' ","'Scotland' ",20705
2006 ,"'Firm choice' ","'Wales' ",12905
2006 ,"'Insurance choice' ","'England' ",15550
2006 ,"'Insurance choice' ","'Northern Ireland' ",1440
2006 ,"'Insurance choice' ","'Scotland' ",1405
2006 ,"'Insurance choice' ","'Wales' ",735
2006 ,"'Other main scheme choice' ","'England' ",9880
2006 ,"'Other main scheme choice' ","'Northern Ireland' ",200
2006 ,"'Other main scheme choice' ","'Scotland' ",1015
2006 ,"'Other main scheme choice' ","'Wales' ",550
2006 ,"'Extra' ","'England' ",2515
2006 ,"'Extra' ","'Northern Ireland' ",100
2006 ,"'Extra' ","'Scotland' ",135
2006 ,"'Extra' ","'Wales' ",170
2006 ,"'Main scheme Clearing' ","'England' ",21855
2006 ,"'Main scheme Clearing' ","'Northern Ireland' ",990
2006 ,"'Main scheme Clearing' ","'Scotland' ",1550
2006 ,"'Main scheme Clearing' ","'Wales' ",1100
2006 ,"'Direct Clearing' ","'England' ",7040
2006 ,"'Direct Clearing' ","'Northern Ireland' ",145
2006 ,"'Direct Clearing' ","'Scotland' ",435
2006 ,"'Direct Clearing' ","'Wales' ",505
2006 ,"'RPA' ","'England' ",16495
2006 ,"'RPA' ","'Northern Ireland' ",125
2006 ,"'RPA' ","'Scotland' ",1555
2006 ,"'RPA' ","'Wales' ",1175
2007 ,"'Firm choice' ","'England' ",227160
2007 ,"'Firm choice' ","'Northern Ireland' ",10230
2007 ,"'Firm choice' ","'Scotland' ",20955
2007 ,"'Firm choice' ","'Wales' ",13245
2007 ,"'Insurance choice' ","'England' ",17160
2007 ,"'Insurance choice' ","'Northern Ireland' ",1245
2007 ,"'Insurance choice' ","'Scotland' ",1405
2007 ,"'Insurance choice' ","'Wales' ",805
2007 ,"'Other main scheme choice' ","'England' ",10380
2007 ,"'Other main scheme choice' ","'Northern Ireland' ",225
2007 ,"'Other main scheme choice' ","'Scotland' ",995
2007 ,"'Other main scheme choice' ","'Wales' ",525
2007 ,"'Extra' ","'England' ",2940
2007 ,"'Extra' ","'Northern Ireland' ",145
2007 ,"'Extra' ","'Scotland' ",140
2007 ,"'Extra' ","'Wales' ",160
2007 ,"'Main scheme Clearing' ","'England' ",23015
2007 ,"'Main scheme Clearing' ","'Northern Ireland' ",890
2007 ,"'Main scheme Clearing' ","'Scotland' ",1490
2007 ,"'Main scheme Clearing' ","'Wales' ",1035
2007 ,"'Direct Clearing' ","'England' ",7055
2007 ,"'Direct Clearing' ","'Northern Ireland' ",210
2007 ,"'Direct Clearing' ","'Scotland' ",445
2007 ,"'Direct Clearing' ","'Wales' ",510
2007 ,"'RPA' ","'England' ",18075
2007 ,"'RPA' ","'Northern Ireland' ",55
2007 ,"'RPA' ","'Scotland' ",1790
2007 ,"'RPA' ","'Wales' ",1090
2008 ,"'Firm choice' ","'England' ",251120
2008 ,"'Firm choice' ","'Northern Ireland' ",10780
2008 ,"'Firm choice' ","'Scotland' ",21345
2008 ,"'Firm choice' ","'Wales' ",13960
2008 ,"'Insurance choice' ","'England' ",20160
2008 ,"'Insurance choice' ","'Northern Ireland' ",1090
2008 ,"'Insurance choice' ","'Scotland' ",1510
2008 ,"'Insurance choice' ","'Wales' ",840
2008 ,"'Other main scheme choice' ","'England' ",11585
2008 ,"'Other main scheme choice' ","'Northern Ireland' ",195
2008 ,"'Other main scheme choice' ","'Scotland' ",1035
