"Statistic:   Number of Acceptances"
"Variables:   Age Band , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_012_01.pdf"
 
Cycle Year,Age Band , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'17 and under' ","'UK' ",2020
2006 ,"'17 and under' ","'EU (excluding UK)' ",1330
2006 ,"'17 and under' ","'Not EU' ",1345
2006 ,"'18' ","'UK' ",194205
2006 ,"'18' ","'EU (excluding UK)' ",4495
2006 ,"'18' ","'Not EU' ",6725
2006 ,"'19' ","'UK' ",57225
2006 ,"'19' ","'EU (excluding UK)' ",3635
2006 ,"'19' ","'Not EU' ",6585
2006 ,"'20' ","'UK' ",22545
2006 ,"'20' ","'EU (excluding UK)' ",2610
2006 ,"'20' ","'Not EU' ",4050
2006 ,"'21 and over' ","'UK' ",68370
2006 ,"'21 and over' ","'EU (excluding UK)' ",6210
2006 ,"'21 and over' ","'Not EU' ",9545
2007 ,"'17 and under' ","'UK' ",2145
2007 ,"'17 and under' ","'EU (excluding UK)' ",1550
2007 ,"'17 and under' ","'Not EU' ",1410
2007 ,"'18' ","'UK' ",194635
2007 ,"'18' ","'EU (excluding UK)' ",5115
2007 ,"'18' ","'Not EU' ",7295
2007 ,"'19' ","'UK' ",69485
2007 ,"'19' ","'EU (excluding UK)' ",4600
2007 ,"'19' ","'Not EU' ",7010
2007 ,"'20' ","'UK' ",24445
2007 ,"'20' ","'EU (excluding UK)' ",2980
2007 ,"'20' ","'Not EU' ",4295
2007 ,"'21 and over' ","'UK' ",72660
2007 ,"'21 and over' ","'EU (excluding UK)' ",6415
2007 ,"'21 and over' ","'Not EU' ",9390
2008 ,"'17 and under' ","'UK' ",2290
2008 ,"'17 and under' ","'EU (excluding UK)' ",1390
2008 ,"'17 and under' ","'Not EU' ",1575
2008 ,"'18' ","'UK' ",207215
2008 ,"'18' ","'EU (excluding UK)' ",5680
2008 ,"'18' ","'Not EU' ",7765
2008 ,"'19' ","'UK' ",75660
2008 ,"'19' ","'EU (excluding UK)' ",5160
2008 ,"'19' ","'Not EU' ",7815
2008 ,"'20' ","'UK' ",29980
2008 ,"'20' ","'EU (excluding UK)' ",3070
2008 ,"'20' ","'Not EU' ",4890
2008 ,"'21 and over' ","'UK' ",88710
2008 ,"'21 and over' ","'EU (excluding UK)' ",6070
2008 ,"'21 and over' ","'Not EU' ",9365
2009 ,"'17 and under' ","'UK' ",2145
2009 ,"'17 and under' ","'EU (excluding UK)' ",1520
2009 ,"'17 and under' ","'Not EU' ",1680
2009 ,"'18' ","'UK' ",214260
2009 ,"'18' ","'EU (excluding UK)' ",6215
2009 ,"'18' ","'Not EU' ",8355
2009 ,"'19' ","'UK' ",80335
2009 ,"'19' ","'EU (excluding UK)' ",6200
2009 ,"'19' ","'Not EU' ",8395
2009 ,"'20' ","'UK' ",30750
2009 ,"'20' ","'EU (excluding UK)' ",3505
2009 ,"'20' ","'Not EU' ",5495
2009 ,"'21 and over' ","'UK' ",96460
2009 ,"'21 and over' ","'EU (excluding UK)' ",6365
2009 ,"'21 and over' ","'Not EU' ",10170
2010 ,"'17 and under' ","'UK' ",1715
