"Statistic:   Number of Applicants"
"Variables:   Age Band , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_012_04.pdf"
 
Cycle Year,Age Band , Applicant Domicile (UK / EU / Not EU),Number of Applicants,
2006 ,"'17 and under' ","'UK' ",2860
2006 ,"'17 and under' ","'EU (excluding UK)' ",2480
2006 ,"'17 and under' ","'Not EU' ",2450
2006 ,"'18' ","'UK' ",229930
2006 ,"'18' ","'EU (excluding UK)' ",7695
2006 ,"'18' ","'Not EU' ",10675
2006 ,"'19' ","'UK' ",68455
2006 ,"'19' ","'EU (excluding UK)' ",5905
2006 ,"'19' ","'Not EU' ",10075
2006 ,"'20' ","'UK' ",28875
2006 ,"'20' ","'EU (excluding UK)' ",3940
2006 ,"'20' ","'Not EU' ",6210
2006 ,"'21 and over' ","'UK' ",100650
2006 ,"'21 and over' ","'EU (excluding UK)' ",9910
2006 ,"'21 and over' ","'Not EU' ",16190
2007 ,"'17 and under' ","'UK' ",2975
2007 ,"'17 and under' ","'EU (excluding UK)' ",2750
2007 ,"'17 and under' ","'Not EU' ",2780
2007 ,"'18' ","'UK' ",231270
2007 ,"'18' ","'EU (excluding UK)' ",8560
2007 ,"'18' ","'Not EU' ",11945
2007 ,"'19' ","'UK' ",82375
2007 ,"'19' ","'EU (excluding UK)' ",7495
2007 ,"'19' ","'Not EU' ",10975
2007 ,"'20' ","'UK' ",31110
2007 ,"'20' ","'EU (excluding UK)' ",4495
2007 ,"'20' ","'Not EU' ",6655
2007 ,"'21 and over' ","'UK' ",105010
2007 ,"'21 and over' ","'EU (excluding UK)' ",10325
2007 ,"'21 and over' ","'Not EU' ",15775
2008 ,"'17 and under' ","'UK' ",3195
2008 ,"'17 and under' ","'EU (excluding UK)' ",2510
2008 ,"'17 and under' ","'Not EU' ",3120
2008 ,"'18' ","'UK' ",244070
2008 ,"'18' ","'EU (excluding UK)' ",9360
2008 ,"'18' ","'Not EU' ",13125
2008 ,"'19' ","'UK' ",89135
2008 ,"'19' ","'EU (excluding UK)' ",8240
2008 ,"'19' ","'Not EU' ",12565
2008 ,"'20' ","'UK' ",37825
2008 ,"'20' ","'EU (excluding UK)' ",4665
2008 ,"'20' ","'Not EU' ",7695
2008 ,"'21 and over' ","'UK' ",126845
2008 ,"'21 and over' ","'EU (excluding UK)' ",9755
2008 ,"'21 and over' ","'Not EU' ",16580
2009 ,"'17 and under' ","'UK' ",3125
2009 ,"'17 and under' ","'EU (excluding UK)' ",2775
2009 ,"'17 and under' ","'Not EU' ",3390
2009 ,"'18' ","'UK' ",257090
2009 ,"'18' ","'EU (excluding UK)' ",10580
2009 ,"'18' ","'Not EU' ",14365
2009 ,"'19' ","'UK' ",96300
2009 ,"'19' ","'EU (excluding UK)' ",10085
2009 ,"'19' ","'Not EU' ",13460
2009 ,"'20' ","'UK' ",40285
2009 ,"'20' ","'EU (excluding UK)' ",5460
2009 ,"'20' ","'Not EU' ",8645
2009 ,"'21 and over' ","'UK' ",146110
2009 ,"'21 and over' ","'EU (excluding UK)' ",10605
2009 ,"'21 and over' ","'Not EU' ",17580
2010 ,"'17 and under' ","'UK' ",2795
