"Statistic:   Number of Acceptances"
"Variables:   Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_013_01.pdf"
 
Cycle Year,Age Band , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'17 and under' ","'England' ",1095
2006 ,"'17 and under' ","'Northern Ireland' ",60
2006 ,"'17 and under' ","'Scotland' ",810
2006 ,"'17 and under' ","'Wales' ",55
2006 ,"'18' ","'England' ",161495
2006 ,"'18' ","'Northern Ireland' ",8670
2006 ,"'18' ","'Scotland' ",14130
2006 ,"'18' ","'Wales' ",9910
2006 ,"'19' ","'England' ",49950
2006 ,"'19' ","'Northern Ireland' ",1480
2006 ,"'19' ","'Scotland' ",3180
2006 ,"'19' ","'Wales' ",2610
2006 ,"'20' ","'England' ",18935
2006 ,"'20' ","'Northern Ireland' ",625
2006 ,"'20' ","'Scotland' ",1985
2006 ,"'20' ","'Wales' ",1000
2006 ,"'21 and over' ","'England' ",56555
2006 ,"'21 and over' ","'Northern Ireland' ",1555
2006 ,"'21 and over' ","'Scotland' ",6700
2006 ,"'21 and over' ","'Wales' ",3565
2007 ,"'17 and under' ","'England' ",1175
2007 ,"'17 and under' ","'Northern Ireland' ",55
2007 ,"'17 and under' ","'Scotland' ",855
2007 ,"'17 and under' ","'Wales' ",60
2007 ,"'18' ","'England' ",162585
2007 ,"'18' ","'Northern Ireland' ",8855
2007 ,"'18' ","'Scotland' ",13700
2007 ,"'18' ","'Wales' ",9495
2007 ,"'19' ","'England' ",61300
2007 ,"'19' ","'Northern Ireland' ",1755
2007 ,"'19' ","'Scotland' ",3405
2007 ,"'19' ","'Wales' ",3020
2007 ,"'20' ","'England' ",20550
2007 ,"'20' ","'Northern Ireland' ",670
2007 ,"'20' ","'Scotland' ",2125
2007 ,"'20' ","'Wales' ",1100
2007 ,"'21 and over' ","'England' ",60170
2007 ,"'21 and over' ","'Northern Ireland' ",1670
2007 ,"'21 and over' ","'Scotland' ",7130
2007 ,"'21 and over' ","'Wales' ",3690
2008 ,"'17 and under' ","'England' ",1285
2008 ,"'17 and under' ","'Northern Ireland' ",40
2008 ,"'17 and under' ","'Scotland' ",915
2008 ,"'17 and under' ","'Wales' ",50
2008 ,"'18' ","'England' ",173825
2008 ,"'18' ","'Northern Ireland' ",8945
2008 ,"'18' ","'Scotland' ",14520
2008 ,"'18' ","'Wales' ",9925
2008 ,"'19' ","'England' ",67130
2008 ,"'19' ","'Northern Ireland' ",1840
2008 ,"'19' ","'Scotland' ",3505
2008 ,"'19' ","'Wales' ",3185
2008 ,"'20' ","'England' ",25595
2008 ,"'20' ","'Northern Ireland' ",800
2008 ,"'20' ","'Scotland' ",2295
2008 ,"'20' ","'Wales' ",1290
2008 ,"'21 and over' ","'England' ",74605
2008 ,"'21 and over' ","'Northern Ireland' ",1805
2008 ,"'21 and over' ","'Scotland' ",8155
2008 ,"'21 and over' ","'Wales' ",4145
2009 ,"'17 and under' ","'England' ",1180
2009 ,"'17 and under' ","'Northern Ireland' ",50
2009 ,"'17 and under' ","'Scotland' ",865
2009 ,"'17 and under' ","'Wales' ",55
2009 ,"'18' ","'England' ",179340
2009 ,"'18' ","'Northern Ireland' ",9280
2009 ,"'18' ","'Scotland' ",15060
2009 ,"'18' ","'Wales' ",10580
2009 ,"'19' ","'England' ",71260
2009 ,"'19' ","'Northern Ireland' ",1685
2009 ,"'19' ","'Scotland' ",3940
2009 ,"'19' ","'Wales' ",3450
2009 ,"'20' ","'England' ",26165
2009 ,"'20' ","'Northern Ireland' ",810
2009 ,"'20' ","'Scotland' ",2415
2009 ,"'20' ","'Wales' ",1355
2009 ,"'21 and over' ","'England' ",81180
2009 ,"'21 and over' ","'Northern Ireland' ",1780
2009 ,"'21 and over' ","'Scotland' ",8745
2009 ,"'21 and over' ","'Wales' ",4760
2010 ,"'17 and under' ","'England' ",995
2010 ,"'17 and under' ","'Northern Ireland' ",40
2010 ,"'17 and under' ","'Scotland' ",640
2010 ,"'17 and under' ","'Wales' ",40
2010 ,"'18' ","'England' ",179090
2010 ,"'18' ","'Northern Ireland' ",8735
2010 ,"'18' ","'Scotland' ",15370
2010 ,"'18' ","'Wales' ",9925
2010 ,"'19' ","'England' ",74715
2010 ,"'19' ","'Northern Ireland' ",1840
2010 ,"'19' ","'Scotland' ",4095
2010 ,"'19' ","'Wales' ",3420
2010 ,"'20' ","'England' ",26145
2010 ,"'20' ","'Northern Ireland' ",820
2010 ,"'20' ","'Scotland' ",2425
2010 ,"'20' ","'Wales' ",1205
2010 ,"'21 and over' ","'England' ",78060
2010 ,"'21 and over' ","'Northern Ireland' ",2065
2010 ,"'21 and over' ","'Scotland' ",9715
2010 ,"'21 and over' ","'Wales' ",4085
2011 ,"'17 and under' ","'England' ",865
2011 ,"'17 and under' ","'Northern Ireland' ",35
2011 ,"'17 and under' ","'Scotland' ",545
2011 ,"'17 and under' ","'Wales' ",40
2011 ,"'18' ","'England' ",185275
2011 ,"'18' ","'Northern Ireland' ",8590
2011 ,"'18' ","'Scotland' ",14250
2011 ,"'18' ","'Wales' ",9545
2011 ,"'19' ","'England' ",78390
2011 ,"'19' ","'Northern Ireland' ",2205
2011 ,"'19' ","'Scotland' ",3960
2011 ,"'19' ","'Wales' ",3495
2011 ,"'20' ","'England' ",26855
2011 ,"'20' ","'Northern Ireland' ",900
2011 ,"'20' ","'Scotland' ",2370
2011 ,"'20' ","'Wales' ",1295
2011 ,"'21 and over' ","'England' ",75765
2011 ,"'21 and over' ","'Northern Ireland' ",2060
2011 ,"'21 and over' ","'Scotland' ",9680
2011 ,"'21 and over' ","'Wales' ",3950
2012 ,"'17 and under' ","'England' ",730
2012 ,"'17 and under' ","'Northern Ireland' ",40
2012 ,"'17 and under' ","'Scotland' ",575
2012 ,"'17 and under' ","'Wales' ",30
2012 ,"'18' ","'England' ",179370
2012 ,"'18' ","'Northern Ireland' ",8415
2012 ,"'18' ","'Scotland' ",14455
2012 ,"'18' ","'Wales' ",9865
2012 ,"'19' ","'England' ",66325
2012 ,"'19' ","'Northern Ireland' ",1940
2012 ,"'19' ","'Scotland' ",4335
2012 ,"'19' ","'Wales' ",3675
2012 ,"'20' ","'England' ",24565
2012 ,"'20' ","'Northern Ireland' ",940
2012 ,"'20' ","'Scotland' ",2585
2012 ,"'20' ","'Wales' ",1465
2012 ,"'21 and over' ","'England' ",71765
2012 ,"'21 and over' ","'Northern Ireland' ",1945
2012 ,"'21 and over' ","'Scotland' ",8950
2012 ,"'21 and over' ","'Wales' ",4270
2013 ,"'17 and under' ","'England' ",775
2013 ,"'17 and under' ","'Northern Ireland' ",25
2013 ,"'17 and under' ","'Scotland' ",485
2013 ,"'17 and under' ","'Wales' ",40
2013 ,"'18' ","'England' ",186260
2013 ,"'18' ","'Northern Ireland' ",8755
2013 ,"'18' ","'Scotland' ",14505
2013 ,"'18' ","'Wales' ",9800
2013 ,"'19' ","'England' ",77685
2013 ,"'19' ","'Northern Ireland' ",2305
2013 ,"'19' ","'Scotland' ",4175
2013 ,"'19' ","'Wales' ",3785
2013 ,"'20' ","'England' ",26505
2013 ,"'20' ","'Northern Ireland' ",1095
2013 ,"'20' ","'Scotland' ",2835
2013 ,"'20' ","'Wales' ",1440
2013 ,"'21 and over' ","'England' ",76670
2013 ,"'21 and over' ","'Northern Ireland' ",2380
2013 ,"'21 and over' ","'Scotland' ",9495
2013 ,"'21 and over' ","'Wales' ",4595
2014 ,"'17 and under' ","'England' ",805
2014 ,"'17 and under' ","'Northern Ireland' ",20
2014 ,"'17 and under' ","'Scotland' ",370
2014 ,"'17 and under' ","'Wales' ",25
2014 ,"'18' ","'England' ",191680
2014 ,"'18' ","'Northern Ireland' ",8450
2014 ,"'18' ","'Scotland' ",14280
2014 ,"'18' ","'Wales' ",10145
2014 ,"'19' ","'England' ",79105
2014 ,"'19' ","'Northern Ireland' ",2330
2014 ,"'19' ","'Scotland' ",4005
2014 ,"'19' ","'Wales' ",3895
2014 ,"'20' ","'England' ",28330
2014 ,"'20' ","'Northern Ireland' ",1190
2014 ,"'20' ","'Scotland' ",2690
2014 ,"'20' ","'Wales' ",1430
2014 ,"'21 and over' ","'England' ",82595
2014 ,"'21 and over' ","'Northern Ireland' ",2460
2014 ,"'21 and over' ","'Scotland' ",8975
2014 ,"'21 and over' ","'Wales' ",4670
2015 ,"'17 and under' ","'England' ",825
2015 ,"'17 and under' ","'Northern Ireland' ",20
2015 ,"'17 and under' ","'Scotland' ",550
2015 ,"'17 and under' ","'Wales' ",20
2015 ,"'18' ","'England' ",201675
2015 ,"'18' ","'Northern Ireland' ",8315
2015 ,"'18' ","'Scotland' ",14735
2015 ,"'18' ","'Wales' ",10630
2015 ,"'19' ","'England' ",81270
2015 ,"'19' ","'Northern Ireland' ",2255
2015 ,"'19' ","'Scotland' ",4400
2015 ,"'19' ","'Wales' ",3830
2015 ,"'20' ","'England' ",27525
2015 ,"'20' ","'Northern Ireland' ",1065
2015 ,"'20' ","'Scotland' ",2950
2015 ,"'20' ","'Wales' ",1430
2015 ,"'21 and over' ","'England' ",83080
2015 ,"'21 and over' ","'Northern Ireland' ",2395
2015 ,"'21 and over' ","'Scotland' ",12140
2015 ,"'21 and over' ","'Wales' ",4595
2016 ,"'17 and under' ","'England' ",815
2016 ,"'17 and under' ","'Northern Ireland' ",30
2016 ,"'17 and under' ","'Scotland' ",565
2016 ,"'17 and under' ","'Wales' ",25
2016 ,"'18' ","'England' ",204845
2016 ,"'18' ","'Northern Ireland' ",8520
2016 ,"'18' ","'Scotland' ",14875
2016 ,"'18' ","'Wales' ",10700
2016 ,"'19' ","'England' ",81000
2016 ,"'19' ","'Northern Ireland' ",2705
2016 ,"'19' ","'Scotland' ",4580
2016 ,"'19' ","'Wales' ",3960
2016 ,"'20' ","'England' ",26950
2016 ,"'20' ","'Northern Ireland' ",1125
2016 ,"'20' ","'Scotland' ",3000
2016 ,"'20' ","'Wales' ",1400
2016 ,"'21 and over' ","'England' ",80685
2016 ,"'21 and over' ","'Northern Ireland' ",2415
