"Statistic:   Number of Acceptances"
"Variables:   Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_013_05.pdf"
 
Cycle Year,Age Band , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'17 and under' ","'England' ",1020
2006 ,"'17 and under' ","'Northern Ireland' ",55
2006 ,"'17 and under' ","'Scotland' ",670
2006 ,"'17 and under' ","'Wales' ",50
2006 ,"'18' ","'England' ",158825
2006 ,"'18' ","'Northern Ireland' ",8640
2006 ,"'18' ","'Scotland' ",13995
2006 ,"'18' ","'Wales' ",9640
2006 ,"'19' ","'England' ",46285
2006 ,"'19' ","'Northern Ireland' ",1405
2006 ,"'19' ","'Scotland' ",2880
2006 ,"'19' ","'Wales' ",2320
2006 ,"'20' ","'England' ",15900
2006 ,"'20' ","'Northern Ireland' ",560
2006 ,"'20' ","'Scotland' ",1715
2006 ,"'20' ","'Wales' ",820
2006 ,"'21 and over' ","'England' ",42460
2006 ,"'21 and over' ","'Northern Ireland' ",1450
2006 ,"'21 and over' ","'Scotland' ",5545
2006 ,"'21 and over' ","'Wales' ",2635
2007 ,"'17 and under' ","'England' ",1045
2007 ,"'17 and under' ","'Northern Ireland' ",55
2007 ,"'17 and under' ","'Scotland' ",690
2007 ,"'17 and under' ","'Wales' ",50
2007 ,"'18' ","'England' ",159900
2007 ,"'18' ","'Northern Ireland' ",8835
2007 ,"'18' ","'Scotland' ",13520
2007 ,"'18' ","'Wales' ",9280
2007 ,"'19' ","'England' ",57205
2007 ,"'19' ","'Northern Ireland' ",1665
2007 ,"'19' ","'Scotland' ",3105
2007 ,"'19' ","'Wales' ",2740
2007 ,"'20' ","'England' ",17290
2007 ,"'20' ","'Northern Ireland' ",625
2007 ,"'20' ","'Scotland' ",1830
2007 ,"'20' ","'Wales' ",900
2007 ,"'21 and over' ","'England' ",45215
2007 ,"'21 and over' ","'Northern Ireland' ",1555
2007 ,"'21 and over' ","'Scotland' ",5840
2007 ,"'21 and over' ","'Wales' ",2795
2008 ,"'17 and under' ","'England' ",1100
2008 ,"'17 and under' ","'Northern Ireland' ",40
2008 ,"'17 and under' ","'Scotland' ",630
2008 ,"'17 and under' ","'Wales' ",40
2008 ,"'18' ","'England' ",171050
2008 ,"'18' ","'Northern Ireland' ",8930
2008 ,"'18' ","'Scotland' ",13990
2008 ,"'18' ","'Wales' ",9660
2008 ,"'19' ","'England' ",62770
2008 ,"'19' ","'Northern Ireland' ",1730
2008 ,"'19' ","'Scotland' ",3015
2008 ,"'19' ","'Wales' ",2885
2008 ,"'20' ","'England' ",21740
2008 ,"'20' ","'Northern Ireland' ",725
2008 ,"'20' ","'Scotland' ",1925
2008 ,"'20' ","'Wales' ",1060
2008 ,"'21 and over' ","'England' ",56595
2008 ,"'21 and over' ","'Northern Ireland' ",1650
2008 ,"'21 and over' ","'Scotland' ",6060
2008 ,"'21 and over' ","'Wales' ",3020
2009 ,"'17 and under' ","'England' ",1070
2009 ,"'17 and under' ","'Northern Ireland' ",50
2009 ,"'17 and under' ","'Scotland' ",595
2009 ,"'17 and under' ","'Wales' ",40
2009 ,"'18' ","'England' ",177095
2009 ,"'18' ","'Northern Ireland' ",9270
2009 ,"'18' ","'Scotland' ",14560
2009 ,"'18' ","'Wales' ",10365
2009 ,"'19' ","'England' ",67715
2009 ,"'19' ","'Northern Ireland' ",1585
2009 ,"'19' ","'Scotland' ",3395
2009 ,"'19' ","'Wales' ",3180
2009 ,"'20' ","'England' ",23000
2009 ,"'20' ","'Northern Ireland' ",740
2009 ,"'20' ","'Scotland' ",2020
2009 ,"'20' ","'Wales' ",1125
2009 ,"'21 and over' ","'England' ",65865
2009 ,"'21 and over' ","'Northern Ireland' ",1670
2009 ,"'21 and over' ","'Scotland' ",6685
2009 ,"'21 and over' ","'Wales' ",3680
2010 ,"'17 and under' ","'England' ",930
2010 ,"'17 and under' ","'Northern Ireland' ",40
2010 ,"'17 and under' ","'Scotland' ",505
2010 ,"'17 and under' ","'Wales' ",35
2010 ,"'18' ","'England' ",178070
2010 ,"'18' ","'Northern Ireland' ",8725
2010 ,"'18' ","'Scotland' ",14870
2010 ,"'18' ","'Wales' ",9830
2010 ,"'19' ","'England' ",72545
2010 ,"'19' ","'Northern Ireland' ",1805
2010 ,"'19' ","'Scotland' ",3665
2010 ,"'19' ","'Wales' ",3245
2010 ,"'20' ","'England' ",24015
2010 ,"'20' ","'Northern Ireland' ",795
2010 ,"'20' ","'Scotland' ",2160
2010 ,"'20' ","'Wales' ",1045
2010 ,"'21 and over' ","'England' ",68415
2010 ,"'21 and over' ","'Northern Ireland' ",1995
2010 ,"'21 and over' ","'Scotland' ",8050
2010 ,"'21 and over' ","'Wales' ",3385
