"Statistic:   Number of Acceptances"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_01.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'Men' ","'17 and under' ","'England' ",535
2006 ,"'Men' ","'17 and under' ","'Northern Ireland' ",25
2006 ,"'Men' ","'17 and under' ","'Scotland' ",330
2006 ,"'Men' ","'17 and under' ","'Wales' ",25
2006 ,"'Men' ","'18' ","'England' ",72825
2006 ,"'Men' ","'18' ","'Northern Ireland' ",3780
2006 ,"'Men' ","'18' ","'Scotland' ",6475
2006 ,"'Men' ","'18' ","'Wales' ",4315
2006 ,"'Men' ","'19' ","'England' ",23720
2006 ,"'Men' ","'19' ","'Northern Ireland' ",660
2006 ,"'Men' ","'19' ","'Scotland' ",1480
2006 ,"'Men' ","'19' ","'Wales' ",1155
2006 ,"'Men' ","'20' ","'England' ",9725
2006 ,"'Men' ","'20' ","'Northern Ireland' ",325
2006 ,"'Men' ","'20' ","'Scotland' ",940
2006 ,"'Men' ","'20' ","'Wales' ",470
2006 ,"'Men' ","'21 and over' ","'England' ",24450
2006 ,"'Men' ","'21 and over' ","'Northern Ireland' ",685
2006 ,"'Men' ","'21 and over' ","'Scotland' ",3025
2006 ,"'Men' ","'21 and over' ","'Wales' ",1370
2006 ,"'Women' ","'17 and under' ","'England' ",560
2006 ,"'Women' ","'17 and under' ","'Northern Ireland' ",35
2006 ,"'Women' ","'17 and under' ","'Scotland' ",480
2006 ,"'Women' ","'17 and under' ","'Wales' ",30
2006 ,"'Women' ","'18' ","'England' ",88670
2006 ,"'Women' ","'18' ","'Northern Ireland' ",4885
2006 ,"'Women' ","'18' ","'Scotland' ",7655
2006 ,"'Women' ","'18' ","'Wales' ",5595
2006 ,"'Women' ","'19' ","'England' ",26230
2006 ,"'Women' ","'19' ","'Northern Ireland' ",820
2006 ,"'Women' ","'19' ","'Scotland' ",1705
2006 ,"'Women' ","'19' ","'Wales' ",1460
2006 ,"'Women' ","'20' ","'England' ",9205
2006 ,"'Women' ","'20' ","'Northern Ireland' ",300
2006 ,"'Women' ","'20' ","'Scotland' ",1045
2006 ,"'Women' ","'20' ","'Wales' ",530
2006 ,"'Women' ","'21 and over' ","'England' ",32105
2006 ,"'Women' ","'21 and over' ","'Northern Ireland' ",870
2006 ,"'Women' ","'21 and over' ","'Scotland' ",3675
2006 ,"'Women' ","'21 and over' ","'Wales' ",2195
2007 ,"'Men' ","'17 and under' ","'England' ",530
2007 ,"'Men' ","'17 and under' ","'Northern Ireland' ",25
2007 ,"'Men' ","'17 and under' ","'Scotland' ",350
2007 ,"'Men' ","'17 and under' ","'Wales' ",25
2007 ,"'Men' ","'18' ","'England' ",72905
2007 ,"'Men' ","'18' ","'Northern Ireland' ",3815
2007 ,"'Men' ","'18' ","'Scotland' ",6140
2007 ,"'Men' ","'18' ","'Wales' ",4165
2007 ,"'Men' ","'19' ","'England' ",28955
2007 ,"'Men' ","'19' ","'Northern Ireland' ",720
2007 ,"'Men' ","'19' ","'Scotland' ",1595
2007 ,"'Men' ","'19' ","'Wales' ",1385
2007 ,"'Men' ","'20' ","'England' ",10425
2007 ,"'Men' ","'20' ","'Northern Ireland' ",330
2007 ,"'Men' ","'20' ","'Scotland' ",970
2007 ,"'Men' ","'20' ","'Wales' ",555
2007 ,"'Men' ","'21 and over' ","'England' ",25670
2007 ,"'Men' ","'21 and over' ","'Northern Ireland' ",720
2007 ,"'Men' ","'21 and over' ","'Scotland' ",3275
2007 ,"'Men' ","'21 and over' ","'Wales' ",1430
2007 ,"'Women' ","'17 and under' ","'England' ",645
2007 ,"'Women' ","'17 and under' ","'Northern Ireland' ",30
