"Statistic:   Number of Acceptances"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_05.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'Men' ","'17 and under' ","'England' ",500
2006 ,"'Men' ","'17 and under' ","'Northern Ireland' ",20
2006 ,"'Men' ","'17 and under' ","'Scotland' ",265
2006 ,"'Men' ","'17 and under' ","'Wales' ",20
2006 ,"'Men' ","'18' ","'England' ",71325
2006 ,"'Men' ","'18' ","'Northern Ireland' ",3765
2006 ,"'Men' ","'18' ","'Scotland' ",6410
2006 ,"'Men' ","'18' ","'Wales' ",4160
2006 ,"'Men' ","'19' ","'England' ",21755
2006 ,"'Men' ","'19' ","'Northern Ireland' ",625
2006 ,"'Men' ","'19' ","'Scotland' ",1330
2006 ,"'Men' ","'19' ","'Wales' ",995
2006 ,"'Men' ","'20' ","'England' ",7980
2006 ,"'Men' ","'20' ","'Northern Ireland' ",290
2006 ,"'Men' ","'20' ","'Scotland' ",785
2006 ,"'Men' ","'20' ","'Wales' ",375
2006 ,"'Men' ","'21 and over' ","'England' ",17140
2006 ,"'Men' ","'21 and over' ","'Northern Ireland' ",615
2006 ,"'Men' ","'21 and over' ","'Scotland' ",2415
2006 ,"'Men' ","'21 and over' ","'Wales' ",915
2006 ,"'Women' ","'17 and under' ","'England' ",520
2006 ,"'Women' ","'17 and under' ","'Northern Ireland' ",35
2006 ,"'Women' ","'17 and under' ","'Scotland' ",410
2006 ,"'Women' ","'17 and under' ","'Wales' ",30
2006 ,"'Women' ","'18' ","'England' ",87505
2006 ,"'Women' ","'18' ","'Northern Ireland' ",4875
2006 ,"'Women' ","'18' ","'Scotland' ",7590
2006 ,"'Women' ","'18' ","'Wales' ",5480
2006 ,"'Women' ","'19' ","'England' ",24530
2006 ,"'Women' ","'19' ","'Northern Ireland' ",780
2006 ,"'Women' ","'19' ","'Scotland' ",1550
2006 ,"'Women' ","'19' ","'Wales' ",1325
2006 ,"'Women' ","'20' ","'England' ",7925
2006 ,"'Women' ","'20' ","'Northern Ireland' ",270
2006 ,"'Women' ","'20' ","'Scotland' ",930
2006 ,"'Women' ","'20' ","'Wales' ",445
2006 ,"'Women' ","'21 and over' ","'England' ",25320
2006 ,"'Women' ","'21 and over' ","'Northern Ireland' ",840
2006 ,"'Women' ","'21 and over' ","'Scotland' ",3130
2006 ,"'Women' ","'21 and over' ","'Wales' ",1720
2007 ,"'Men' ","'17 and under' ","'England' ",465
2007 ,"'Men' ","'17 and under' ","'Northern Ireland' ",25
2007 ,"'Men' ","'17 and under' ","'Scotland' ",285
2007 ,"'Men' ","'17 and under' ","'Wales' ",20
2007 ,"'Men' ","'18' ","'England' ",71485
2007 ,"'Men' ","'18' ","'Northern Ireland' ",3810
2007 ,"'Men' ","'18' ","'Scotland' ",6035
2007 ,"'Men' ","'18' ","'Wales' ",4055
2007 ,"'Men' ","'19' ","'England' ",26725
2007 ,"'Men' ","'19' ","'Northern Ireland' ",680
2007 ,"'Men' ","'19' ","'Scotland' ",1435
2007 ,"'Men' ","'19' ","'Wales' ",1240
2007 ,"'Men' ","'20' ","'England' ",8585
2007 ,"'Men' ","'20' ","'Northern Ireland' ",310
2007 ,"'Men' ","'20' ","'Scotland' ",815
2007 ,"'Men' ","'20' ","'Wales' ",445
2007 ,"'Men' ","'21 and over' ","'England' ",18330
2007 ,"'Men' ","'21 and over' ","'Northern Ireland' ",650
2007 ,"'Men' ","'21 and over' ","'Scotland' ",2565
2007 ,"'Men' ","'21 and over' ","'Wales' ",990
2007 ,"'Women' ","'17 and under' ","'England' ",580
2007 ,"'Women' ","'17 and under' ","'Northern Ireland' ",30
2007 ,"'Women' ","'17 and under' ","'Scotland' ",405
2007 ,"'Women' ","'17 and under' ","'Wales' ",30
2007 ,"'Women' ","'18' ","'England' ",88415
2007 ,"'Women' ","'18' ","'Northern Ireland' ",5025
2007 ,"'Women' ","'18' ","'Scotland' ",7480
2007 ,"'Women' ","'18' ","'Wales' ",5225
2007 ,"'Women' ","'19' ","'England' ",30475
2007 ,"'Women' ","'19' ","'Northern Ireland' ",985
2007 ,"'Women' ","'19' ","'Scotland' ",1670
2007 ,"'Women' ","'19' ","'Wales' ",1495
2007 ,"'Women' ","'20' ","'England' ",8705
2007 ,"'Women' ","'20' ","'Northern Ireland' ",315
2007 ,"'Women' ","'20' ","'Scotland' ",1015
2007 ,"'Women' ","'20' ","'Wales' ",450
2007 ,"'Women' ","'21 and over' ","'England' ",26885
2007 ,"'Women' ","'21 and over' ","'Northern Ireland' ",905
2007 ,"'Women' ","'21 and over' ","'Scotland' ",3275
2007 ,"'Women' ","'21 and over' ","'Wales' ",1810
2008 ,"'Men' ","'17 and under' ","'England' ",455
2008 ,"'Men' ","'17 and under' ","'Northern Ireland' ",20
2008 ,"'Men' ","'17 and under' ","'Scotland' ",260
2008 ,"'Men' ","'17 and under' ","'Wales' ",15
2008 ,"'Men' ","'18' ","'England' ",75340
2008 ,"'Men' ","'18' ","'Northern Ireland' ",3790
2008 ,"'Men' ","'18' ","'Scotland' ",6300
2008 ,"'Men' ","'18' ","'Wales' ",4075
2008 ,"'Men' ","'19' ","'England' ",28850
2008 ,"'Men' ","'19' ","'Northern Ireland' ",720
2008 ,"'Men' ","'19' ","'Scotland' ",1340
2008 ,"'Men' ","'19' ","'Wales' ",1275
2008 ,"'Men' ","'20' ","'England' ",10415
2008 ,"'Men' ","'20' ","'Northern Ireland' ",355
2008 ,"'Men' ","'20' ","'Scotland' ",865
2008 ,"'Men' ","'20' ","'Wales' ",480
2008 ,"'Men' ","'21 and over' ","'England' ",21030
2008 ,"'Men' ","'21 and over' ","'Northern Ireland' ",700
2008 ,"'Men' ","'21 and over' ","'Scotland' ",2760
2008 ,"'Men' ","'21 and over' ","'Wales' ",1140
2008 ,"'Women' ","'17 and under' ","'England' ",645
2008 ,"'Women' ","'17 and under' ","'Northern Ireland' ",20
2008 ,"'Women' ","'17 and under' ","'Scotland' ",370
2008 ,"'Women' ","'17 and under' ","'Wales' ",25
2008 ,"'Women' ","'18' ","'England' ",95715
2008 ,"'Women' ","'18' ","'Northern Ireland' ",5140
2008 ,"'Women' ","'18' ","'Scotland' ",7690
2008 ,"'Women' ","'18' ","'Wales' ",5585
2008 ,"'Women' ","'19' ","'England' ",33920
2008 ,"'Women' ","'19' ","'Northern Ireland' ",1010
2008 ,"'Women' ","'19' ","'Scotland' ",1680
2008 ,"'Women' ","'19' ","'Wales' ",1610
2008 ,"'Women' ","'20' ","'England' ",11325
2008 ,"'Women' ","'20' ","'Northern Ireland' ",370
2008 ,"'Women' ","'20' ","'Scotland' ",1055
2008 ,"'Women' ","'20' ","'Wales' ",580
2008 ,"'Women' ","'21 and over' ","'England' ",35565
2008 ,"'Women' ","'21 and over' ","'Northern Ireland' ",955
2008 ,"'Women' ","'21 and over' ","'Scotland' ",3300
2008 ,"'Women' ","'21 and over' ","'Wales' ",1880
2009 ,"'Men' ","'17 and under' ","'England' ",440
2009 ,"'Men' ","'17 and under' ","'Northern Ireland' ",25
2009 ,"'Men' ","'17 and under' ","'Scotland' ",245
2009 ,"'Men' ","'17 and under' ","'Wales' ",20
2009 ,"'Men' ","'18' ","'England' ",78715
2009 ,"'Men' ","'18' ","'Northern Ireland' ",4040
2009 ,"'Men' ","'18' ","'Scotland' ",6615
2009 ,"'Men' ","'18' ","'Wales' ",4490
2009 ,"'Men' ","'19' ","'England' ",31620
2009 ,"'Men' ","'19' ","'Northern Ireland' ",735
2009 ,"'Men' ","'19' ","'Scotland' ",1605
2009 ,"'Men' ","'19' ","'Wales' ",1465
2009 ,"'Men' ","'20' ","'England' ",11020
2009 ,"'Men' ","'20' ","'Northern Ireland' ",365
2009 ,"'Men' ","'20' ","'Scotland' ",910
2009 ,"'Men' ","'20' ","'Wales' ",530
2009 ,"'Men' ","'21 and over' ","'England' ",25155
2009 ,"'Men' ","'21 and over' ","'Northern Ireland' ",780
2009 ,"'Men' ","'21 and over' ","'Scotland' ",3090
2009 ,"'Men' ","'21 and over' ","'Wales' ",1425
2009 ,"'Women' ","'17 and under' ","'England' ",630
2009 ,"'Women' ","'17 and under' ","'Northern Ireland' ",25
2009 ,"'Women' ","'17 and under' ","'Scotland' ",350
2009 ,"'Women' ","'17 and under' ","'Wales' ",25
2009 ,"'Women' ","'18' ","'England' ",98380
2009 ,"'Women' ","'18' ","'Northern Ireland' ",5235
2009 ,"'Women' ","'18' ","'Scotland' ",7945
2009 ,"'Women' ","'18' ","'Wales' ",5880
2009 ,"'Women' ","'19' ","'England' ",36095
2009 ,"'Women' ","'19' ","'Northern Ireland' ",850
2009 ,"'Women' ","'19' ","'Scotland' ",1785
2009 ,"'Women' ","'19' ","'Wales' ",1715
2009 ,"'Women' ","'20' ","'England' ",11980
2009 ,"'Women' ","'20' ","'Northern Ireland' ",375
2009 ,"'Women' ","'20' ","'Scotland' ",1110
2009 ,"'Women' ","'20' ","'Wales' ",595
2009 ,"'Women' ","'21 and over' ","'England' ",40715
2009 ,"'Women' ","'21 and over' ","'Northern Ireland' ",895
2009 ,"'Women' ","'21 and over' ","'Scotland' ",3595
2009 ,"'Women' ","'21 and over' ","'Wales' ",2255
2010 ,"'Men' ","'17 and under' ","'England' ",380
2010 ,"'Men' ","'17 and under' ","'Northern Ireland' ",15
2010 ,"'Men' ","'17 and under' ","'Scotland' ",170
2010 ,"'Men' ","'17 and under' ","'Wales' ",15
2010 ,"'Men' ","'18' ","'England' ",80090
2010 ,"'Men' ","'18' ","'Northern Ireland' ",3820
2010 ,"'Men' ","'18' ","'Scotland' ",6450
2010 ,"'Men' ","'18' ","'Wales' ",4235
2010 ,"'Men' ","'19' ","'England' ",34245
2010 ,"'Men' ","'19' ","'Northern Ireland' ",865
2010 ,"'Men' ","'19' ","'Scotland' ",1600
2010 ,"'Men' ","'19' ","'Wales' ",1445
2010 ,"'Men' ","'20' ","'England' ",11665
