"Statistic:   Number of Applicants"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_06.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Applicants,
2006 ,"'Men' ","'17 and under' ","'England' ",635
2006 ,"'Men' ","'17 and under' ","'Northern Ireland' ",35
2006 ,"'Men' ","'17 and under' ","'Scotland' ",450
2006 ,"'Men' ","'17 and under' ","'Wales' ",20
2006 ,"'Men' ","'18' ","'England' ",82975
2006 ,"'Men' ","'18' ","'Northern Ireland' ",4820
2006 ,"'Men' ","'18' ","'Scotland' ",7815
2006 ,"'Men' ","'18' ","'Wales' ",4775
2006 ,"'Men' ","'19' ","'England' ",25465
2006 ,"'Men' ","'19' ","'Northern Ireland' ",840
2006 ,"'Men' ","'19' ","'Scotland' ",1675
2006 ,"'Men' ","'19' ","'Wales' ",1200
2006 ,"'Men' ","'20' ","'England' ",9990
2006 ,"'Men' ","'20' ","'Northern Ireland' ",425
2006 ,"'Men' ","'20' ","'Scotland' ",1020
2006 ,"'Men' ","'20' ","'Wales' ",470
2006 ,"'Men' ","'21 and over' ","'England' ",25675
2006 ,"'Men' ","'21 and over' ","'Northern Ireland' ",995
2006 ,"'Men' ","'21 and over' ","'Scotland' ",3450
2006 ,"'Men' ","'21 and over' ","'Wales' ",1380
2006 ,"'Women' ","'17 and under' ","'England' ",680
2006 ,"'Women' ","'17 and under' ","'Northern Ireland' ",45
2006 ,"'Women' ","'17 and under' ","'Scotland' ",700
2006 ,"'Women' ","'17 and under' ","'Wales' ",35
2006 ,"'Women' ","'18' ","'England' ",103235
2006 ,"'Women' ","'18' ","'Northern Ireland' ",6595
2006 ,"'Women' ","'18' ","'Scotland' ",9865
2006 ,"'Women' ","'18' ","'Wales' ",6415
2006 ,"'Women' ","'19' ","'England' ",29535
2006 ,"'Women' ","'19' ","'Northern Ireland' ",1125
2006 ,"'Women' ","'19' ","'Scotland' ",2130
2006 ,"'Women' ","'19' ","'Wales' ",1680
2006 ,"'Women' ","'20' ","'England' ",10595
2006 ,"'Women' ","'20' ","'Northern Ireland' ",450
2006 ,"'Women' ","'20' ","'Scotland' ",1310
2006 ,"'Women' ","'20' ","'Wales' ",605
2006 ,"'Women' ","'21 and over' ","'England' ",40890
2006 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1610
2006 ,"'Women' ","'21 and over' ","'Scotland' ",4770
2006 ,"'Women' ","'21 and over' ","'Wales' ",2965
2007 ,"'Men' ","'17 and under' ","'England' ",600
2007 ,"'Men' ","'17 and under' ","'Northern Ireland' ",30
2007 ,"'Men' ","'17 and under' ","'Scotland' ",470
2007 ,"'Men' ","'17 and under' ","'Wales' ",30
2007 ,"'Men' ","'18' ","'England' ",84035
2007 ,"'Men' ","'18' ","'Northern Ireland' ",4690
2007 ,"'Men' ","'18' ","'Scotland' ",7345
2007 ,"'Men' ","'18' ","'Wales' ",4620
2007 ,"'Men' ","'19' ","'England' ",31115
2007 ,"'Men' ","'19' ","'Northern Ireland' ",875
2007 ,"'Men' ","'19' ","'Scotland' ",1820
2007 ,"'Men' ","'19' ","'Wales' ",1465
2007 ,"'Men' ","'20' ","'England' ",10715
2007 ,"'Men' ","'20' ","'Northern Ireland' ",410
2007 ,"'Men' ","'20' ","'Scotland' ",1080
2007 ,"'Men' ","'20' ","'Wales' ",540
2007 ,"'Men' ","'21 and over' ","'England' ",26805
2007 ,"'Men' ","'21 and over' ","'Northern Ireland' ",955
2007 ,"'Men' ","'21 and over' ","'Scotland' ",3615
2007 ,"'Men' ","'21 and over' ","'Wales' ",1420
2007 ,"'Women' ","'17 and under' ","'England' ",765
2007 ,"'Women' ","'17 and under' ","'Northern Ireland' ",35
2007 ,"'Women' ","'17 and under' ","'Scotland' ",665
2007 ,"'Women' ","'17 and under' ","'Wales' ",35
2007 ,"'Women' ","'18' ","'England' ",105055
2007 ,"'Women' ","'18' ","'Northern Ireland' ",6420
2007 ,"'Women' ","'18' ","'Scotland' ",9500
2007 ,"'Women' ","'18' ","'Wales' ",6125
2007 ,"'Women' ","'19' ","'England' ",36375
2007 ,"'Women' ","'19' ","'Northern Ireland' ",1340
2007 ,"'Women' ","'19' ","'Scotland' ",2245
2007 ,"'Women' ","'19' ","'Wales' ",1800
2007 ,"'Women' ","'20' ","'England' ",11640
2007 ,"'Women' ","'20' ","'Northern Ireland' ",460
2007 ,"'Women' ","'20' ","'Scotland' ",1410
2007 ,"'Women' ","'20' ","'Wales' ",590
2007 ,"'Women' ","'21 and over' ","'England' ",42780
2007 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1600
2007 ,"'Women' ","'21 and over' ","'Scotland' ",4840
2007 ,"'Women' ","'21 and over' ","'Wales' ",2990
2008 ,"'Men' ","'17 and under' ","'England' ",595
2008 ,"'Men' ","'17 and under' ","'Northern Ireland' ",25
2008 ,"'Men' ","'17 and under' ","'Scotland' ",415
2008 ,"'Men' ","'17 and under' ","'Wales' ",20
2008 ,"'Men' ","'18' ","'England' ",88050
2008 ,"'Men' ","'18' ","'Northern Ireland' ",4540
