"Statistic:   Number of Acceptances"
"Variables:   Ethnic Group (Summary Level) , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_020_05.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'Asian' ","'England' ",30480
2006 ,"'Asian' ","'Northern Ireland' ",80
2006 ,"'Asian' ","'Scotland' ",895
2006 ,"'Asian' ","'Wales' ",435
2006 ,"'Black' ","'England' ",15075
2006 ,"'Black' ","'Northern Ireland' ",15
2006 ,"'Black' ","'Scotland' ",145
2006 ,"'Black' ","'Wales' ",100
2006 ,"'Mixed' ","'England' ",8185
2006 ,"'Mixed' ","'Northern Ireland' ",65
2006 ,"'Mixed' ","'Scotland' ",305
2006 ,"'Mixed' ","'Wales' ",255
2006 ,"'White' ","'England' ",203950
2006 ,"'White' ","'Northern Ireland' ",11875
2006 ,"'White' ","'Scotland' ",23155
2006 ,"'White' ","'Wales' ",14465
2006 ,"'Other' ","'England' ",3160
2006 ,"'Other' ","'Northern Ireland' ",10
2006 ,"'Other' ","'Scotland' ",60
2006 ,"'Other' ","'Wales' ",60
2006 ,"'Unknown' ","'England' ",3645
2006 ,"'Unknown' ","'Northern Ireland' ",65
2006 ,"'Unknown' ","'Scotland' ",250
2006 ,"'Unknown' ","'Wales' ",155
2007 ,"'Asian' ","'England' ",30730
2007 ,"'Asian' ","'Northern Ireland' ",85
2007 ,"'Asian' ","'Scotland' ",900
2007 ,"'Asian' ","'Wales' ",440
2007 ,"'Black' ","'England' ",16730
2007 ,"'Black' ","'Northern Ireland' ",15
2007 ,"'Black' ","'Scotland' ",215
2007 ,"'Black' ","'Wales' ",135
2007 ,"'Mixed' ","'England' ",9475
2007 ,"'Mixed' ","'Northern Ireland' ",55
2007 ,"'Mixed' ","'Scotland' ",345
2007 ,"'Mixed' ","'Wales' ",240
2007 ,"'White' ","'England' ",216250
2007 ,"'White' ","'Northern Ireland' ",12525
2007 ,"'White' ","'Scotland' ",23235
2007 ,"'White' ","'Wales' ",14750
2007 ,"'Other' ","'England' ",3450
2007 ,"'Other' ","'Northern Ireland' ",10
2007 ,"'Other' ","'Scotland' ",70
2007 ,"'Other' ","'Wales' ",70
2007 ,"'Unknown' ","'England' ",4015
2007 ,"'Unknown' ","'Northern Ireland' ",45
2007 ,"'Unknown' ","'Scotland' ",220
2007 ,"'Unknown' ","'Wales' ",130
2008 ,"'Asian' ","'England' ",33825
2008 ,"'Asian' ","'Northern Ireland' ",100
2008 ,"'Asian' ","'Scotland' ",950
2008 ,"'Asian' ","'Wales' ",490
2008 ,"'Black' ","'England' ",20815
2008 ,"'Black' ","'Northern Ireland' ",20
2008 ,"'Black' ","'Scotland' ",240
2008 ,"'Black' ","'Wales' ",140
2008 ,"'Mixed' ","'England' ",10840
2008 ,"'Mixed' ","'Northern Ireland' ",95
2008 ,"'Mixed' ","'Scotland' ",320
2008 ,"'Mixed' ","'Wales' ",280
2008 ,"'White' ","'England' ",240610
2008 ,"'White' ","'Northern Ireland' ",12795
2008 ,"'White' ","'Scotland' ",23800
2008 ,"'White' ","'Wales' ",15550
2008 ,"'Other' ","'England' ",3495
2008 ,"'Other' ","'Northern Ireland' ",5
2008 ,"'Other' ","'Scotland' ",60
2008 ,"'Other' ","'Wales' ",70
2008 ,"'Unknown' ","'England' ",3670
2008 ,"'Unknown' ","'Northern Ireland' ",65
2008 ,"'Unknown' ","'Scotland' ",245
2008 ,"'Unknown' ","'Wales' ",130
2009 ,"'Asian' ","'England' ",35690
2009 ,"'Asian' ","'Northern Ireland' ",115
2009 ,"'Asian' ","'Scotland' ",1020
2009 ,"'Asian' ","'Wales' ",490
2009 ,"'Black' ","'England' ",23145
2009 ,"'Black' ","'Northern Ireland' ",15
2009 ,"'Black' ","'Scotland' ",230
2009 ,"'Black' ","'Wales' ",170
2009 ,"'Mixed' ","'England' ",11920
2009 ,"'Mixed' ","'Northern Ireland' ",90
2009 ,"'Mixed' ","'Scotland' ",390
2009 ,"'Mixed' ","'Wales' ",300
2009 ,"'White' ","'England' ",257555
2009 ,"'White' ","'Northern Ireland' ",13060
2009 ,"'White' ","'Scotland' ",25390
2009 ,"'White' ","'Wales' ",17240
2009 ,"'Other' ","'England' ",3660
2009 ,"'Other' ","'Northern Ireland' ",10
2009 ,"'Other' ","'Scotland' ",80
2009 ,"'Other' ","'Wales' ",75
2009 ,"'Unknown' ","'England' ",2785
2009 ,"'Unknown' ","'Northern Ireland' ",30
2009 ,"'Unknown' ","'Scotland' ",145
2009 ,"'Unknown' ","'Wales' ",115
2010 ,"'Asian' ","'England' ",36885
2010 ,"'Asian' ","'Northern Ireland' ",115
2010 ,"'Asian' ","'Scotland' ",1035
2010 ,"'Asian' ","'Wales' ",555
2010 ,"'Black' ","'England' ",24495
2010 ,"'Black' ","'Northern Ireland' ",15
2010 ,"'Black' ","'Scotland' ",330
2010 ,"'Black' ","'Wales' ",175
2010 ,"'Mixed' ","'England' ",12765
2010 ,"'Mixed' ","'Northern Ireland' ",90
2010 ,"'Mixed' ","'Scotland' ",395
2010 ,"'Mixed' ","'Wales' ",330
2010 ,"'White' ","'England' ",263145
2010 ,"'White' ","'Northern Ireland' ",13085
2010 ,"'White' ","'Scotland' ",27300
2010 ,"'White' ","'Wales' ",16325
2010 ,"'Other' ","'England' ",3895
2010 ,"'Other' ","'Northern Ireland' ",15
2010 ,"'Other' ","'Scotland' ",65
2010 ,"'Other' ","'Wales' ",80
2010 ,"'Unknown' ","'England' ",2790
2010 ,"'Unknown' ","'Northern Ireland' ",35
2010 ,"'Unknown' ","'Scotland' ",125
2010 ,"'Unknown' ","'Wales' ",80
2011 ,"'Asian' ","'England' ",39590
2011 ,"'Asian' ","'Northern Ireland' ",130
2011 ,"'Asian' ","'Scotland' ",1060
2011 ,"'Asian' ","'Wales' ",545
2011 ,"'Black' ","'England' ",26745
2011 ,"'Black' ","'Northern Ireland' ",25
2011 ,"'Black' ","'Scotland' ",315
2011 ,"'Black' ","'Wales' ",225
2011 ,"'Mixed' ","'England' ",14000
2011 ,"'Mixed' ","'Northern Ireland' ",105
