"Statistic:   Number of Acceptances"
"Variables:   Ethnic Group (Summary Level) , Age Band , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_021_05.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Age Band,Number of Acceptances,
2006 ,"'Asian' ","'17 and under' ",185
2006 ,"'Asian' ","'18' ",17660
2006 ,"'Asian' ","'19' ",8135
2006 ,"'Asian' ","'20' ",2335
2006 ,"'Asian' ","'21 and over' ",3570
2006 ,"'Black' ","'17 and under' ",70
2006 ,"'Black' ","'18' ",5000
2006 ,"'Black' ","'19' ",3150
2006 ,"'Black' ","'20' ",1565
2006 ,"'Black' ","'21 and over' ",5550
2006 ,"'Mixed' ","'17 and under' ",65
2006 ,"'Mixed' ","'18' ",4800
2006 ,"'Mixed' ","'19' ",1730
2006 ,"'Mixed' ","'20' ",640
2006 ,"'Mixed' ","'21 and over' ",1570
2006 ,"'White' ","'17 and under' ",1385
2006 ,"'White' ","'18' ",160215
2006 ,"'White' ","'19' ",38365
2006 ,"'White' ","'20' ",13905
2006 ,"'White' ","'21 and over' ",39575
2006 ,"'Other' ","'17 and under' ",30
2006 ,"'Other' ","'18' ",1530
2006 ,"'Other' ","'19' ",775
2006 ,"'Other' ","'20' ",275
2006 ,"'Other' ","'21 and over' ",685
2006 ,"'Unknown' ","'17 and under' ",70
2006 ,"'Unknown' ","'18' ",1895
2006 ,"'Unknown' ","'19' ",740
2006 ,"'Unknown' ","'20' ",275
2006 ,"'Unknown' ","'21 and over' ",1140
2007 ,"'Asian' ","'17 and under' ",175
2007 ,"'Asian' ","'18' ",17400
2007 ,"'Asian' ","'19' ",8345
2007 ,"'Asian' ","'20' ",2460
2007 ,"'Asian' ","'21 and over' ",3780
2007 ,"'Black' ","'17 and under' ",90
2007 ,"'Black' ","'18' ",5605
2007 ,"'Black' ","'19' ",3525
2007 ,"'Black' ","'20' ",1895
2007 ,"'Black' ","'21 and over' ",5990
2007 ,"'Mixed' ","'17 and under' ",80
2007 ,"'Mixed' ","'18' ",5325
2007 ,"'Mixed' ","'19' ",2195
2007 ,"'Mixed' ","'20' ",785
2007 ,"'Mixed' ","'21 and over' ",1730
2007 ,"'White' ","'17 and under' ",1390
2007 ,"'White' ","'18' ",159795
