"Statistic:   Number of Acceptances"
"Variables:   Ethnic Group (Summary Level) , Sex , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_022_05.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Sex,Number of Acceptances,
2006 ,"'Asian' ","'Men' ",15595
2006 ,"'Asian' ","'Women' ",16290
2006 ,"'Black' ","'Men' ",6500
2006 ,"'Black' ","'Women' ",8835
2006 ,"'Mixed' ","'Men' ",3795
2006 ,"'Mixed' ","'Women' ",5015
2006 ,"'White' ","'Men' ",112100
2006 ,"'White' ","'Women' ",141345
2006 ,"'Other' ","'Men' ",1520
2006 ,"'Other' ","'Women' ",1770
2006 ,"'Unknown' ","'Men' ",2170
2006 ,"'Unknown' ","'Women' ",1945
2007 ,"'Asian' ","'Men' ",15755
2007 ,"'Asian' ","'Women' ",16400
2007 ,"'Black' ","'Men' ",7295
2007 ,"'Black' ","'Women' ",9805
2007 ,"'Mixed' ","'Men' ",4305
2007 ,"'Mixed' ","'Women' ",5805
2007 ,"'White' ","'Men' ",117690
2007 ,"'White' ","'Women' ",149065
2007 ,"'Other' ","'Men' ",1630
2007 ,"'Other' ","'Women' ",1970
2007 ,"'Unknown' ","'Men' ",2280
2007 ,"'Unknown' ","'Women' ",2125
2008 ,"'Asian' ","'Men' ",17200
2008 ,"'Asian' ","'Women' ",18165
2008 ,"'Black' ","'Men' ",8465
2008 ,"'Black' ","'Women' ",12750
2008 ,"'Mixed' ","'Men' ",4890
2008 ,"'Mixed' ","'Women' ",6650
2008 ,"'White' ","'Men' ",125930
2008 ,"'White' ","'Women' ",166820
2008 ,"'Other' ","'Men' ",1585
2008 ,"'Other' ","'Women' ",2050
2008 ,"'Unknown' ","'Men' ",2105
2008 ,"'Unknown' ","'Women' ",2005
2009 ,"'Asian' ","'Men' ",17990
2009 ,"'Asian' ","'Women' ",19325
2009 ,"'Black' ","'Men' ",9805
2009 ,"'Black' ","'Women' ",13760
2009 ,"'Mixed' ","'Men' ",5425
2009 ,"'Mixed' ","'Women' ",7270
2009 ,"'White' ","'Men' ",136705
2009 ,"'White' ","'Women' ",176535
2009 ,"'Other' ","'Men' ",1670
2009 ,"'Other' ","'Women' ",2150
2009 ,"'Unknown' ","'Men' ",1680
2009 ,"'Unknown' ","'Women' ",1395
2010 ,"'Asian' ","'Men' ",18750
2010 ,"'Asian' ","'Women' ",19845
2010 ,"'Black' ","'Men' ",10430
2010 ,"'Black' ","'Women' ",14590
2010 ,"'Mixed' ","'Men' ",5910
2010 ,"'Mixed' ","'Women' ",7670
2010 ,"'White' ","'Men' ",140170
2010 ,"'White' ","'Women' ",179685
2010 ,"'Other' ","'Men' ",1760
2010 ,"'Other' ","'Women' ",2295
2010 ,"'Unknown' ","'Men' ",1640
2010 ,"'Unknown' ","'Women' ",1390
2011 ,"'Asian' ","'Men' ",20315
2011 ,"'Asian' ","'Women' ",21015
2011 ,"'Black' ","'Men' ",11420
2011 ,"'Black' ","'Women' ",15885
2011 ,"'Mixed' ","'Men' ",6565
2011 ,"'Mixed' ","'Women' ",8355
2011 ,"'White' ","'Men' ",142230
2011 ,"'White' ","'Women' ",180280
2011 ,"'Other' ","'Men' ",2010
2011 ,"'Other' ","'Women' ",2360
2011 ,"'Unknown' ","'Men' ",1565
2011 ,"'Unknown' ","'Women' ",1400
2012 ,"'Asian' ","'Men' ",19225
2012 ,"'Asian' ","'Women' ",20620
2012 ,"'Black' ","'Men' ",11210
2012 ,"'Black' ","'Women' ",15965
2012 ,"'Mixed' ","'Men' ",5955
2012 ,"'Mixed' ","'Women' ",7930
2012 ,"'White' ","'Men' ",128055
2012 ,"'White' ","'Women' ",165935
2012 ,"'Other' ","'Men' ",2480
2012 ,"'Other' ","'Women' ",2775
2012 ,"'Unknown' ","'Men' ",1310
2012 ,"'Unknown' ","'Women' ",1170
2013 ,"'Asian' ","'Men' ",20845
2013 ,"'Asian' ","'Women' ",21775
2013 ,"'Black' ","'Men' ",11745
2013 ,"'Black' ","'Women' ",16700
2013 ,"'Mixed' ","'Men' ",6565
2013 ,"'Mixed' ","'Women' ",8525
2013 ,"'White' ","'Men' ",135850
2013 ,"'White' ","'Women' ",175480
2013 ,"'Other' ","'Men' ",2535
2013 ,"'Other' ","'Women' ",2895
2013 ,"'Unknown' ","'Men' ",1380
2013 ,"'Unknown' ","'Women' ",1215
2014 ,"'Asian' ","'Men' ",21860
2014 ,"'Asian' ","'Women' ",23305
2014 ,"'Black' ","'Men' ",12430
2014 ,"'Black' ","'Women' ",17570
2014 ,"'Mixed' ","'Men' ",7080
2014 ,"'Mixed' ","'Women' ",9365
2014 ,"'White' ","'Men' ",138000
2014 ,"'White' ","'Women' ",181435
2014 ,"'Other' ","'Men' ",2820
2014 ,"'Other' ","'Women' ",3255
2014 ,"'Unknown' ","'Men' ",1275
