"Statistic:   Number of Applicants"
"Variables:   Ethnic Group (Summary Level) , Sex , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_022_06.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Sex,Number of Applicants,
2006 ,"'Asian' ","'Men' ",19475
2006 ,"'Asian' ","'Women' ",20260
2006 ,"'Black' ","'Men' ",8965
2006 ,"'Black' ","'Women' ",12970
2006 ,"'Mixed' ","'Men' ",4750
2006 ,"'Mixed' ","'Women' ",6470
2006 ,"'White' ","'Men' ",136100
2006 ,"'White' ","'Women' ",180365
2006 ,"'Other' ","'Men' ",1980
2006 ,"'Other' ","'Women' ",2370
2006 ,"'Unknown' ","'Men' ",2835
2006 ,"'Unknown' ","'Women' ",2815
2007 ,"'Asian' ","'Men' ",19515
2007 ,"'Asian' ","'Women' ",20475
2007 ,"'Black' ","'Men' ",10015
2007 ,"'Black' ","'Women' ",14240
2007 ,"'Mixed' ","'Men' ",5315
2007 ,"'Mixed' ","'Women' ",7415
2007 ,"'White' ","'Men' ",142645
2007 ,"'White' ","'Women' ",188960
2007 ,"'Other' ","'Men' ",2150
2007 ,"'Other' ","'Women' ",2630
2007 ,"'Unknown' ","'Men' ",2990
2007 ,"'Unknown' ","'Women' ",2955
2008 ,"'Asian' ","'Men' ",21250
2008 ,"'Asian' ","'Women' ",22710
2008 ,"'Black' ","'Men' ",11560
2008 ,"'Black' ","'Women' ",18320
2008 ,"'Mixed' ","'Men' ",6070
2008 ,"'Mixed' ","'Women' ",8575
2008 ,"'White' ","'Men' ",151565
2008 ,"'White' ","'Women' ",209560
2008 ,"'Other' ","'Men' ",2095
2008 ,"'Other' ","'Women' ",2725
2008 ,"'Unknown' ","'Men' ",2830
2008 ,"'Unknown' ","'Women' ",2815
2009 ,"'Asian' ","'Men' ",22915
2009 ,"'Asian' ","'Women' ",24885
2009 ,"'Black' ","'Men' ",14075
2009 ,"'Black' ","'Women' ",21205
2009 ,"'Mixed' ","'Men' ",7035
2009 ,"'Mixed' ","'Women' ",9555
2009 ,"'White' ","'Men' ",168250
2009 ,"'White' ","'Women' ",227200
2009 ,"'Other' ","'Men' ",2310
2009 ,"'Other' ","'Women' ",2910
2009 ,"'Unknown' ","'Men' ",2195
2009 ,"'Unknown' ","'Women' ",1935
2010 ,"'Asian' ","'Men' ",25460
2010 ,"'Asian' ","'Women' ",27575
2010 ,"'Black' ","'Men' ",16400
2010 ,"'Black' ","'Women' ",25250
2010 ,"'Mixed' ","'Men' ",8060
2010 ,"'Mixed' ","'Women' ",10905
2010 ,"'White' ","'Men' ",184085
2010 ,"'White' ","'Women' ",251165
2010 ,"'Other' ","'Men' ",2585
2010 ,"'Other' ","'Women' ",3370
2010 ,"'Unknown' ","'Men' ",2335
2010 ,"'Unknown' ","'Women' ",2040
2011 ,"'Asian' ","'Men' ",27250
2011 ,"'Asian' ","'Women' ",28920
2011 ,"'Black' ","'Men' ",17360
2011 ,"'Black' ","'Women' ",27140
2011 ,"'Mixed' ","'Men' ",8660
2011 ,"'Mixed' ","'Women' ",11450
2011 ,"'White' ","'Men' ",183645
2011 ,"'White' ","'Women' ",248990
2011 ,"'Other' ","'Men' ",2880
2011 ,"'Other' ","'Women' ",3420
2011 ,"'Unknown' ","'Men' ",2210
2011 ,"'Unknown' ","'Women' ",2080
2012 ,"'Asian' ","'Men' ",25255
2012 ,"'Asian' ","'Women' ",27755
2012 ,"'Black' ","'Men' ",16195
2012 ,"'Black' ","'Women' ",26045
2012 ,"'Mixed' ","'Men' ",7675
2012 ,"'Mixed' ","'Women' ",10770
2012 ,"'White' ","'Men' ",163370
2012 ,"'White' ","'Women' ",225955
2012 ,"'Other' ","'Men' ",3410
2012 ,"'Other' ","'Women' ",3920
2012 ,"'Unknown' ","'Men' ",1800
2012 ,"'Unknown' ","'Women' ",1740
2013 ,"'Asian' ","'Men' ",26290
2013 ,"'Asian' ","'Women' ",28480
2013 ,"'Black' ","'Men' ",16260
2013 ,"'Black' ","'Women' ",25905
2013 ,"'Mixed' ","'Men' ",8235
2013 ,"'Mixed' ","'Women' ",11245
2013 ,"'White' ","'Men' ",168535
2013 ,"'White' ","'Women' ",231705
2013 ,"'Other' ","'Men' ",3440
2013 ,"'Other' ","'Women' ",3975
2013 ,"'Unknown' ","'Men' ",1855
2013 ,"'Unknown' ","'Women' ",1710
2014 ,"'Asian' ","'Men' ",27575
2014 ,"'Asian' ","'Women' ",30180
2014 ,"'Black' ","'Men' ",17310
2014 ,"'Black' ","'Women' ",26980
2014 ,"'Mixed' ","'Men' ",8865
2014 ,"'Mixed' ","'Women' ",12255
2014 ,"'White' ","'Men' ",171045
2014 ,"'White' ","'Women' ",238565
2014 ,"'Other' ","'Men' ",3810
2014 ,"'Other' ","'Women' ",4400
