"Statistic:   Number of Acceptances"
"Variables:   Ethnic Group (Summary Level) , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_023_05.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Age Band , Sex , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'Asian' ","'17 and under' ","'Men' ","'England' ",75
2006 ,"'Asian' ","'17 and under' ","'Men' ","'Scotland' ",20
2006 ,"'Asian' ","'17 and under' ","'Women' ","'England' ",70
2006 ,"'Asian' ","'17 and under' ","'Women' ","'Scotland' ",15
2006 ,"'Asian' ","'18' ","'Men' ","'England' ",7730
2006 ,"'Asian' ","'18' ","'Men' ","'Northern Ireland' ",25
2006 ,"'Asian' ","'18' ","'Men' ","'Scotland' ",210
2006 ,"'Asian' ","'18' ","'Men' ","'Wales' ",100
2006 ,"'Asian' ","'18' ","'Women' ","'England' ",9200
2006 ,"'Asian' ","'18' ","'Women' ","'Northern Ireland' ",25
2006 ,"'Asian' ","'18' ","'Women' ","'Scotland' ",235
2006 ,"'Asian' ","'18' ","'Women' ","'Wales' ",130
2006 ,"'Asian' ","'19' ","'Men' ","'England' ",4240
2006 ,"'Asian' ","'19' ","'Men' ","'Northern Ireland' ",5
2006 ,"'Asian' ","'19' ","'Men' ","'Scotland' ",55
2006 ,"'Asian' ","'19' ","'Men' ","'Wales' ",60
2006 ,"'Asian' ","'19' ","'Women' ","'England' ",3655
2006 ,"'Asian' ","'19' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Asian' ","'19' ","'Women' ","'Scotland' ",60
2006 ,"'Asian' ","'19' ","'Women' ","'Wales' ",50
2006 ,"'Asian' ","'20' ","'Men' ","'England' ",1240
2006 ,"'Asian' ","'20' ","'Men' ","'Northern Ireland' ",5
2006 ,"'Asian' ","'20' ","'Men' ","'Scotland' ",55
2006 ,"'Asian' ","'20' ","'Men' ","'Wales' ",20
2006 ,"'Asian' ","'20' ","'Women' ","'England' ",970
2006 ,"'Asian' ","'20' ","'Women' ","'Scotland' ",35
2006 ,"'Asian' ","'20' ","'Women' ","'Wales' ",15
2006 ,"'Asian' ","'21 and over' ","'Men' ","'England' ",1615
2006 ,"'Asian' ","'21 and over' ","'Men' ","'Northern Ireland' ",5
2006 ,"'Asian' ","'21 and over' ","'Men' ","'Scotland' ",110
2006 ,"'Asian' ","'21 and over' ","'Men' ","'Wales' ",20
2006 ,"'Asian' ","'21 and over' ","'Women' ","'England' ",1680
2006 ,"'Asian' ","'21 and over' ","'Women' ","'Northern Ireland' ",10
2006 ,"'Asian' ","'21 and over' ","'Women' ","'Scotland' ",95
2006 ,"'Asian' ","'21 and over' ","'Women' ","'Wales' ",35
2006 ,"'Black' ","'17 and under' ","'Men' ","'England' ",30
2006 ,"'Black' ","'17 and under' ","'Women' ","'England' ",35
2006 ,"'Black' ","'18' ","'Men' ","'England' ",1820
2006 ,"'Black' ","'18' ","'Men' ","'Scotland' ",15
2006 ,"'Black' ","'18' ","'Men' ","'Wales' ",10
2006 ,"'Black' ","'18' ","'Women' ","'England' ",3120
2006 ,"'Black' ","'18' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Black' ","'18' ","'Women' ","'Scotland' ",15
2006 ,"'Black' ","'18' ","'Women' ","'Wales' ",15
2006 ,"'Black' ","'19' ","'Men' ","'England' ",1395
2006 ,"'Black' ","'19' ","'Men' ","'Scotland' ",10
2006 ,"'Black' ","'19' ","'Men' ","'Wales' ",5
2006 ,"'Black' ","'19' ","'Women' ","'England' ",1715
2006 ,"'Black' ","'19' ","'Women' ","'Scotland' ",5
2006 ,"'Black' ","'19' ","'Women' ","'Wales' ",15
2006 ,"'Black' ","'20' ","'Men' ","'England' ",755
2006 ,"'Black' ","'20' ","'Men' ","'Scotland' ",5
2006 ,"'Black' ","'20' ","'Men' ","'Wales' ",5
2006 ,"'Black' ","'20' ","'Women' ","'England' ",795
2006 ,"'Black' ","'20' ","'Women' ","'Scotland' ",5
2006 ,"'Black' ","'20' ","'Women' ","'Wales' ",5
2006 ,"'Black' ","'21 and over' ","'Men' ","'England' ",2375
2006 ,"'Black' ","'21 and over' ","'Men' ","'Scotland' ",40
2006 ,"'Black' ","'21 and over' ","'Men' ","'Wales' ",25
2006 ,"'Black' ","'21 and over' ","'Women' ","'England' ",3030
2006 ,"'Black' ","'21 and over' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Black' ","'21 and over' ","'Women' ","'Scotland' ",50
2006 ,"'Black' ","'21 and over' ","'Women' ","'Wales' ",25
2006 ,"'Mixed' ","'17 and under' ","'Men' ","'England' ",25
2006 ,"'Mixed' ","'17 and under' ","'Men' ","'Scotland' ",5
2006 ,"'Mixed' ","'17 and under' ","'Women' ","'England' ",30
2006 ,"'Mixed' ","'17 and under' ","'Women' ","'Scotland' ",10
2006 ,"'Mixed' ","'18' ","'Men' ","'England' ",1930
2006 ,"'Mixed' ","'18' ","'Men' ","'Northern Ireland' ",15
2006 ,"'Mixed' ","'18' ","'Men' ","'Scotland' ",80
2006 ,"'Mixed' ","'18' ","'Men' ","'Wales' ",70
2006 ,"'Mixed' ","'18' ","'Women' ","'England' ",2530
2006 ,"'Mixed' ","'18' ","'Women' ","'Northern Ireland' ",25
2006 ,"'Mixed' ","'18' ","'Women' ","'Scotland' ",75
2006 ,"'Mixed' ","'18' ","'Women' ","'Wales' ",75
2006 ,"'Mixed' ","'19' ","'Men' ","'England' ",720
2006 ,"'Mixed' ","'19' ","'Men' ","'Northern Ireland' ",5
2006 ,"'Mixed' ","'19' ","'Men' ","'Scotland' ",20
2006 ,"'Mixed' ","'19' ","'Men' ","'Wales' ",20
2006 ,"'Mixed' ","'19' ","'Women' ","'England' ",915
2006 ,"'Mixed' ","'19' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Mixed' ","'19' ","'Women' ","'Scotland' ",25
2006 ,"'Mixed' ","'19' ","'Women' ","'Wales' ",25
2006 ,"'Mixed' ","'20' ","'Men' ","'England' ",300
2006 ,"'Mixed' ","'20' ","'Men' ","'Scotland' ",10
2006 ,"'Mixed' ","'20' ","'Men' ","'Wales' ",5
2006 ,"'Mixed' ","'20' ","'Women' ","'England' ",300
2006 ,"'Mixed' ","'20' ","'Women' ","'Scotland' ",5
2006 ,"'Mixed' ","'20' ","'Women' ","'Wales' ",15
2006 ,"'Mixed' ","'21 and over' ","'Men' ","'England' ",530
2006 ,"'Mixed' ","'21 and over' ","'Men' ","'Northern Ireland' ",5
2006 ,"'Mixed' ","'21 and over' ","'Men' ","'Scotland' ",40
2006 ,"'Mixed' ","'21 and over' ","'Men' ","'Wales' ",20
2006 ,"'Mixed' ","'21 and over' ","'Women' ","'England' ",905
2006 ,"'Mixed' ","'21 and over' ","'Women' ","'Northern Ireland' ",10
2006 ,"'Mixed' ","'21 and over' ","'Women' ","'Scotland' ",35
2006 ,"'Mixed' ","'21 and over' ","'Women' ","'Wales' ",30
2006 ,"'White' ","'17 and under' ","'Men' ","'England' ",330
2006 ,"'White' ","'17 and under' ","'Men' ","'Northern Ireland' ",20
2006 ,"'White' ","'17 and under' ","'Men' ","'Scotland' ",235
2006 ,"'White' ","'17 and under' ","'Men' ","'Wales' ",15
2006 ,"'White' ","'17 and under' ","'Women' ","'England' ",340
2006 ,"'White' ","'17 and under' ","'Women' ","'Northern Ireland' ",35
2006 ,"'White' ","'17 and under' ","'Women' ","'Scotland' ",380
2006 ,"'White' ","'17 and under' ","'Women' ","'Wales' ",30
2006 ,"'White' ","'18' ","'Men' ","'England' ",58280
2006 ,"'White' ","'18' ","'Men' ","'Northern Ireland' ",3700
2006 ,"'White' ","'18' ","'Men' ","'Scotland' ",6040
2006 ,"'White' ","'18' ","'Men' ","'Wales' ",3930
2006 ,"'White' ","'18' ","'Women' ","'England' ",71035
2006 ,"'White' ","'18' ","'Women' ","'Northern Ireland' ",4805
2006 ,"'White' ","'18' ","'Women' ","'Scotland' ",7210
2006 ,"'White' ","'18' ","'Women' ","'Wales' ",5220
2006 ,"'White' ","'19' ","'Men' ","'England' ",14670
2006 ,"'White' ","'19' ","'Men' ","'Northern Ireland' ",610
2006 ,"'White' ","'19' ","'Men' ","'Scotland' ",1205
2006 ,"'White' ","'19' ","'Men' ","'Wales' ",885
2006 ,"'White' ","'19' ","'Women' ","'England' ",17590
2006 ,"'White' ","'19' ","'Women' ","'Northern Ireland' ",765
2006 ,"'White' ","'19' ","'Women' ","'Scotland' ",1430
2006 ,"'White' ","'19' ","'Women' ","'Wales' ",1210
2006 ,"'White' ","'20' ","'Men' ","'England' ",5420
2006 ,"'White' ","'20' ","'Men' ","'Northern Ireland' ",280
2006 ,"'White' ","'20' ","'Men' ","'Scotland' ",705
2006 ,"'White' ","'20' ","'Men' ","'Wales' ",345
2006 ,"'White' ","'20' ","'Women' ","'England' ",5605
2006 ,"'White' ","'20' ","'Women' ","'Northern Ireland' ",270
2006 ,"'White' ","'20' ","'Women' ","'Scotland' ",875
2006 ,"'White' ","'20' ","'Women' ","'Wales' ",405
2006 ,"'White' ","'21 and over' ","'Men' ","'England' ",11830
2006 ,"'White' ","'21 and over' ","'Men' ","'Northern Ireland' ",590
2006 ,"'White' ","'21 and over' ","'Men' ","'Scotland' ",2175
2006 ,"'White' ","'21 and over' ","'Men' ","'Wales' ",835
2006 ,"'White' ","'21 and over' ","'Women' ","'England' ",18850
2006 ,"'White' ","'21 and over' ","'Women' ","'Northern Ireland' ",805
2006 ,"'White' ","'21 and over' ","'Women' ","'Scotland' ",2900
2006 ,"'White' ","'21 and over' ","'Women' ","'Wales' ",1590
2006 ,"'Other' ","'17 and under' ","'Men' ","'England' ",5
2006 ,"'Other' ","'17 and under' ","'Women' ","'England' ",15
2006 ,"'Other' ","'17 and under' ","'Women' ","'Scotland' ",5
2006 ,"'Other' ","'18' ","'Men' ","'England' ",640
2006 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",5
2006 ,"'Other' ","'18' ","'Men' ","'Scotland' ",10
2006 ,"'Other' ","'18' ","'Men' ","'Wales' ",10
2006 ,"'Other' ","'18' ","'Women' ","'England' ",835
2006 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Other' ","'18' ","'Women' ","'Scotland' ",15
2006 ,"'Other' ","'18' ","'Women' ","'Wales' ",15
2006 ,"'Other' ","'19' ","'Men' ","'England' ",370
2006 ,"'Other' ","'19' ","'Men' ","'Scotland' ",5
2006 ,"'Other' ","'19' ","'Men' ","'Wales' ",10
2006 ,"'Other' ","'19' ","'Women' ","'England' ",380
2006 ,"'Other' ","'19' ","'Women' ","'Wales' ",5
2006 ,"'Other' ","'20' ","'Men' ","'England' ",135
2006 ,"'Other' ","'20' ","'Men' ","'Wales' ",5
2006 ,"'Other' ","'20' ","'Women' ","'England' ",130
2006 ,"'Other' ","'20' ","'Women' ","'Scotland' ",5
2006 ,"'Other' ","'20' ","'Women' ","'Wales' ",5
2006 ,"'Other' ","'21 and over' ","'Men' ","'England' ",305
