"Statistic:   Number of Applicants"
"Variables:   Ethnic Group (Summary Level) , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_023_06.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2006 ,"'Asian' ","'17 and under' ","'Men' ","'England' ",100
2006 ,"'Asian' ","'17 and under' ","'Men' ","'Scotland' ",35
2006 ,"'Asian' ","'17 and under' ","'Women' ","'England' ",85
2006 ,"'Asian' ","'17 and under' ","'Women' ","'Scotland' ",25
2006 ,"'Asian' ","'18' ","'Men' ","'England' ",8985
2006 ,"'Asian' ","'18' ","'Men' ","'Northern Ireland' ",30
2006 ,"'Asian' ","'18' ","'Men' ","'Scotland' ",275
2006 ,"'Asian' ","'18' ","'Men' ","'Wales' ",115
2006 ,"'Asian' ","'18' ","'Women' ","'England' ",10540
2006 ,"'Asian' ","'18' ","'Women' ","'Northern Ireland' ",35
2006 ,"'Asian' ","'18' ","'Women' ","'Scotland' ",315
2006 ,"'Asian' ","'18' ","'Women' ","'Wales' ",145
2006 ,"'Asian' ","'19' ","'Men' ","'England' ",4970
2006 ,"'Asian' ","'19' ","'Men' ","'Northern Ireland' ",10
2006 ,"'Asian' ","'19' ","'Men' ","'Scotland' ",80
2006 ,"'Asian' ","'19' ","'Men' ","'Wales' ",70
2006 ,"'Asian' ","'19' ","'Women' ","'England' ",4345
2006 ,"'Asian' ","'19' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Asian' ","'19' ","'Women' ","'Scotland' ",80
2006 ,"'Asian' ","'19' ","'Women' ","'Wales' ",60
2006 ,"'Asian' ","'20' ","'Men' ","'England' ",1655
2006 ,"'Asian' ","'20' ","'Men' ","'Northern Ireland' ",10
2006 ,"'Asian' ","'20' ","'Men' ","'Scotland' ",70
2006 ,"'Asian' ","'20' ","'Men' ","'Wales' ",25
2006 ,"'Asian' ","'20' ","'Women' ","'England' ",1315
2006 ,"'Asian' ","'20' ","'Women' ","'Northern Ireland' ",5
2006 ,"'Asian' ","'20' ","'Women' ","'Scotland' ",55
2006 ,"'Asian' ","'20' ","'Women' ","'Wales' ",20
2006 ,"'Asian' ","'21 and over' ","'Men' ","'England' ",2830
2006 ,"'Asian' ","'21 and over' ","'Men' ","'Northern Ireland' ",10
2006 ,"'Asian' ","'21 and over' ","'Men' ","'Scotland' ",160
2006 ,"'Asian' ","'21 and over' ","'Men' ","'Wales' ",40
2006 ,"'Asian' ","'21 and over' ","'Women' ","'England' ",2995
2006 ,"'Asian' ","'21 and over' ","'Women' ","'Northern Ireland' ",15
2006 ,"'Asian' ","'21 and over' ","'Women' ","'Scotland' ",155
