"Statistic:   Number of Applicants"
"Variables:   Ethnic Group (Summary Level) , Ethnic Group (Detailed Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_024_06.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Ethnic Group (Detailed Level),Number of Applicants,
2006 ,"'Asian' ","'Asian - Bangladeshi' ",3760
2006 ,"'Asian' ","'Asian - Chinese' ",3815
2006 ,"'Asian' ","'Asian - Indian' ",16230
2006 ,"'Asian' ","'Asian - Other Asian background' ",4945
2006 ,"'Asian' ","'Asian - Pakistani' ",10980
2006 ,"'Black' ","'Black - African' ",14715
2006 ,"'Black' ","'Black - Caribbean' ",5880
2006 ,"'Black' ","'Black - Other Black background' ",1345
2006 ,"'Mixed' ","'Mixed - Other mixed background' ",3655
2006 ,"'Mixed' ","'Mixed - White and Asian' ",3640
2006 ,"'Mixed' ","'Mixed - White and Black African' ",1220
2006 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",2700
2006 ,"'White' ","'White' ",316465
2006 ,"'Other' ","'Other ethnic background' ",4350
2006 ,"'Unknown' ","'Unknown' ",5650
2007 ,"'Asian' ","'Asian - Bangladeshi' ",3795
2007 ,"'Asian' ","'Asian - Chinese' ",3965
2007 ,"'Asian' ","'Asian - Indian' ",15805
2007 ,"'Asian' ","'Asian - Other Asian background' ",5200
2007 ,"'Asian' ","'Asian - Pakistani' ",11225
2007 ,"'Black' ","'Black - African' ",16620
2007 ,"'Black' ","'Black - Caribbean' ",6270
2007 ,"'Black' ","'Black - Other Black background' ",1370
2007 ,"'Mixed' ","'Mixed - Other mixed background' ",4070
2007 ,"'Mixed' ","'Mixed - White and Asian' ",4045
2007 ,"'Mixed' ","'Mixed - White and Black African' ",1365
2007 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",3250
2007 ,"'White' ","'White' ",331605
2007 ,"'Other' ","'Other ethnic background' ",4780
2007 ,"'Unknown' ","'Unknown' ",5945
2008 ,"'Asian' ","'Asian - Bangladeshi' ",4400
2008 ,"'Asian' ","'Asian - Chinese' ",4150
2008 ,"'Asian' ","'Asian - Indian' ",16385
2008 ,"'Asian' ","'Asian - Other Asian background' ",6630
2008 ,"'Asian' ","'Asian - Pakistani' ",12395
2008 ,"'Black' ","'Black - African' ",20885
2008 ,"'Black' ","'Black - Caribbean' ",7560
2008 ,"'Black' ","'Black - Other Black background' ",1435
2008 ,"'Mixed' ","'Mixed - Other mixed background' ",4475
2008 ,"'Mixed' ","'Mixed - White and Asian' ",4545
2008 ,"'Mixed' ","'Mixed - White and Black African' ",1625
2008 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",3995
2008 ,"'White' ","'White' ",361125
2008 ,"'Other' ","'Other ethnic background' ",4820
2008 ,"'Unknown' ","'Unknown' ",5645
2009 ,"'Asian' ","'Asian - Bangladeshi' ",4955
2009 ,"'Asian' ","'Asian - Chinese' ",4100
2009 ,"'Asian' ","'Asian - Indian' ",17315
2009 ,"'Asian' ","'Asian - Other Asian background' ",7820
2009 ,"'Asian' ","'Asian - Pakistani' ",13615
2009 ,"'Black' ","'Black - African' ",25220
2009 ,"'Black' ","'Black - Caribbean' ",8505
2009 ,"'Black' ","'Black - Other Black background' ",1555
2009 ,"'Mixed' ","'Mixed - Other mixed background' ",4845
2009 ,"'Mixed' ","'Mixed - White and Asian' ",5065
2009 ,"'Mixed' ","'Mixed - White and Black African' ",2010
2009 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",4670
2009 ,"'White' ","'White' ",395450
2009 ,"'Other' ","'Other ethnic background' ",5220
2009 ,"'Unknown' ","'Unknown' ",4130
2010 ,"'Asian' ","'Asian - Bangladeshi' ",5515
2010 ,"'Asian' ","'Asian - Chinese' ",4345
2010 ,"'Asian' ","'Asian - Indian' ",18190
2010 ,"'Asian' ","'Asian - Other Asian background' ",9255
2010 ,"'Asian' ","'Asian - Pakistani' ",15735
2010 ,"'Black' ","'Black - African' ",30250
2010 ,"'Black' ","'Black - Caribbean' ",9590
2010 ,"'Black' ","'Black - Other Black background' ",1815
2010 ,"'Mixed' ","'Mixed - Other mixed background' ",5480
2010 ,"'Mixed' ","'Mixed - White and Asian' ",5755
2010 ,"'Mixed' ","'Mixed - White and Black African' ",2175
