"Statistic:   Number of Acceptances"
"Variables:   Disability Indicator , Age Band , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_027_05.pdf"
 
Cycle Year,Disability Indicator , Age Band,Number of Acceptances,
2010 ,"'Disability declared' ","'17 and under' ",55
2010 ,"'Disability declared' ","'18' ",10785
2010 ,"'Disability declared' ","'19' ",5895
2010 ,"'Disability declared' ","'20' ",2305
2010 ,"'Disability declared' ","'21 and over' ",7080
2010 ,"'No disability declared' ","'17 and under' ",1450
2010 ,"'No disability declared' ","'18' ",200715
2010 ,"'No disability declared' ","'19' ",75360
2010 ,"'No disability declared' ","'20' ",25710
2010 ,"'No disability declared' ","'21 and over' ",74770
2011 ,"'Disability declared' ","'17 and under' ",65
2011 ,"'Disability declared' ","'18' ",11710
2011 ,"'Disability declared' ","'19' ",6480
2011 ,"'Disability declared' ","'20' ",2455
2011 ,"'Disability declared' ","'21 and over' ",7335
2011 ,"'No disability declared' ","'17 and under' ",1310
2011 ,"'No disability declared' ","'18' ",204560
2011 ,"'No disability declared' ","'19' ",79350
2011 ,"'No disability declared' ","'20' ",26845
2011 ,"'No disability declared' ","'21 and over' ",73290
2012 ,"'Disability declared' ","'17 and under' ",55
2012 ,"'Disability declared' ","'18' ",12190
2012 ,"'Disability declared' ","'19' ",6100
2012 ,"'Disability declared' ","'20' ",2390
2012 ,"'Disability declared' ","'21 and over' ",7105
2012 ,"'No disability declared' ","'17 and under' ",1105
2012 ,"'No disability declared' ","'18' ",197345
2012 ,"'No disability declared' ","'19' ",66440
2012 ,"'No disability declared' ","'20' ",23935
2012 ,"'No disability declared' ","'21 and over' ",65960
2013 ,"'Disability declared' ","'17 and under' ",60
2013 ,"'Disability declared' ","'18' ",13640
2013 ,"'Disability declared' ","'19' ",7445
2013 ,"'Disability declared' ","'20' ",2850
2013 ,"'Disability declared' ","'21 and over' ",7955
2013 ,"'No disability declared' ","'17 and under' ",1015
2013 ,"'No disability declared' ","'18' ",202675
2013 ,"'No disability declared' ","'19' ",75995
2013 ,"'No disability declared' ","'20' ",25090
2013 ,"'No disability declared' ","'21 and over' ",68785
2014 ,"'Disability declared' ","'17 and under' ",60
2014 ,"'Disability declared' ","'18' ",14890
2014 ,"'Disability declared' ","'19' ",8370
2014 ,"'Disability declared' ","'20' ",3305
2014 ,"'Disability declared' ","'21 and over' ",9040
2014 ,"'No disability declared' ","'17 and under' ",1020
2014 ,"'No disability declared' ","'18' ",207270
2014 ,"'No disability declared' ","'19' ",76840
2014 ,"'No disability declared' ","'20' ",26490
2014 ,"'No disability declared' ","'21 and over' ",72290
2015 ,"'Disability declared' ","'17 and under' ",75
2015 ,"'Disability declared' ","'18' ",17185
2015 ,"'Disability declared' ","'19' ",9350
2015 ,"'Disability declared' ","'20' ",3590
2015 ,"'Disability declared' ","'21 and over' ",9700
2015 ,"'No disability declared' ","'17 and under' ",1100
2015 ,"'No disability declared' ","'18' ",215100
2015 ,"'No disability declared' ","'19' ",77425
2015 ,"'No disability declared' ","'20' ",25100
2015 ,"'No disability declared' ","'21 and over' ",73145
2016 ,"'Disability declared' ","'17 and under' ",95
2016 ,"'Disability declared' ","'18' ",19025
2016 ,"'Disability declared' ","'19' ",10245
2016 ,"'Disability declared' ","'20' ",3880
2016 ,"'Disability declared' ","'21 and over' ",10250
2016 ,"'No disability declared' ","'17 and under' ",1125
2016 ,"'No disability declared' ","'18' ",216810
2016 ,"'No disability declared' ","'19' ",76850
2016 ,"'No disability declared' ","'20' ",24285
2016 ,"'No disability declared' ","'21 and over' ",72065
