"Statistic:   Number of Acceptances"
"Variables:   Disability Indicator , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_029_05.pdf"
 
Cycle Year,Disability Indicator , Age Band , Sex , Applicant Domicile (High Level),Number of Acceptances,
2010 ,"'Disability declared' ","'17 and under' ","'Men' ","'England' ",15
2010 ,"'Disability declared' ","'17 and under' ","'Men' ","'Scotland' ",5
2010 ,"'Disability declared' ","'17 and under' ","'Women' ","'England' ",20
2010 ,"'Disability declared' ","'17 and under' ","'Women' ","'Scotland' ",10
2010 ,"'Disability declared' ","'18' ","'Men' ","'England' ",4830
2010 ,"'Disability declared' ","'18' ","'Men' ","'Northern Ireland' ",170
2010 ,"'Disability declared' ","'18' ","'Men' ","'Scotland' ",340
2010 ,"'Disability declared' ","'18' ","'Men' ","'Wales' ",235
2010 ,"'Disability declared' ","'18' ","'Women' ","'England' ",4545
2010 ,"'Disability declared' ","'18' ","'Women' ","'Northern Ireland' ",145
2010 ,"'Disability declared' ","'18' ","'Women' ","'Scotland' ",305
2010 ,"'Disability declared' ","'18' ","'Women' ","'Wales' ",210
2010 ,"'Disability declared' ","'19' ","'Men' ","'England' ",2690
2010 ,"'Disability declared' ","'19' ","'Men' ","'Northern Ireland' ",45
2010 ,"'Disability declared' ","'19' ","'Men' ","'Scotland' ",135
2010 ,"'Disability declared' ","'19' ","'Men' ","'Wales' ",90
2010 ,"'Disability declared' ","'19' ","'Women' ","'England' ",2645
2010 ,"'Disability declared' ","'19' ","'Women' ","'Northern Ireland' ",45
2010 ,"'Disability declared' ","'19' ","'Women' ","'Scotland' ",130
2010 ,"'Disability declared' ","'19' ","'Women' ","'Wales' ",115
2010 ,"'Disability declared' ","'20' ","'Men' ","'England' ",1020
2010 ,"'Disability declared' ","'20' ","'Men' ","'Northern Ireland' ",30
2010 ,"'Disability declared' ","'20' ","'Men' ","'Scotland' ",70
2010 ,"'Disability declared' ","'20' ","'Men' ","'Wales' ",50
2010 ,"'Disability declared' ","'20' ","'Women' ","'England' ",1000
2010 ,"'Disability declared' ","'20' ","'Women' ","'Northern Ireland' ",25
2010 ,"'Disability declared' ","'20' ","'Women' ","'Scotland' ",70
2010 ,"'Disability declared' ","'20' ","'Women' ","'Wales' ",35
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'England' ",2590
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'Northern Ireland' ",65
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'Scotland' ",310
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'Wales' ",140
2010 ,"'Disability declared' ","'21 and over' ","'Women' ","'England' ",3360
2010 ,"'Disability declared' ","'21 and over' ","'Women' ","'Northern Ireland' ",70
2010 ,"'Disability declared' ","'21 and over' ","'Women' ","'Scotland' ",380
2010 ,"'Disability declared' ","'21 and over' ","'Women' ","'Wales' ",165
2010 ,"'No disability declared' ","'17 and under' ","'Men' ","'England' ",365
2010 ,"'No disability declared' ","'17 and under' ","'Men' ","'Northern Ireland' ",15
2010 ,"'No disability declared' ","'17 and under' ","'Men' ","'Scotland' ",165
