"Statistic:   Number of Applicants"
"Variables:   Disability Indicator , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_029_06.pdf"
 
Cycle Year,Disability Indicator , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2010 ,"'Disability declared' ","'17 and under' ","'Men' ","'England' ",35
2010 ,"'Disability declared' ","'17 and under' ","'Men' ","'Scotland' ",15
2010 ,"'Disability declared' ","'17 and under' ","'Women' ","'England' ",35
2010 ,"'Disability declared' ","'17 and under' ","'Women' ","'Scotland' ",20
2010 ,"'Disability declared' ","'17 and under' ","'Women' ","'Wales' ",5
2010 ,"'Disability declared' ","'18' ","'Men' ","'England' ",6085
2010 ,"'Disability declared' ","'18' ","'Men' ","'Northern Ireland' ",245
2010 ,"'Disability declared' ","'18' ","'Men' ","'Scotland' ",470
2010 ,"'Disability declared' ","'18' ","'Men' ","'Wales' ",290
2010 ,"'Disability declared' ","'18' ","'Women' ","'England' ",5925
2010 ,"'Disability declared' ","'18' ","'Women' ","'Northern Ireland' ",225
2010 ,"'Disability declared' ","'18' ","'Women' ","'Scotland' ",455
2010 ,"'Disability declared' ","'18' ","'Women' ","'Wales' ",275
2010 ,"'Disability declared' ","'19' ","'Men' ","'England' ",3310
2010 ,"'Disability declared' ","'19' ","'Men' ","'Northern Ireland' ",60
2010 ,"'Disability declared' ","'19' ","'Men' ","'Scotland' ",190
2010 ,"'Disability declared' ","'19' ","'Men' ","'Wales' ",120
2010 ,"'Disability declared' ","'19' ","'Women' ","'England' ",3345
2010 ,"'Disability declared' ","'19' ","'Women' ","'Northern Ireland' ",70
2010 ,"'Disability declared' ","'19' ","'Women' ","'Scotland' ",205
2010 ,"'Disability declared' ","'19' ","'Women' ","'Wales' ",135
2010 ,"'Disability declared' ","'20' ","'Men' ","'England' ",1320
2010 ,"'Disability declared' ","'20' ","'Men' ","'Northern Ireland' ",45
2010 ,"'Disability declared' ","'20' ","'Men' ","'Scotland' ",120
2010 ,"'Disability declared' ","'20' ","'Men' ","'Wales' ",60
2010 ,"'Disability declared' ","'20' ","'Women' ","'England' ",1430
2010 ,"'Disability declared' ","'20' ","'Women' ","'Northern Ireland' ",30
2010 ,"'Disability declared' ","'20' ","'Women' ","'Scotland' ",115
2010 ,"'Disability declared' ","'20' ","'Women' ","'Wales' ",60
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'England' ",4225
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'Northern Ireland' ",115
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'Scotland' ",480
2010 ,"'Disability declared' ","'21 and over' ","'Men' ","'Wales' ",235
2010 ,"'Disability declared' ","'21 and over' ","'Women' ","'England' ",6110
2010 ,"'Disability declared' ","'21 and over' ","'Women' ","'Northern Ireland' ",140
