"Statistic:   Number of Acceptances"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_05.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'Academy' ","'18' ","'Men' ","'England' ",21520
2007 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",5
2007 ,"'Academy' ","'18' ","'Men' ","'Wales' ",10
2007 ,"'Academy' ","'18' ","'Women' ","'England' ",26595
2007 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",5
2007 ,"'Academy' ","'18' ","'Women' ","'Wales' ",20
2007 ,"'Academy' ","'19' ","'Men' ","'England' ",3880
2007 ,"'Academy' ","'19' ","'Men' ","'Wales' ",10
2007 ,"'Academy' ","'19' ","'Women' ","'England' ",3955
2007 ,"'Academy' ","'19' ","'Women' ","'Northern Ireland' ",5
2007 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",5
2007 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2007 ,"'Further education' ","'18' ","'Men' ","'England' ",6490
2007 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",250
2007 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",65
2007 ,"'Further education' ","'18' ","'Men' ","'Wales' ",640
2007 ,"'Further education' ","'18' ","'Women' ","'England' ",8545
2007 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",260
2007 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",160
2007 ,"'Further education' ","'18' ","'Women' ","'Wales' ",910
2007 ,"'Further education' ","'19' ","'Men' ","'England' ",5765
2007 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",185
2007 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",340
2007 ,"'Further education' ","'19' ","'Men' ","'Wales' ",415
2007 ,"'Further education' ","'19' ","'Women' ","'England' ",6470
2007 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",290
2007 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",560
2007 ,"'Further education' ","'19' ","'Women' ","'Wales' ",485
2007 ,"'Grammar' ","'18' ","'Men' ","'England' ",1585
2007 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",2885
2007 ,"'Grammar' ","'18' ","'Women' ","'England' ",1630
2007 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",3460
2007 ,"'Grammar' ","'19' ","'Men' ","'England' ",265
2007 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",255
2007 ,"'Grammar' ","'19' ","'Women' ","'England' ",255
2007 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",305
2007 ,"'Grammar' ","'19' ","'Women' ","'Scotland' ",5
2007 ,"'Independent' ","'18' ","'Men' ","'England' ",10290
2007 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",35
2007 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",850
2007 ,"'Independent' ","'18' ","'Men' ","'Wales' ",215
2007 ,"'Independent' ","'18' ","'Women' ","'England' ",9915
2007 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",60
2007 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",930
2007 ,"'Independent' ","'18' ","'Women' ","'Wales' ",290
2007 ,"'Independent' ","'19' ","'Men' ","'England' ",2845
2007 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",5
2007 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",285
2007 ,"'Independent' ","'19' ","'Men' ","'Wales' ",55
2007 ,"'Independent' ","'19' ","'Women' ","'England' ",2495
2007 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",5
2007 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",235
2007 ,"'Independent' ","'19' ","'Women' ","'Wales' ",40
2007 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",14505
2007 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",15
2007 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",145
2007 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",19605
2007 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",20
2007 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",190
2007 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",5725
2007 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",15
2007 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",105
2007 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",6255
2007 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",25
2007 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",140
2007 ,"'State' ","'18' ","'Men' ","'England' ",14990
2007 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",595
2007 ,"'State' ","'18' ","'Men' ","'Scotland' ",5055
2007 ,"'State' ","'18' ","'Men' ","'Wales' ",2955
2007 ,"'State' ","'18' ","'Women' ","'England' ",19050
2007 ,"'State' ","'18' ","'Women' ","'Northern Ireland' ",1180
2007 ,"'State' ","'18' ","'Women' ","'Scotland' ",6300
2007 ,"'State' ","'18' ","'Women' ","'Wales' ",3700
2007 ,"'State' ","'19' ","'Men' ","'England' ",3780
2007 ,"'State' ","'19' ","'Men' ","'Northern Ireland' ",105
2007 ,"'State' ","'19' ","'Men' ","'Scotland' ",625
2007 ,"'State' ","'19' ","'Men' ","'Wales' ",395
2007 ,"'State' ","'19' ","'Women' ","'England' ",3815
2007 ,"'State' ","'19' ","'Women' ","'Northern Ireland' ",135
2007 ,"'State' ","'19' ","'Women' ","'Scotland' ",610
2007 ,"'State' ","'19' ","'Women' ","'Wales' ",415
2007 ,"'Other' ","'18' ","'Men' ","'England' ",2105
2007 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",30
2007 ,"'Other' ","'18' ","'Men' ","'Scotland' ",55
2007 ,"'Other' ","'18' ","'Men' ","'Wales' ",90
2007 ,"'Other' ","'18' ","'Women' ","'England' ",3075
2007 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",55
2007 ,"'Other' ","'18' ","'Women' ","'Scotland' ",85
2007 ,"'Other' ","'18' ","'Women' ","'Wales' ",115
2007 ,"'Other' ","'19' ","'Men' ","'England' ",4470
2007 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",115
2007 ,"'Other' ","'19' ","'Men' ","'Scotland' ",180
2007 ,"'Other' ","'19' ","'Men' ","'Wales' ",260
2007 ,"'Other' ","'19' ","'Women' ","'England' ",7230
2007 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",220
2007 ,"'Other' ","'19' ","'Women' ","'Scotland' ",255
2007 ,"'Other' ","'19' ","'Women' ","'Wales' ",415
2008 ,"'Academy' ","'18' ","'Men' ","'England' ",22675
2008 ,"'Academy' ","'18' ","'Men' ","'Wales' ",10
2008 ,"'Academy' ","'18' ","'Women' ","'England' ",28435
2008 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",15
2008 ,"'Academy' ","'18' ","'Women' ","'Wales' ",20
2008 ,"'Academy' ","'19' ","'Men' ","'England' ",4920
2008 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2008 ,"'Academy' ","'19' ","'Men' ","'Wales' ",5
2008 ,"'Academy' ","'19' ","'Women' ","'England' ",5365
2008 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",10
2008 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2008 ,"'Further education' ","'18' ","'Men' ","'England' ",6880
2008 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",275
2008 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",80
2008 ,"'Further education' ","'18' ","'Men' ","'Wales' ",635
2008 ,"'Further education' ","'18' ","'Women' ","'England' ",9685
2008 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",265
2008 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",155
2008 ,"'Further education' ","'18' ","'Women' ","'Wales' ",920
2008 ,"'Further education' ","'19' ","'Men' ","'England' ",6050
2008 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",195
2008 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",320
2008 ,"'Further education' ","'19' ","'Men' ","'Wales' ",445
2008 ,"'Further education' ","'19' ","'Women' ","'England' ",7340
2008 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",275
2008 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",545
2008 ,"'Further education' ","'19' ","'Women' ","'Wales' ",515
2008 ,"'Grammar' ","'18' ","'Men' ","'England' ",1615
