"Statistic:   Number of Applicants"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_06.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2007 ,"'Academy' ","'18' ","'Men' ","'England' ",24770
2007 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",10
2007 ,"'Academy' ","'18' ","'Men' ","'Wales' ",10
2007 ,"'Academy' ","'18' ","'Women' ","'England' ",30925
2007 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",10
2007 ,"'Academy' ","'18' ","'Women' ","'Wales' ",20
2007 ,"'Academy' ","'19' ","'Men' ","'England' ",4410
2007 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2007 ,"'Academy' ","'19' ","'Men' ","'Wales' ",10
2007 ,"'Academy' ","'19' ","'Women' ","'England' ",4545
2007 ,"'Academy' ","'19' ","'Women' ","'Northern Ireland' ",5
2007 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",5
2007 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2007 ,"'Further education' ","'18' ","'Men' ","'England' ",8035
2007 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",395
2007 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",105
2007 ,"'Further education' ","'18' ","'Men' ","'Wales' ",780
2007 ,"'Further education' ","'18' ","'Women' ","'England' ",10900
2007 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",425
2007 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",250
2007 ,"'Further education' ","'18' ","'Women' ","'Wales' ",1125
2007 ,"'Further education' ","'19' ","'Men' ","'England' ",6965
2007 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",270
2007 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",485
2007 ,"'Further education' ","'19' ","'Men' ","'Wales' ",515
2007 ,"'Further education' ","'19' ","'Women' ","'England' ",8080
2007 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",425
2007 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",830
2007 ,"'Further education' ","'19' ","'Women' ","'Wales' ",605
2007 ,"'Grammar' ","'18' ","'Men' ","'England' ",1785
2007 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",3350
2007 ,"'Grammar' ","'18' ","'Women' ","'England' ",1850
2007 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",4100
2007 ,"'Grammar' ","'19' ","'Men' ","'England' ",285
2007 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",295
2007 ,"'Grammar' ","'19' ","'Women' ","'England' ",285
2007 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",380
2007 ,"'Grammar' ","'19' ","'Women' ","'Scotland' ",5
2007 ,"'Independent' ","'18' ","'Men' ","'England' ",12190
2007 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",35
2007 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",960
2007 ,"'Independent' ","'18' ","'Men' ","'Wales' ",255
2007 ,"'Independent' ","'18' ","'Women' ","'England' ",11520
2007 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",75
2007 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",1035
2007 ,"'Independent' ","'18' ","'Women' ","'Wales' ",330
2007 ,"'Independent' ","'19' ","'Men' ","'England' ",3120
2007 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",5
2007 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",340
2007 ,"'Independent' ","'19' ","'Men' ","'Wales' ",60
2007 ,"'Independent' ","'19' ","'Women' ","'England' ",2740
2007 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",10
2007 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",270
2007 ,"'Independent' ","'19' ","'Women' ","'Wales' ",45
2007 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",16765
2007 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",20
2007 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",165
2007 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",23190
2007 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",35
2007 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",240
2007 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",6615
2007 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",20
2007 ,"'Sixth form college' ","'19' ","'Men' ","'Scotland' ",5
2007 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",120
2007 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",7460
2007 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",30
2007 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2007 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",165
2007 ,"'State' ","'18' ","'Men' ","'England' ",17775
2007 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",850
2007 ,"'State' ","'18' ","'Men' ","'Scotland' ",6195
2007 ,"'State' ","'18' ","'Men' ","'Wales' ",3315
2007 ,"'State' ","'18' ","'Women' ","'England' ",22680
