"Statistic:   Number of Applicants"
"Variables:   POLAR3 Quintile , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_038_04.pdf"
 
Cycle Year,POLAR3 Quintile , Applicant Domicile (High Level),Number of Applicants,
2006 ,"'POLAR3 Quintile 1' ","'England' ",17635
2006 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",720
2006 ,"'POLAR3 Quintile 1' ","'Scotland' ",645
2006 ,"'POLAR3 Quintile 1' ","'Wales' ",1445
2006 ,"'POLAR3 Quintile 2' ","'England' ",27215
2006 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1130
2006 ,"'POLAR3 Quintile 2' ","'Scotland' ",1675
2006 ,"'POLAR3 Quintile 2' ","'Wales' ",2240
2006 ,"'POLAR3 Quintile 3' ","'England' ",36575
2006 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1735
2006 ,"'POLAR3 Quintile 3' ","'Scotland' ",2680
2006 ,"'POLAR3 Quintile 3' ","'Wales' ",1995
2006 ,"'POLAR3 Quintile 4' ","'England' ",44745
2006 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3465
2006 ,"'POLAR3 Quintile 4' ","'Scotland' ",4150
2006 ,"'POLAR3 Quintile 4' ","'Wales' ",2680
2006 ,"'POLAR3 Quintile 5' ","'England' ",61595
2006 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4325
2006 ,"'POLAR3 Quintile 5' ","'Scotland' ",8550
2006 ,"'POLAR3 Quintile 5' ","'Wales' ",3025
2006 ,"'Not assigned' ","'England' ",1410
2006 ,"'Not assigned' ","'Northern Ireland' ",75
2006 ,"'Not assigned' ","'Scotland' ",120
2006 ,"'Not assigned' ","'Wales' ",85
2007 ,"'POLAR3 Quintile 1' ","'England' ",18165
2007 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",640
2007 ,"'POLAR3 Quintile 1' ","'Scotland' ",585
2007 ,"'POLAR3 Quintile 1' ","'Wales' ",1320
2007 ,"'POLAR3 Quintile 2' ","'England' ",27650
2007 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1055
2007 ,"'POLAR3 Quintile 2' ","'Scotland' ",1595
2007 ,"'POLAR3 Quintile 2' ","'Wales' ",2155
2007 ,"'POLAR3 Quintile 3' ","'England' ",36990
2007 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1660
2007 ,"'POLAR3 Quintile 3' ","'Scotland' ",2610
