"Statistic:   Number of Acceptances"
"Variables:   POLAR3 Quintile , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_038_05.pdf"
 
Cycle Year,POLAR3 Quintile , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'POLAR3 Quintile 1' ","'England' ",14240
2006 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",455
2006 ,"'POLAR3 Quintile 1' ","'Scotland' ",420
2006 ,"'POLAR3 Quintile 1' ","'Wales' ",1160
2006 ,"'POLAR3 Quintile 2' ","'England' ",22405
2006 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",815
2006 ,"'POLAR3 Quintile 2' ","'Scotland' ",1220
2006 ,"'POLAR3 Quintile 2' ","'Wales' ",1840
2006 ,"'POLAR3 Quintile 3' ","'England' ",30480
2006 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1285
2006 ,"'POLAR3 Quintile 3' ","'Scotland' ",2000
2006 ,"'POLAR3 Quintile 3' ","'Wales' ",1660
2006 ,"'POLAR3 Quintile 4' ","'England' ",37835
2006 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",2620
2006 ,"'POLAR3 Quintile 4' ","'Scotland' ",3210
2006 ,"'POLAR3 Quintile 4' ","'Wales' ",2265
2006 ,"'POLAR3 Quintile 5' ","'England' ",52805
2006 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",3415
2006 ,"'POLAR3 Quintile 5' ","'Scotland' ",7050
2006 ,"'POLAR3 Quintile 5' ","'Wales' ",2655
2006 ,"'Not assigned' ","'England' ",1065
2006 ,"'Not assigned' ","'Northern Ireland' ",55
2006 ,"'Not assigned' ","'Scotland' ",95
2006 ,"'Not assigned' ","'Wales' ",65
2007 ,"'POLAR3 Quintile 1' ","'England' ",14510
2007 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",440
2007 ,"'POLAR3 Quintile 1' ","'Scotland' ",420
2007 ,"'POLAR3 Quintile 1' ","'Wales' ",1050
2007 ,"'POLAR3 Quintile 2' ","'England' ",22505
2007 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",785
2007 ,"'POLAR3 Quintile 2' ","'Scotland' ",1145
2007 ,"'POLAR3 Quintile 2' ","'Wales' ",1765
2007 ,"'POLAR3 Quintile 3' ","'England' ",30605
2007 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1290
2007 ,"'POLAR3 Quintile 3' ","'Scotland' ",2000
2007 ,"'POLAR3 Quintile 3' ","'Wales' ",1580
2007 ,"'POLAR3 Quintile 4' ","'England' ",38635
2007 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",2675
2007 ,"'POLAR3 Quintile 4' ","'Scotland' ",3145
2007 ,"'POLAR3 Quintile 4' ","'Wales' ",2195
2007 ,"'POLAR3 Quintile 5' ","'England' ",52865
2007 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",3595
2007 ,"'POLAR3 Quintile 5' ","'Scotland' ",6755
2007 ,"'POLAR3 Quintile 5' ","'Wales' ",2645
2007 ,"'Not assigned' ","'England' ",785
2007 ,"'Not assigned' ","'Northern Ireland' ",50
2007 ,"'Not assigned' ","'Scotland' ",55
2007 ,"'Not assigned' ","'Wales' ",50
2008 ,"'POLAR3 Quintile 1' ","'England' ",15915
2008 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",420
2008 ,"'POLAR3 Quintile 1' ","'Scotland' ",390
2008 ,"'POLAR3 Quintile 1' ","'Wales' ",1135
2008 ,"'POLAR3 Quintile 2' ","'England' ",24475
2008 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",775
2008 ,"'POLAR3 Quintile 2' ","'Scotland' ",1175
2008 ,"'POLAR3 Quintile 2' ","'Wales' ",1845
2008 ,"'POLAR3 Quintile 3' ","'England' ",32340
2008 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1270
2008 ,"'POLAR3 Quintile 3' ","'Scotland' ",1985
2008 ,"'POLAR3 Quintile 3' ","'Wales' ",1610
2008 ,"'POLAR3 Quintile 4' ","'England' ",40690
2008 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",2635
2008 ,"'POLAR3 Quintile 4' ","'Scotland' ",3250
2008 ,"'POLAR3 Quintile 4' ","'Wales' ",2225
2008 ,"'POLAR3 Quintile 5' ","'England' ",55050
2008 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",3585
2008 ,"'POLAR3 Quintile 5' ","'Scotland' ",6915
2008 ,"'POLAR3 Quintile 5' ","'Wales' ",2650
2008 ,"'Not assigned' ","'England' ",2585
2008 ,"'Not assigned' ","'Northern Ireland' ",245
2008 ,"'Not assigned' ","'Scotland' ",275
2008 ,"'Not assigned' ","'Wales' ",195
2009 ,"'POLAR3 Quintile 1' ","'England' ",17315
2009 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",455
2009 ,"'POLAR3 Quintile 1' ","'Scotland' ",405
2009 ,"'POLAR3 Quintile 1' ","'Wales' ",1240
2009 ,"'POLAR3 Quintile 2' ","'England' ",26055
2009 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",835
2009 ,"'POLAR3 Quintile 2' ","'Scotland' ",1300
