"Statistic:   Number of Applicants"
"Variables:   POLAR3 Quintile , Sex , Cycle Year"
"Coverage:   UK domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_039_04.pdf"
 
Cycle Year,POLAR3 Quintile , Sex,Number of Applicants,
2006 ,"'POLAR3 Quintile 1' ","'Men' ",8310
2006 ,"'POLAR3 Quintile 1' ","'Women' ",12135
2006 ,"'POLAR3 Quintile 2' ","'Men' ",13605
2006 ,"'POLAR3 Quintile 2' ","'Women' ",18655
2006 ,"'POLAR3 Quintile 3' ","'Men' ",18735
2006 ,"'POLAR3 Quintile 3' ","'Women' ",24255
2006 ,"'POLAR3 Quintile 4' ","'Men' ",24490
2006 ,"'POLAR3 Quintile 4' ","'Women' ",30555
2006 ,"'POLAR3 Quintile 5' ","'Men' ",36395
2006 ,"'POLAR3 Quintile 5' ","'Women' ",41105
2006 ,"'Not assigned' ","'Men' ",770
2006 ,"'Not assigned' ","'Women' ",925
2007 ,"'POLAR3 Quintile 1' ","'Men' ",8615
2007 ,"'POLAR3 Quintile 1' ","'Women' ",12095
2007 ,"'POLAR3 Quintile 2' ","'Men' ",13645
2007 ,"'POLAR3 Quintile 2' ","'Women' ",18815
2007 ,"'POLAR3 Quintile 3' ","'Men' ",18375
2007 ,"'POLAR3 Quintile 3' ","'Women' ",24750
2007 ,"'POLAR3 Quintile 4' ","'Men' ",25040
2007 ,"'POLAR3 Quintile 4' ","'Women' ",30905
2007 ,"'POLAR3 Quintile 5' ","'Men' ",36245
2007 ,"'POLAR3 Quintile 5' ","'Women' ",41425
2007 ,"'Not assigned' ","'Men' ",615
2007 ,"'Not assigned' ","'Women' ",745
2008 ,"'POLAR3 Quintile 1' ","'Men' ",8905
2008 ,"'POLAR3 Quintile 1' ","'Women' ",13375
2008 ,"'POLAR3 Quintile 2' ","'Men' ",14345
2008 ,"'POLAR3 Quintile 2' ","'Women' ",20090
2008 ,"'POLAR3 Quintile 3' ","'Men' ",18970
2008 ,"'POLAR3 Quintile 3' ","'Women' ",25835
2008 ,"'POLAR3 Quintile 4' ","'Men' ",25785
2008 ,"'POLAR3 Quintile 4' ","'Women' ",32355
2008 ,"'POLAR3 Quintile 5' ","'Men' ",37295
2008 ,"'POLAR3 Quintile 5' ","'Women' ",42965
2008 ,"'Not assigned' ","'Men' ",1830
