"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_05.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Acceptances,
2010 ,"'3 points' ","'POLAR3 Quintile 1' ",30
2010 ,"'3 points' ","'POLAR3 Quintile 2' ",45
2010 ,"'3 points' ","'POLAR3 Quintile 3' ",45
2010 ,"'3 points' ","'POLAR3 Quintile 4' ",45
2010 ,"'3 points' ","'POLAR3 Quintile 5' ",45
2010 ,"'4 points' ","'POLAR3 Quintile 1' ",110
2010 ,"'4 points' ","'POLAR3 Quintile 2' ",135
2010 ,"'4 points' ","'POLAR3 Quintile 3' ",205
2010 ,"'4 points' ","'POLAR3 Quintile 4' ",170
2010 ,"'4 points' ","'POLAR3 Quintile 5' ",190
2010 ,"'5 points' ","'POLAR3 Quintile 1' ",270
2010 ,"'5 points' ","'POLAR3 Quintile 2' ",375
2010 ,"'5 points' ","'POLAR3 Quintile 3' ",480
2010 ,"'5 points' ","'POLAR3 Quintile 4' ",495
2010 ,"'5 points' ","'POLAR3 Quintile 5' ",540
2010 ,"'5 points' ","'Not assigned' ",10
2010 ,"'6 points' ","'POLAR3 Quintile 1' ",555
2010 ,"'6 points' ","'POLAR3 Quintile 2' ",810
2010 ,"'6 points' ","'POLAR3 Quintile 3' ",925
2010 ,"'6 points' ","'POLAR3 Quintile 4' ",1070
2010 ,"'6 points' ","'POLAR3 Quintile 5' ",1100
2010 ,"'6 points' ","'Not assigned' ",10
2010 ,"'7 points' ","'POLAR3 Quintile 1' ",860
2010 ,"'7 points' ","'POLAR3 Quintile 2' ",1265
2010 ,"'7 points' ","'POLAR3 Quintile 3' ",1540
2010 ,"'7 points' ","'POLAR3 Quintile 4' ",1675
2010 ,"'7 points' ","'POLAR3 Quintile 5' ",1875
2010 ,"'7 points' ","'Not assigned' ",15
2010 ,"'8 points' ","'POLAR3 Quintile 1' ",1160
2010 ,"'8 points' ","'POLAR3 Quintile 2' ",1680
2010 ,"'8 points' ","'POLAR3 Quintile 3' ",2110
2010 ,"'8 points' ","'POLAR3 Quintile 4' ",2430
2010 ,"'8 points' ","'POLAR3 Quintile 5' ",2700
2010 ,"'8 points' ","'Not assigned' ",20
2010 ,"'9 points' ","'POLAR3 Quintile 1' ",1480
2010 ,"'9 points' ","'POLAR3 Quintile 2' ",2180
2010 ,"'9 points' ","'POLAR3 Quintile 3' ",2685
2010 ,"'9 points' ","'POLAR3 Quintile 4' ",3200
2010 ,"'9 points' ","'POLAR3 Quintile 5' ",3730
2010 ,"'9 points' ","'Not assigned' ",30
2010 ,"'10 points' ","'POLAR3 Quintile 1' ",1465
2010 ,"'10 points' ","'POLAR3 Quintile 2' ",2300
2010 ,"'10 points' ","'POLAR3 Quintile 3' ",2985
2010 ,"'10 points' ","'POLAR3 Quintile 4' ",3690
2010 ,"'10 points' ","'POLAR3 Quintile 5' ",4380
2010 ,"'10 points' ","'Not assigned' ",20
2010 ,"'11 points' ","'POLAR3 Quintile 1' ",1420
2010 ,"'11 points' ","'POLAR3 Quintile 2' ",2310
2010 ,"'11 points' ","'POLAR3 Quintile 3' ",3065
2010 ,"'11 points' ","'POLAR3 Quintile 4' ",3930
2010 ,"'11 points' ","'POLAR3 Quintile 5' ",4900
2010 ,"'11 points' ","'Not assigned' ",45
2010 ,"'12 points' ","'POLAR3 Quintile 1' ",1410
2010 ,"'12 points' ","'POLAR3 Quintile 2' ",2290
2010 ,"'12 points' ","'POLAR3 Quintile 3' ",3135
2010 ,"'12 points' ","'POLAR3 Quintile 4' ",4045
2010 ,"'12 points' ","'POLAR3 Quintile 5' ",5555
2010 ,"'12 points' ","'Not assigned' ",25
2010 ,"'13 points' ","'POLAR3 Quintile 1' ",1160
2010 ,"'13 points' ","'POLAR3 Quintile 2' ",2000
2010 ,"'13 points' ","'POLAR3 Quintile 3' ",2905
2010 ,"'13 points' ","'POLAR3 Quintile 4' ",4010
2010 ,"'13 points' ","'POLAR3 Quintile 5' ",5765
2010 ,"'13 points' ","'Not assigned' ",25
2010 ,"'14 points' ","'POLAR3 Quintile 1' ",910
2010 ,"'14 points' ","'POLAR3 Quintile 2' ",1660
2010 ,"'14 points' ","'POLAR3 Quintile 3' ",2450
2010 ,"'14 points' ","'POLAR3 Quintile 4' ",3835
2010 ,"'14 points' ","'POLAR3 Quintile 5' ",5830
2010 ,"'14 points' ","'Not assigned' ",25
2010 ,"'15 points' ","'POLAR3 Quintile 1' ",815
2010 ,"'15 points' ","'POLAR3 Quintile 2' ",1445
2010 ,"'15 points' ","'POLAR3 Quintile 3' ",2300
2010 ,"'15 points' ","'POLAR3 Quintile 4' ",3705
2010 ,"'15 points' ","'POLAR3 Quintile 5' ",6510
2010 ,"'15 points' ","'Not assigned' ",25
2010 ,"'16 points' ","'POLAR3 Quintile 1' ",535
2010 ,"'16 points' ","'POLAR3 Quintile 2' ",1015
2010 ,"'16 points' ","'POLAR3 Quintile 3' ",1640
2010 ,"'16 points' ","'POLAR3 Quintile 4' ",2765
2010 ,"'16 points' ","'POLAR3 Quintile 5' ",4880
2010 ,"'16 points' ","'Not assigned' ",15
2010 ,"'17 points' ","'POLAR3 Quintile 1' ",295
2010 ,"'17 points' ","'POLAR3 Quintile 2' ",580
2010 ,"'17 points' ","'POLAR3 Quintile 3' ",900
2010 ,"'17 points' ","'POLAR3 Quintile 4' ",1505
2010 ,"'17 points' ","'POLAR3 Quintile 5' ",3080
2010 ,"'17 points' ","'Not assigned' ",15
2010 ,"'18 points' ","'POLAR3 Quintile 1' ",190
2010 ,"'18 points' ","'POLAR3 Quintile 2' ",385
2010 ,"'18 points' ","'POLAR3 Quintile 3' ",660
2010 ,"'18 points' ","'POLAR3 Quintile 4' ",1140
2010 ,"'18 points' ","'POLAR3 Quintile 5' ",2505
2010 ,"'18 points' ","'Not assigned' ",5
2011 ,"'3 points' ","'POLAR3 Quintile 1' ",10
2011 ,"'3 points' ","'POLAR3 Quintile 2' ",30
2011 ,"'3 points' ","'POLAR3 Quintile 3' ",30
2011 ,"'3 points' ","'POLAR3 Quintile 4' ",45
2011 ,"'3 points' ","'POLAR3 Quintile 5' ",40
2011 ,"'4 points' ","'POLAR3 Quintile 1' ",85
2011 ,"'4 points' ","'POLAR3 Quintile 2' ",110
2011 ,"'4 points' ","'POLAR3 Quintile 3' ",135
2011 ,"'4 points' ","'POLAR3 Quintile 4' ",135
2011 ,"'4 points' ","'POLAR3 Quintile 5' ",180
2011 ,"'5 points' ","'POLAR3 Quintile 1' ",195
2011 ,"'5 points' ","'POLAR3 Quintile 2' ",325
2011 ,"'5 points' ","'POLAR3 Quintile 3' ",390
2011 ,"'5 points' ","'POLAR3 Quintile 4' ",435
2011 ,"'5 points' ","'POLAR3 Quintile 5' ",435
2011 ,"'5 points' ","'Not assigned' ",10
2011 ,"'6 points' ","'POLAR3 Quintile 1' ",495
2011 ,"'6 points' ","'POLAR3 Quintile 2' ",660
2011 ,"'6 points' ","'POLAR3 Quintile 3' ",820
2011 ,"'6 points' ","'POLAR3 Quintile 4' ",895
2011 ,"'6 points' ","'POLAR3 Quintile 5' ",955
2011 ,"'6 points' ","'Not assigned' ",5
2011 ,"'7 points' ","'POLAR3 Quintile 1' ",830
2011 ,"'7 points' ","'POLAR3 Quintile 2' ",1205
2011 ,"'7 points' ","'POLAR3 Quintile 3' ",1405
2011 ,"'7 points' ","'POLAR3 Quintile 4' ",1660
2011 ,"'7 points' ","'POLAR3 Quintile 5' ",1685
2011 ,"'8 points' ","'POLAR3 Quintile 1' ",1165
2011 ,"'8 points' ","'POLAR3 Quintile 2' ",1655
2011 ,"'8 points' ","'POLAR3 Quintile 3' ",2110
2011 ,"'8 points' ","'POLAR3 Quintile 4' ",2420
2011 ,"'8 points' ","'POLAR3 Quintile 5' ",2775
2011 ,"'8 points' ","'Not assigned' ",20
2011 ,"'9 points' ","'POLAR3 Quintile 1' ",1520
2011 ,"'9 points' ","'POLAR3 Quintile 2' ",2190
2011 ,"'9 points' ","'POLAR3 Quintile 3' ",2810
2011 ,"'9 points' ","'POLAR3 Quintile 4' ",3270
2011 ,"'9 points' ","'POLAR3 Quintile 5' ",3825
2011 ,"'9 points' ","'Not assigned' ",15
2011 ,"'10 points' ","'POLAR3 Quintile 1' ",1565
2011 ,"'10 points' ","'POLAR3 Quintile 2' ",2430
2011 ,"'10 points' ","'POLAR3 Quintile 3' ",3155
2011 ,"'10 points' ","'POLAR3 Quintile 4' ",3855
2011 ,"'10 points' ","'POLAR3 Quintile 5' ",4755
2011 ,"'10 points' ","'Not assigned' ",20
2011 ,"'11 points' ","'POLAR3 Quintile 1' ",1555
2011 ,"'11 points' ","'POLAR3 Quintile 2' ",2420
2011 ,"'11 points' ","'POLAR3 Quintile 3' ",3170
2011 ,"'11 points' ","'POLAR3 Quintile 4' ",4140
2011 ,"'11 points' ","'POLAR3 Quintile 5' ",5175
2011 ,"'11 points' ","'Not assigned' ",20
2011 ,"'12 points' ","'POLAR3 Quintile 1' ",1455
2011 ,"'12 points' ","'POLAR3 Quintile 2' ",2440
2011 ,"'12 points' ","'POLAR3 Quintile 3' ",3205
2011 ,"'12 points' ","'POLAR3 Quintile 4' ",4360
2011 ,"'12 points' ","'POLAR3 Quintile 5' ",5795
2011 ,"'12 points' ","'Not assigned' ",30
2011 ,"'13 points' ","'POLAR3 Quintile 1' ",1205
2011 ,"'13 points' ","'POLAR3 Quintile 2' ",2045
2011 ,"'13 points' ","'POLAR3 Quintile 3' ",2995
2011 ,"'13 points' ","'POLAR3 Quintile 4' ",4135
2011 ,"'13 points' ","'POLAR3 Quintile 5' ",6010
2011 ,"'13 points' ","'Not assigned' ",25
2011 ,"'14 points' ","'POLAR3 Quintile 1' ",995
2011 ,"'14 points' ","'POLAR3 Quintile 2' ",1695
2011 ,"'14 points' ","'POLAR3 Quintile 3' ",2585
2011 ,"'14 points' ","'POLAR3 Quintile 4' ",3810
2011 ,"'14 points' ","'POLAR3 Quintile 5' ",6170
2011 ,"'14 points' ","'Not assigned' ",30
2011 ,"'15 points' ","'POLAR3 Quintile 1' ",825
2011 ,"'15 points' ","'POLAR3 Quintile 2' ",1600
2011 ,"'15 points' ","'POLAR3 Quintile 3' ",2370
2011 ,"'15 points' ","'POLAR3 Quintile 4' ",3780
2011 ,"'15 points' ","'POLAR3 Quintile 5' ",6325
2011 ,"'15 points' ","'Not assigned' ",25
2011 ,"'16 points' ","'POLAR3 Quintile 1' ",595
2011 ,"'16 points' ","'POLAR3 Quintile 2' ",1120
2011 ,"'16 points' ","'POLAR3 Quintile 3' ",1730
2011 ,"'16 points' ","'POLAR3 Quintile 4' ",2650
2011 ,"'16 points' ","'POLAR3 Quintile 5' ",5235
2011 ,"'16 points' ","'Not assigned' ",20
2011 ,"'17 points' ","'POLAR3 Quintile 1' ",275
2011 ,"'17 points' ","'POLAR3 Quintile 2' ",560
2011 ,"'17 points' ","'POLAR3 Quintile 3' ",1010
2011 ,"'17 points' ","'POLAR3 Quintile 4' ",1680
2011 ,"'17 points' ","'POLAR3 Quintile 5' ",3155
2011 ,"'17 points' ","'Not assigned' ",5
2011 ,"'18 points' ","'POLAR3 Quintile 1' ",205
2011 ,"'18 points' ","'POLAR3 Quintile 2' ",430
2011 ,"'18 points' ","'POLAR3 Quintile 3' ",710
2011 ,"'18 points' ","'POLAR3 Quintile 4' ",1190
2011 ,"'18 points' ","'POLAR3 Quintile 5' ",2835
2011 ,"'18 points' ","'Not assigned' ",10
2012 ,"'3 points' ","'POLAR3 Quintile 1' ",15
2012 ,"'3 points' ","'POLAR3 Quintile 2' ",15
2012 ,"'3 points' ","'POLAR3 Quintile 3' ",30
2012 ,"'3 points' ","'POLAR3 Quintile 4' ",20
2012 ,"'3 points' ","'POLAR3 Quintile 5' ",40
2012 ,"'4 points' ","'POLAR3 Quintile 1' ",105
2012 ,"'4 points' ","'POLAR3 Quintile 2' ",105
2012 ,"'4 points' ","'POLAR3 Quintile 3' ",150
2012 ,"'4 points' ","'POLAR3 Quintile 4' ",140
2012 ,"'4 points' ","'POLAR3 Quintile 5' ",155
2012 ,"'5 points' ","'POLAR3 Quintile 1' ",240
2012 ,"'5 points' ","'POLAR3 Quintile 2' ",305
2012 ,"'5 points' ","'POLAR3 Quintile 3' ",385
2012 ,"'5 points' ","'POLAR3 Quintile 4' ",405
2012 ,"'5 points' ","'POLAR3 Quintile 5' ",435
2012 ,"'5 points' ","'Not assigned' ",5
2012 ,"'6 points' ","'POLAR3 Quintile 1' ",495
2012 ,"'6 points' ","'POLAR3 Quintile 2' ",675
2012 ,"'6 points' ","'POLAR3 Quintile 3' ",830
2012 ,"'6 points' ","'POLAR3 Quintile 4' ",825
2012 ,"'6 points' ","'POLAR3 Quintile 5' ",960
2012 ,"'6 points' ","'Not assigned' ",5
2012 ,"'7 points' ","'POLAR3 Quintile 1' ",765
2012 ,"'7 points' ","'POLAR3 Quintile 2' ",1190
2012 ,"'7 points' ","'POLAR3 Quintile 3' ",1430
2012 ,"'7 points' ","'POLAR3 Quintile 4' ",1480
2012 ,"'7 points' ","'POLAR3 Quintile 5' ",1610
2012 ,"'7 points' ","'Not assigned' ",10
2012 ,"'8 points' ","'POLAR3 Quintile 1' ",1055
2012 ,"'8 points' ","'POLAR3 Quintile 2' ",1620
2012 ,"'8 points' ","'POLAR3 Quintile 3' ",2005
2012 ,"'8 points' ","'POLAR3 Quintile 4' ",2245
2012 ,"'8 points' ","'POLAR3 Quintile 5' ",2505
2012 ,"'8 points' ","'Not assigned' ",10
2012 ,"'9 points' ","'POLAR3 Quintile 1' ",1355
2012 ,"'9 points' ","'POLAR3 Quintile 2' ",2010
2012 ,"'9 points' ","'POLAR3 Quintile 3' ",2630
2012 ,"'9 points' ","'POLAR3 Quintile 4' ",3030
2012 ,"'9 points' ","'POLAR3 Quintile 5' ",3465
2012 ,"'9 points' ","'Not assigned' ",15
2012 ,"'10 points' ","'POLAR3 Quintile 1' ",1495
2012 ,"'10 points' ","'POLAR3 Quintile 2' ",2305
2012 ,"'10 points' ","'POLAR3 Quintile 3' ",2890
2012 ,"'10 points' ","'POLAR3 Quintile 4' ",3580
2012 ,"'10 points' ","'POLAR3 Quintile 5' ",4340
2012 ,"'10 points' ","'Not assigned' ",35
2012 ,"'11 points' ","'POLAR3 Quintile 1' ",1550
2012 ,"'11 points' ","'POLAR3 Quintile 2' ",2355
2012 ,"'11 points' ","'POLAR3 Quintile 3' ",3040
2012 ,"'11 points' ","'POLAR3 Quintile 4' ",3850
2012 ,"'11 points' ","'POLAR3 Quintile 5' ",4905
2012 ,"'11 points' ","'Not assigned' ",15
2012 ,"'12 points' ","'POLAR3 Quintile 1' ",1410
2012 ,"'12 points' ","'POLAR3 Quintile 2' ",2305
2012 ,"'12 points' ","'POLAR3 Quintile 3' ",3085
2012 ,"'12 points' ","'POLAR3 Quintile 4' ",4155
2012 ,"'12 points' ","'POLAR3 Quintile 5' ",5625
2012 ,"'12 points' ","'Not assigned' ",25
2012 ,"'13 points' ","'POLAR3 Quintile 1' ",1195
2012 ,"'13 points' ","'POLAR3 Quintile 2' ",2055
2012 ,"'13 points' ","'POLAR3 Quintile 3' ",2825
2012 ,"'13 points' ","'POLAR3 Quintile 4' ",4155
2012 ,"'13 points' ","'POLAR3 Quintile 5' ",6000
2012 ,"'13 points' ","'Not assigned' ",20
2012 ,"'14 points' ","'POLAR3 Quintile 1' ",960
2012 ,"'14 points' ","'POLAR3 Quintile 2' ",1685
2012 ,"'14 points' ","'POLAR3 Quintile 3' ",2520
2012 ,"'14 points' ","'POLAR3 Quintile 4' ",3570
2012 ,"'14 points' ","'POLAR3 Quintile 5' ",5995
2012 ,"'14 points' ","'Not assigned' ",15
