"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_06.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Applicants,
2010 ,"'3 points' ","'POLAR3 Quintile 1' ",60
2010 ,"'3 points' ","'POLAR3 Quintile 2' ",85
2010 ,"'3 points' ","'POLAR3 Quintile 3' ",95
2010 ,"'3 points' ","'POLAR3 Quintile 4' ",115
2010 ,"'3 points' ","'POLAR3 Quintile 5' ",105
2010 ,"'4 points' ","'POLAR3 Quintile 1' ",210
2010 ,"'4 points' ","'POLAR3 Quintile 2' ",285
2010 ,"'4 points' ","'POLAR3 Quintile 3' ",370
2010 ,"'4 points' ","'POLAR3 Quintile 4' ",340
2010 ,"'4 points' ","'POLAR3 Quintile 5' ",345
2010 ,"'4 points' ","'Not assigned' ",5
2010 ,"'5 points' ","'POLAR3 Quintile 1' ",490
2010 ,"'5 points' ","'POLAR3 Quintile 2' ",650
2010 ,"'5 points' ","'POLAR3 Quintile 3' ",785
2010 ,"'5 points' ","'POLAR3 Quintile 4' ",810
2010 ,"'5 points' ","'POLAR3 Quintile 5' ",895
2010 ,"'5 points' ","'Not assigned' ",10
2010 ,"'6 points' ","'POLAR3 Quintile 1' ",830
2010 ,"'6 points' ","'POLAR3 Quintile 2' ",1175
2010 ,"'6 points' ","'POLAR3 Quintile 3' ",1375
2010 ,"'6 points' ","'POLAR3 Quintile 4' ",1610
2010 ,"'6 points' ","'POLAR3 Quintile 5' ",1635
2010 ,"'6 points' ","'Not assigned' ",15
2010 ,"'7 points' ","'POLAR3 Quintile 1' ",1155
2010 ,"'7 points' ","'POLAR3 Quintile 2' ",1725
2010 ,"'7 points' ","'POLAR3 Quintile 3' ",2080
2010 ,"'7 points' ","'POLAR3 Quintile 4' ",2300
2010 ,"'7 points' ","'POLAR3 Quintile 5' ",2625
2010 ,"'7 points' ","'Not assigned' ",20
2010 ,"'8 points' ","'POLAR3 Quintile 1' ",1520
2010 ,"'8 points' ","'POLAR3 Quintile 2' ",2165
2010 ,"'8 points' ","'POLAR3 Quintile 3' ",2735
2010 ,"'8 points' ","'POLAR3 Quintile 4' ",3165
2010 ,"'8 points' ","'POLAR3 Quintile 5' ",3575
2010 ,"'8 points' ","'Not assigned' ",25
2010 ,"'9 points' ","'POLAR3 Quintile 1' ",1770
2010 ,"'9 points' ","'POLAR3 Quintile 2' ",2660
2010 ,"'9 points' ","'POLAR3 Quintile 3' ",3320
2010 ,"'9 points' ","'POLAR3 Quintile 4' ",3960
2010 ,"'9 points' ","'POLAR3 Quintile 5' ",4665
2010 ,"'9 points' ","'Not assigned' ",35
2010 ,"'10 points' ","'POLAR3 Quintile 1' ",1750
2010 ,"'10 points' ","'POLAR3 Quintile 2' ",2735
2010 ,"'10 points' ","'POLAR3 Quintile 3' ",3570
2010 ,"'10 points' ","'POLAR3 Quintile 4' ",4460
2010 ,"'10 points' ","'POLAR3 Quintile 5' ",5420
2010 ,"'10 points' ","'Not assigned' ",25
2010 ,"'11 points' ","'POLAR3 Quintile 1' ",1650
2010 ,"'11 points' ","'POLAR3 Quintile 2' ",2675
2010 ,"'11 points' ","'POLAR3 Quintile 3' ",3655
2010 ,"'11 points' ","'POLAR3 Quintile 4' ",4675
2010 ,"'11 points' ","'POLAR3 Quintile 5' ",6080
2010 ,"'11 points' ","'Not assigned' ",50
2010 ,"'12 points' ","'POLAR3 Quintile 1' ",1585
2010 ,"'12 points' ","'POLAR3 Quintile 2' ",2620
2010 ,"'12 points' ","'POLAR3 Quintile 3' ",3570
2010 ,"'12 points' ","'POLAR3 Quintile 4' ",4725
2010 ,"'12 points' ","'POLAR3 Quintile 5' ",6585
2010 ,"'12 points' ","'Not assigned' ",25
2010 ,"'13 points' ","'POLAR3 Quintile 1' ",1290
2010 ,"'13 points' ","'POLAR3 Quintile 2' ",2255
2010 ,"'13 points' ","'POLAR3 Quintile 3' ",3250
2010 ,"'13 points' ","'POLAR3 Quintile 4' ",4535
2010 ,"'13 points' ","'POLAR3 Quintile 5' ",6605
2010 ,"'13 points' ","'Not assigned' ",30
2010 ,"'14 points' ","'POLAR3 Quintile 1' ",1000
2010 ,"'14 points' ","'POLAR3 Quintile 2' ",1835
2010 ,"'14 points' ","'POLAR3 Quintile 3' ",2710
2010 ,"'14 points' ","'POLAR3 Quintile 4' ",4270
2010 ,"'14 points' ","'POLAR3 Quintile 5' ",6530
2010 ,"'14 points' ","'Not assigned' ",30
2010 ,"'15 points' ","'POLAR3 Quintile 1' ",900
2010 ,"'15 points' ","'POLAR3 Quintile 2' ",1570
2010 ,"'15 points' ","'POLAR3 Quintile 3' ",2540
2010 ,"'15 points' ","'POLAR3 Quintile 4' ",4130
2010 ,"'15 points' ","'POLAR3 Quintile 5' ",7230
2010 ,"'15 points' ","'Not assigned' ",30
2010 ,"'16 points' ","'POLAR3 Quintile 1' ",570
2010 ,"'16 points' ","'POLAR3 Quintile 2' ",1090
2010 ,"'16 points' ","'POLAR3 Quintile 3' ",1820
2010 ,"'16 points' ","'POLAR3 Quintile 4' ",3055
2010 ,"'16 points' ","'POLAR3 Quintile 5' ",5410
2010 ,"'16 points' ","'Not assigned' ",15
2010 ,"'17 points' ","'POLAR3 Quintile 1' ",325
2010 ,"'17 points' ","'POLAR3 Quintile 2' ",625
2010 ,"'17 points' ","'POLAR3 Quintile 3' ",990
2010 ,"'17 points' ","'POLAR3 Quintile 4' ",1675
2010 ,"'17 points' ","'POLAR3 Quintile 5' ",3455
2010 ,"'17 points' ","'Not assigned' ",15
2010 ,"'18 points' ","'POLAR3 Quintile 1' ",200
2010 ,"'18 points' ","'POLAR3 Quintile 2' ",415
2010 ,"'18 points' ","'POLAR3 Quintile 3' ",720
2010 ,"'18 points' ","'POLAR3 Quintile 4' ",1255
2010 ,"'18 points' ","'POLAR3 Quintile 5' ",2760
2010 ,"'18 points' ","'Not assigned' ",5
2011 ,"'3 points' ","'POLAR3 Quintile 1' ",45
2011 ,"'3 points' ","'POLAR3 Quintile 2' ",75
2011 ,"'3 points' ","'POLAR3 Quintile 3' ",70
2011 ,"'3 points' ","'POLAR3 Quintile 4' ",75
2011 ,"'3 points' ","'POLAR3 Quintile 5' ",70
2011 ,"'4 points' ","'POLAR3 Quintile 1' ",175
2011 ,"'4 points' ","'POLAR3 Quintile 2' ",255
2011 ,"'4 points' ","'POLAR3 Quintile 3' ",270
2011 ,"'4 points' ","'POLAR3 Quintile 4' ",285
2011 ,"'4 points' ","'POLAR3 Quintile 5' ",310
2011 ,"'4 points' ","'Not assigned' ",5
2011 ,"'5 points' ","'POLAR3 Quintile 1' ",350
2011 ,"'5 points' ","'POLAR3 Quintile 2' ",595
2011 ,"'5 points' ","'POLAR3 Quintile 3' ",675
2011 ,"'5 points' ","'POLAR3 Quintile 4' ",775
2011 ,"'5 points' ","'POLAR3 Quintile 5' ",745
2011 ,"'5 points' ","'Not assigned' ",10
2011 ,"'6 points' ","'POLAR3 Quintile 1' ",785
2011 ,"'6 points' ","'POLAR3 Quintile 2' ",1065
2011 ,"'6 points' ","'POLAR3 Quintile 3' ",1280
2011 ,"'6 points' ","'POLAR3 Quintile 4' ",1375
2011 ,"'6 points' ","'POLAR3 Quintile 5' ",1450
2011 ,"'6 points' ","'Not assigned' ",10
2011 ,"'7 points' ","'POLAR3 Quintile 1' ",1160
2011 ,"'7 points' ","'POLAR3 Quintile 2' ",1670
2011 ,"'7 points' ","'POLAR3 Quintile 3' ",1945
2011 ,"'7 points' ","'POLAR3 Quintile 4' ",2245
2011 ,"'7 points' ","'POLAR3 Quintile 5' ",2385
2011 ,"'7 points' ","'Not assigned' ",5
2011 ,"'8 points' ","'POLAR3 Quintile 1' ",1505
2011 ,"'8 points' ","'POLAR3 Quintile 2' ",2120
2011 ,"'8 points' ","'POLAR3 Quintile 3' ",2690
2011 ,"'8 points' ","'POLAR3 Quintile 4' ",3055
2011 ,"'8 points' ","'POLAR3 Quintile 5' ",3525
2011 ,"'8 points' ","'Not assigned' ",25
2011 ,"'9 points' ","'POLAR3 Quintile 1' ",1815
2011 ,"'9 points' ","'POLAR3 Quintile 2' ",2610
2011 ,"'9 points' ","'POLAR3 Quintile 3' ",3345
2011 ,"'9 points' ","'POLAR3 Quintile 4' ",3955
2011 ,"'9 points' ","'POLAR3 Quintile 5' ",4620
2011 ,"'9 points' ","'Not assigned' ",20
2011 ,"'10 points' ","'POLAR3 Quintile 1' ",1820
2011 ,"'10 points' ","'POLAR3 Quintile 2' ",2820
2011 ,"'10 points' ","'POLAR3 Quintile 3' ",3670
2011 ,"'10 points' ","'POLAR3 Quintile 4' ",4530
2011 ,"'10 points' ","'POLAR3 Quintile 5' ",5585
2011 ,"'10 points' ","'Not assigned' ",25
2011 ,"'11 points' ","'POLAR3 Quintile 1' ",1740
2011 ,"'11 points' ","'POLAR3 Quintile 2' ",2700
2011 ,"'11 points' ","'POLAR3 Quintile 3' ",3600
2011 ,"'11 points' ","'POLAR3 Quintile 4' ",4725
2011 ,"'11 points' ","'POLAR3 Quintile 5' ",6040
2011 ,"'11 points' ","'Not assigned' ",30
2011 ,"'12 points' ","'POLAR3 Quintile 1' ",1600
2011 ,"'12 points' ","'POLAR3 Quintile 2' ",2680
2011 ,"'12 points' ","'POLAR3 Quintile 3' ",3590
2011 ,"'12 points' ","'POLAR3 Quintile 4' ",4905
