"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , Sex , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_043_05.pdf"
 
Cycle Year,Achieved A-Level point score , Sex,Number of Acceptances,
2010 ,"'3 points' ","'Men' ",115
2010 ,"'3 points' ","'Women' ",90
2010 ,"'4 points' ","'Men' ",450
2010 ,"'4 points' ","'Women' ",360
2010 ,"'5 points' ","'Men' ",1155
2010 ,"'5 points' ","'Women' ",1015
2010 ,"'6 points' ","'Men' ",2300
2010 ,"'6 points' ","'Women' ",2170
2010 ,"'7 points' ","'Men' ",3520
2010 ,"'7 points' ","'Women' ",3705
2010 ,"'8 points' ","'Men' ",4680
2010 ,"'8 points' ","'Women' ",5420
2010 ,"'9 points' ","'Men' ",5780
2010 ,"'9 points' ","'Women' ",7520
2010 ,"'10 points' ","'Men' ",6345
2010 ,"'10 points' ","'Women' ",8500
2010 ,"'11 points' ","'Men' ",6505
2010 ,"'11 points' ","'Women' ",9165
2010 ,"'12 points' ","'Men' ",6865
2010 ,"'12 points' ","'Women' ",9600
2010 ,"'13 points' ","'Men' ",6625
2010 ,"'13 points' ","'Women' ",9245
2010 ,"'14 points' ","'Men' ",6215
2010 ,"'14 points' ","'Women' ",8490
2010 ,"'15 points' ","'Men' ",6385
2010 ,"'15 points' ","'Women' ",8415
2010 ,"'16 points' ","'Men' ",4715
2010 ,"'16 points' ","'Women' ",6135
2010 ,"'17 points' ","'Men' ",2850
2010 ,"'17 points' ","'Women' ",3525
2010 ,"'18 points' ","'Men' ",2585
2010 ,"'18 points' ","'Women' ",2295
2011 ,"'3 points' ","'Men' ",100
2011 ,"'3 points' ","'Women' ",55
2011 ,"'4 points' ","'Men' ",330
2011 ,"'4 points' ","'Women' ",315
2011 ,"'5 points' ","'Men' ",935
2011 ,"'5 points' ","'Women' ",855
2011 ,"'6 points' ","'Men' ",1930
2011 ,"'6 points' ","'Women' ",1910
2011 ,"'7 points' ","'Men' ",3295
2011 ,"'7 points' ","'Women' ",3490
2011 ,"'8 points' ","'Men' ",4730
2011 ,"'8 points' ","'Women' ",5410
2011 ,"'9 points' ","'Men' ",6095
2011 ,"'9 points' ","'Women' ",7535
2011 ,"'10 points' ","'Men' ",6790
2011 ,"'10 points' ","'Women' ",8990
2011 ,"'11 points' ","'Men' ",6810
2011 ,"'11 points' ","'Women' ",9670
2011 ,"'12 points' ","'Men' ",7115
2011 ,"'12 points' ","'Women' ",10175
2011 ,"'13 points' ","'Men' ",6970
2011 ,"'13 points' ","'Women' ",9450
2011 ,"'14 points' ","'Men' ",6425
2011 ,"'14 points' ","'Women' ",8855
2011 ,"'15 points' ","'Men' ",6460
2011 ,"'15 points' ","'Women' ",8470
2011 ,"'16 points' ","'Men' ",4935
2011 ,"'16 points' ","'Women' ",6410
2011 ,"'17 points' ","'Men' ",3040
2011 ,"'17 points' ","'Women' ",3650
2011 ,"'18 points' ","'Men' ",2950
2011 ,"'18 points' ","'Women' ",2425
2012 ,"'3 points' ","'Men' ",80
2012 ,"'3 points' ","'Women' ",40
2012 ,"'4 points' ","'Men' ",365
2012 ,"'4 points' ","'Women' ",295
2012 ,"'5 points' ","'Men' ",955
