"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Sex , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_043_06.pdf"
 
Cycle Year,Achieved A-Level point score , Sex,Number of Applicants,
2010 ,"'3 points' ","'Men' ",245
2010 ,"'3 points' ","'Women' ",210
2010 ,"'4 points' ","'Men' ",805
2010 ,"'4 points' ","'Women' ",750
2010 ,"'5 points' ","'Men' ",1850
2010 ,"'5 points' ","'Women' ",1790
2010 ,"'6 points' ","'Men' ",3315
2010 ,"'6 points' ","'Women' ",3325
2010 ,"'7 points' ","'Men' ",4685
2010 ,"'7 points' ","'Women' ",5215
2010 ,"'8 points' ","'Men' ",6045
2010 ,"'8 points' ","'Women' ",7140
2010 ,"'9 points' ","'Men' ",7085
2010 ,"'9 points' ","'Women' ",9325
2010 ,"'10 points' ","'Men' ",7695
2010 ,"'10 points' ","'Women' ",10265
2010 ,"'11 points' ","'Men' ",7825
2010 ,"'11 points' ","'Women' ",10955
2010 ,"'12 points' ","'Men' ",8015
2010 ,"'12 points' ","'Women' ",11095
2010 ,"'13 points' ","'Men' ",7530
2010 ,"'13 points' ","'Women' ",10440
2010 ,"'14 points' ","'Men' ",6900
2010 ,"'14 points' ","'Women' ",9475
2010 ,"'15 points' ","'Men' ",7100
2010 ,"'15 points' ","'Women' ",9305
2010 ,"'16 points' ","'Men' ",5200
2010 ,"'16 points' ","'Women' ",6760
2010 ,"'17 points' ","'Men' ",3170
2010 ,"'17 points' ","'Women' ",3915
2010 ,"'18 points' ","'Men' ",2845
2010 ,"'18 points' ","'Women' ",2515
2011 ,"'3 points' ","'Men' ",195
2011 ,"'3 points' ","'Women' ",145
2011 ,"'4 points' ","'Men' ",655
2011 ,"'4 points' ","'Women' ",640
2011 ,"'5 points' ","'Men' ",1600
2011 ,"'5 points' ","'Women' ",1550
2011 ,"'6 points' ","'Men' ",2910
2011 ,"'6 points' ","'Women' ",3055
2011 ,"'7 points' ","'Men' ",4485
2011 ,"'7 points' ","'Women' ",4925
2011 ,"'8 points' ","'Men' ",5900
2011 ,"'8 points' ","'Women' ",7020
2011 ,"'9 points' ","'Men' ",7205
2011 ,"'9 points' ","'Women' ",9160
2011 ,"'10 points' ","'Men' ",7885
2011 ,"'10 points' ","'Women' ",10570
2011 ,"'11 points' ","'Men' ",7780
2011 ,"'11 points' ","'Women' ",11060
2011 ,"'12 points' ","'Men' ",7970
2011 ,"'12 points' ","'Women' ",11420
2011 ,"'13 points' ","'Men' ",7610
2011 ,"'13 points' ","'Women' ",10445
2011 ,"'14 points' ","'Men' ",6925
2011 ,"'14 points' ","'Women' ",9630
2011 ,"'15 points' ","'Men' ",6985
2011 ,"'15 points' ","'Women' ",9180
2011 ,"'16 points' ","'Men' ",5315
2011 ,"'16 points' ","'Women' ",6890
2011 ,"'17 points' ","'Men' ",3275
2011 ,"'17 points' ","'Women' ",3945
2011 ,"'18 points' ","'Men' ",3170
2011 ,"'18 points' ","'Women' ",2590
2012 ,"'3 points' ","'Men' ",150
2012 ,"'3 points' ","'Women' ",95
2012 ,"'4 points' ","'Men' ",625
2012 ,"'4 points' ","'Women' ",545
2012 ,"'5 points' ","'Men' ",1440
2012 ,"'5 points' ","'Women' ",1365
2012 ,"'6 points' ","'Men' ",2660
2012 ,"'6 points' ","'Women' ",2860
2012 ,"'7 points' ","'Men' ",4055
2012 ,"'7 points' ","'Women' ",4645
2012 ,"'8 points' ","'Men' ",5345
2012 ,"'8 points' ","'Women' ",6560
2012 ,"'9 points' ","'Men' ",6660
2012 ,"'9 points' ","'Women' ",8615
2012 ,"'10 points' ","'Men' ",7335
2012 ,"'10 points' ","'Women' ",10115
2012 ,"'11 points' ","'Men' ",7450
2012 ,"'11 points' ","'Women' ",10950
2012 ,"'12 points' ","'Men' ",7575
2012 ,"'12 points' ","'Women' ",11270
2012 ,"'13 points' ","'Men' ",7410
2012 ,"'13 points' ","'Women' ",10520
2012 ,"'14 points' ","'Men' ",6560
2012 ,"'14 points' ","'Women' ",9530
2012 ,"'15 points' ","'Men' ",6695
2012 ,"'15 points' ","'Women' ",9060
2012 ,"'16 points' ","'Men' ",5140
2012 ,"'16 points' ","'Women' ",6535
2012 ,"'17 points' ","'Men' ",3180
2012 ,"'17 points' ","'Women' ",3745
2012 ,"'18 points' ","'Men' ",3095
2012 ,"'18 points' ","'Women' ",2500
2013 ,"'3 points' ","'Men' ",155
2013 ,"'3 points' ","'Women' ",125
2013 ,"'4 points' ","'Men' ",515
2013 ,"'4 points' ","'Women' ",470
2013 ,"'5 points' ","'Men' ",1380
2013 ,"'5 points' ","'Women' ",1290
2013 ,"'6 points' ","'Men' ",2520
2013 ,"'6 points' ","'Women' ",2605
2013 ,"'7 points' ","'Men' ",3885
2013 ,"'7 points' ","'Women' ",4485
2013 ,"'8 points' ","'Men' ",5295
2013 ,"'8 points' ","'Women' ",6370
2013 ,"'9 points' ","'Men' ",6615
2013 ,"'9 points' ","'Women' ",8525
2013 ,"'10 points' ","'Men' ",7185
2013 ,"'10 points' ","'Women' ",10340
2013 ,"'11 points' ","'Men' ",7315
2013 ,"'11 points' ","'Women' ",11050
2013 ,"'12 points' ","'Men' ",7755
2013 ,"'12 points' ","'Women' ",11485
2013 ,"'13 points' ","'Men' ",7280
2013 ,"'13 points' ","'Women' ",10625
2013 ,"'14 points' ","'Men' ",6580
2013 ,"'14 points' ","'Women' ",9455
2013 ,"'15 points' ","'Men' ",6580
2013 ,"'15 points' ","'Women' ",8935
2013 ,"'16 points' ","'Men' ",5140
2013 ,"'16 points' ","'Women' ",6285
2013 ,"'17 points' ","'Men' ",3160
2013 ,"'17 points' ","'Women' ",3510
2013 ,"'18 points' ","'Men' ",3055
2013 ,"'18 points' ","'Women' ",2230
2014 ,"'3 points' ","'Men' ",165
2014 ,"'3 points' ","'Women' ",110
2014 ,"'4 points' ","'Men' ",610
2014 ,"'4 points' ","'Women' ",480
2014 ,"'5 points' ","'Men' ",1410
2014 ,"'5 points' ","'Women' ",1325
2014 ,"'6 points' ","'Men' ",2685
2014 ,"'6 points' ","'Women' ",2790
2014 ,"'7 points' ","'Men' ",4055
2014 ,"'7 points' ","'Women' ",4455
2014 ,"'8 points' ","'Men' ",5255
2014 ,"'8 points' ","'Women' ",6790
2014 ,"'9 points' ","'Men' ",6385
2014 ,"'9 points' ","'Women' ",8650
2014 ,"'10 points' ","'Men' ",7080
2014 ,"'10 points' ","'Women' ",10270
2014 ,"'11 points' ","'Men' ",7235
2014 ,"'11 points' ","'Women' ",10805
2014 ,"'12 points' ","'Men' ",7430
2014 ,"'12 points' ","'Women' ",11215
2014 ,"'13 points' ","'Men' ",7025
2014 ,"'13 points' ","'Women' ",10150
2014 ,"'14 points' ","'Men' ",6310
2014 ,"'14 points' ","'Women' ",9085
2014 ,"'15 points' ","'Men' ",6075
2014 ,"'15 points' ","'Women' ",8170
2014 ,"'16 points' ","'Men' ",4855
2014 ,"'16 points' ","'Women' ",6030
2014 ,"'17 points' ","'Men' ",3295
2014 ,"'17 points' ","'Women' ",3660
