"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_05.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Acceptances,
2010 ,"'3 points' ","'Asian' ",45
2010 ,"'3 points' ","'Black' ",15
2010 ,"'3 points' ","'Mixed' ",5
2010 ,"'3 points' ","'White' ",140
2010 ,"'3 points' ","'Other' ",5
2010 ,"'3 points' ","'Unknown' ",5
2010 ,"'4 points' ","'Asian' ",120
2010 ,"'4 points' ","'Black' ",60
2010 ,"'4 points' ","'Mixed' ",30
2010 ,"'4 points' ","'White' ",595
2010 ,"'4 points' ","'Unknown' ",5
2010 ,"'5 points' ","'Asian' ",305
2010 ,"'5 points' ","'Black' ",135
2010 ,"'5 points' ","'Mixed' ",60
2010 ,"'5 points' ","'White' ",1640
2010 ,"'5 points' ","'Other' ",20
2010 ,"'5 points' ","'Unknown' ",10
2010 ,"'6 points' ","'Asian' ",585
2010 ,"'6 points' ","'Black' ",245
2010 ,"'6 points' ","'Mixed' ",140
2010 ,"'6 points' ","'White' ",3420
2010 ,"'6 points' ","'Other' ",50
2010 ,"'6 points' ","'Unknown' ",30
2010 ,"'7 points' ","'Asian' ",835
2010 ,"'7 points' ","'Black' ",390
2010 ,"'7 points' ","'Mixed' ",215
2010 ,"'7 points' ","'White' ",5695
2010 ,"'7 points' ","'Other' ",60
2010 ,"'7 points' ","'Unknown' ",30
2010 ,"'8 points' ","'Asian' ",1055
2010 ,"'8 points' ","'Black' ",530
2010 ,"'8 points' ","'Mixed' ",305
2010 ,"'8 points' ","'White' ",8075
2010 ,"'8 points' ","'Other' ",90
2010 ,"'8 points' ","'Unknown' ",45
2010 ,"'9 points' ","'Asian' ",1320
2010 ,"'9 points' ","'Black' ",575
2010 ,"'9 points' ","'Mixed' ",385
2010 ,"'9 points' ","'White' ",10855
2010 ,"'9 points' ","'Other' ",115
2010 ,"'9 points' ","'Unknown' ",55
2010 ,"'10 points' ","'Asian' ",1455
2010 ,"'10 points' ","'Black' ",560
2010 ,"'10 points' ","'Mixed' ",435
2010 ,"'10 points' ","'White' ",12200
2010 ,"'10 points' ","'Other' ",130
2010 ,"'10 points' ","'Unknown' ",65
2010 ,"'11 points' ","'Asian' ",1425
2010 ,"'11 points' ","'Black' ",540
2010 ,"'11 points' ","'Mixed' ",465
2010 ,"'11 points' ","'White' ",13010
2010 ,"'11 points' ","'Other' ",150
2010 ,"'11 points' ","'Unknown' ",80
2010 ,"'12 points' ","'Asian' ",1470
2010 ,"'12 points' ","'Black' ",460
2010 ,"'12 points' ","'Mixed' ",490
2010 ,"'12 points' ","'White' ",13790
2010 ,"'12 points' ","'Other' ",150
2010 ,"'12 points' ","'Unknown' ",105
2010 ,"'13 points' ","'Asian' ",1395
2010 ,"'13 points' ","'Black' ",415
2010 ,"'13 points' ","'Mixed' ",465
2010 ,"'13 points' ","'White' ",13365
2010 ,"'13 points' ","'Other' ",130
2010 ,"'13 points' ","'Unknown' ",95
2010 ,"'14 points' ","'Asian' ",1295
2010 ,"'14 points' ","'Black' ",310
2010 ,"'14 points' ","'Mixed' ",440
2010 ,"'14 points' ","'White' ",12465
2010 ,"'14 points' ","'Other' ",105
2010 ,"'14 points' ","'Unknown' ",90
2010 ,"'15 points' ","'Asian' ",1350
2010 ,"'15 points' ","'Black' ",225
2010 ,"'15 points' ","'Mixed' ",435
2010 ,"'15 points' ","'White' ",12555
2010 ,"'15 points' ","'Other' ",120
2010 ,"'15 points' ","'Unknown' ",115
2010 ,"'16 points' ","'Asian' ",970
2010 ,"'16 points' ","'Black' ",135
2010 ,"'16 points' ","'Mixed' ",380
2010 ,"'16 points' ","'White' ",9205
2010 ,"'16 points' ","'Other' ",80
2010 ,"'16 points' ","'Unknown' ",80
2010 ,"'17 points' ","'Asian' ",605
2010 ,"'17 points' ","'Black' ",65
2010 ,"'17 points' ","'Mixed' ",220
2010 ,"'17 points' ","'White' ",5380
2010 ,"'17 points' ","'Other' ",35
2010 ,"'17 points' ","'Unknown' ",70
2010 ,"'18 points' ","'Asian' ",565
2010 ,"'18 points' ","'Black' ",20
2010 ,"'18 points' ","'Mixed' ",185
2010 ,"'18 points' ","'White' ",4015
2010 ,"'18 points' ","'Other' ",35
2010 ,"'18 points' ","'Unknown' ",65
2011 ,"'3 points' ","'Asian' ",30
2011 ,"'3 points' ","'Black' ",20
2011 ,"'3 points' ","'Mixed' ",5
2011 ,"'3 points' ","'White' ",100
2011 ,"'4 points' ","'Asian' ",130
2011 ,"'4 points' ","'Black' ",70
2011 ,"'4 points' ","'Mixed' ",25
2011 ,"'4 points' ","'White' ",410
2011 ,"'4 points' ","'Other' ",5
2011 ,"'4 points' ","'Unknown' ",5
2011 ,"'5 points' ","'Asian' ",265
2011 ,"'5 points' ","'Black' ",160
2011 ,"'5 points' ","'Mixed' ",50
2011 ,"'5 points' ","'White' ",1285
2011 ,"'5 points' ","'Other' ",20
2011 ,"'5 points' ","'Unknown' ",10
2011 ,"'6 points' ","'Asian' ",570
2011 ,"'6 points' ","'Black' ",270
2011 ,"'6 points' ","'Mixed' ",135
2011 ,"'6 points' ","'White' ",2795
2011 ,"'6 points' ","'Other' ",45
2011 ,"'6 points' ","'Unknown' ",15
2011 ,"'7 points' ","'Asian' ",870
2011 ,"'7 points' ","'Black' ",435
2011 ,"'7 points' ","'Mixed' ",215
2011 ,"'7 points' ","'White' ",5180
2011 ,"'7 points' ","'Other' ",65
2011 ,"'7 points' ","'Unknown' ",20
2011 ,"'8 points' ","'Asian' ",1115
2011 ,"'8 points' ","'Black' ",565
2011 ,"'8 points' ","'Mixed' ",320
2011 ,"'8 points' ","'White' ",8000
2011 ,"'8 points' ","'Other' ",100
2011 ,"'8 points' ","'Unknown' ",40
2011 ,"'9 points' ","'Asian' ",1415
2011 ,"'9 points' ","'Black' ",665
2011 ,"'9 points' ","'Mixed' ",455
2011 ,"'9 points' ","'White' ",10915
2011 ,"'9 points' ","'Other' ",135
2011 ,"'9 points' ","'Unknown' ",45
2011 ,"'10 points' ","'Asian' ",1540
2011 ,"'10 points' ","'Black' ",620
2011 ,"'10 points' ","'Mixed' ",500
2011 ,"'10 points' ","'White' ",12915
2011 ,"'10 points' ","'Other' ",145
2011 ,"'10 points' ","'Unknown' ",60
2011 ,"'11 points' ","'Asian' ",1550
2011 ,"'11 points' ","'Black' ",590
2011 ,"'11 points' ","'Mixed' ",555
2011 ,"'11 points' ","'White' ",13580
2011 ,"'11 points' ","'Other' ",135
2011 ,"'11 points' ","'Unknown' ",70
2011 ,"'12 points' ","'Asian' ",1525
2011 ,"'12 points' ","'Black' ",570
2011 ,"'12 points' ","'Mixed' ",585
2011 ,"'12 points' ","'White' ",14365
2011 ,"'12 points' ","'Other' ",155
2011 ,"'12 points' ","'Unknown' ",85
2011 ,"'13 points' ","'Asian' ",1465
2011 ,"'13 points' ","'Black' ",430
2011 ,"'13 points' ","'Mixed' ",560
2011 ,"'13 points' ","'White' ",13725
2011 ,"'13 points' ","'Other' ",140
2011 ,"'13 points' ","'Unknown' ",95
2011 ,"'14 points' ","'Asian' ",1305
2011 ,"'14 points' ","'Black' ",360
2011 ,"'14 points' ","'Mixed' ",545
2011 ,"'14 points' ","'White' ",12860
2011 ,"'14 points' ","'Other' ",130
2011 ,"'14 points' ","'Unknown' ",80
2011 ,"'15 points' ","'Asian' ",1330
2011 ,"'15 points' ","'Black' ",270
2011 ,"'15 points' ","'Mixed' ",510
2011 ,"'15 points' ","'White' ",12590
2011 ,"'15 points' ","'Other' ",125
2011 ,"'15 points' ","'Unknown' ",100
2011 ,"'16 points' ","'Asian' ",1050
2011 ,"'16 points' ","'Black' ",170
2011 ,"'16 points' ","'Mixed' ",415
2011 ,"'16 points' ","'White' ",9505
2011 ,"'16 points' ","'Other' ",90
2011 ,"'16 points' ","'Unknown' ",110
2011 ,"'17 points' ","'Asian' ",635
2011 ,"'17 points' ","'Black' ",85
2011 ,"'17 points' ","'Mixed' ",245
2011 ,"'17 points' ","'White' ",5615
2011 ,"'17 points' ","'Other' ",50
2011 ,"'17 points' ","'Unknown' ",55
2011 ,"'18 points' ","'Asian' ",625
2011 ,"'18 points' ","'Black' ",35
2011 ,"'18 points' ","'Mixed' ",205
2011 ,"'18 points' ","'White' ",4385
2011 ,"'18 points' ","'Other' ",50
2011 ,"'18 points' ","'Unknown' ",75
2012 ,"'3 points' ","'Asian' ",25
2012 ,"'3 points' ","'Black' ",10
2012 ,"'3 points' ","'Mixed' ",5
2012 ,"'3 points' ","'White' ",75
2012 ,"'3 points' ","'Other' ",5
2012 ,"'4 points' ","'Asian' ",110
2012 ,"'4 points' ","'Black' ",80
2012 ,"'4 points' ","'Mixed' ",35
2012 ,"'4 points' ","'White' ",430
2012 ,"'4 points' ","'Other' ",10
2012 ,"'4 points' ","'Unknown' ",5
2012 ,"'5 points' ","'Asian' ",280
2012 ,"'5 points' ","'Black' ",170
2012 ,"'5 points' ","'Mixed' ",60
2012 ,"'5 points' ","'White' ",1235
2012 ,"'5 points' ","'Other' ",25
2012 ,"'5 points' ","'Unknown' ",5
2012 ,"'6 points' ","'Asian' ",540
2012 ,"'6 points' ","'Black' ",305
2012 ,"'6 points' ","'Mixed' ",140
2012 ,"'6 points' ","'White' ",2735
2012 ,"'6 points' ","'Other' ",50
2012 ,"'6 points' ","'Unknown' ",20
2012 ,"'7 points' ","'Asian' ",815
2012 ,"'7 points' ","'Black' ",460
2012 ,"'7 points' ","'Mixed' ",240
2012 ,"'7 points' ","'White' ",4865
2012 ,"'7 points' ","'Other' ",75
2012 ,"'7 points' ","'Unknown' ",30
2012 ,"'8 points' ","'Asian' ",1060
2012 ,"'8 points' ","'Black' ",550
2012 ,"'8 points' ","'Mixed' ",315
2012 ,"'8 points' ","'White' ",7370
2012 ,"'8 points' ","'Other' ",105
2012 ,"'8 points' ","'Unknown' ",40
2012 ,"'9 points' ","'Asian' ",1315
2012 ,"'9 points' ","'Black' ",655
2012 ,"'9 points' ","'Mixed' ",425
2012 ,"'9 points' ","'White' ",9925
2012 ,"'9 points' ","'Other' ",145
2012 ,"'9 points' ","'Unknown' ",50
2012 ,"'10 points' ","'Asian' ",1390
2012 ,"'10 points' ","'Black' ",660
2012 ,"'10 points' ","'Mixed' ",470
2012 ,"'10 points' ","'White' ",11925
2012 ,"'10 points' ","'Other' ",150
2012 ,"'10 points' ","'Unknown' ",50
2012 ,"'11 points' ","'Asian' ",1525
2012 ,"'11 points' ","'Black' ",610
2012 ,"'11 points' ","'Mixed' ",505
2012 ,"'11 points' ","'White' ",12830
2012 ,"'11 points' ","'Other' ",180
2012 ,"'11 points' ","'Unknown' ",60
2012 ,"'12 points' ","'Asian' ",1555
2012 ,"'12 points' ","'Black' ",585
2012 ,"'12 points' ","'Mixed' ",560
2012 ,"'12 points' ","'White' ",13680
2012 ,"'12 points' ","'Other' ",160
2012 ,"'12 points' ","'Unknown' ",70
2012 ,"'13 points' ","'Asian' ",1505
2012 ,"'13 points' ","'Black' ",445
2012 ,"'13 points' ","'Mixed' ",560
2012 ,"'13 points' ","'White' ",13480
2012 ,"'13 points' ","'Other' ",175
2012 ,"'13 points' ","'Unknown' ",85
2012 ,"'14 points' ","'Asian' ",1295
2012 ,"'14 points' ","'Black' ",380
2012 ,"'14 points' ","'Mixed' ",520
2012 ,"'14 points' ","'White' ",12335
2012 ,"'14 points' ","'Other' ",135
2012 ,"'14 points' ","'Unknown' ",80
2012 ,"'15 points' ","'Asian' ",1355
2012 ,"'15 points' ","'Black' ",230
2012 ,"'15 points' ","'Mixed' ",495
2012 ,"'15 points' ","'White' ",12020
2012 ,"'15 points' ","'Other' ",135
2012 ,"'15 points' ","'Unknown' ",85
2012 ,"'16 points' ","'Asian' ",1035
2012 ,"'16 points' ","'Black' ",140
2012 ,"'16 points' ","'Mixed' ",430
2012 ,"'16 points' ","'White' ",8880
2012 ,"'16 points' ","'Other' ",80
2012 ,"'16 points' ","'Unknown' ",75
2012 ,"'17 points' ","'Asian' ",590
2012 ,"'17 points' ","'Black' ",85
2012 ,"'17 points' ","'Mixed' ",225
2012 ,"'17 points' ","'White' ",5270
2012 ,"'17 points' ","'Other' ",50
2012 ,"'17 points' ","'Unknown' ",45
2012 ,"'18 points' ","'Asian' ",620
2012 ,"'18 points' ","'Black' ",35
2012 ,"'18 points' ","'Mixed' ",220
2012 ,"'18 points' ","'White' ",4165
2012 ,"'18 points' ","'Other' ",50
2012 ,"'18 points' ","'Unknown' ",60
2013 ,"'3 points' ","'Asian' ",30
2013 ,"'3 points' ","'Black' ",20
2013 ,"'3 points' ","'Mixed' ",5
2013 ,"'3 points' ","'White' ",100
2013 ,"'3 points' ","'Other' ",5
2013 ,"'4 points' ","'Asian' ",110
2013 ,"'4 points' ","'Black' ",60
2013 ,"'4 points' ","'Mixed' ",20
2013 ,"'4 points' ","'White' ",415
2013 ,"'4 points' ","'Other' ",10
2013 ,"'4 points' ","'Unknown' ",5
2013 ,"'5 points' ","'Asian' ",275
2013 ,"'5 points' ","'Black' ",180
2013 ,"'5 points' ","'Mixed' ",75
2013 ,"'5 points' ","'White' ",1255
2013 ,"'5 points' ","'Other' ",20
2013 ,"'5 points' ","'Unknown' ",5
2013 ,"'6 points' ","'Asian' ",515
2013 ,"'6 points' ","'Black' ",285
2013 ,"'6 points' ","'Mixed' ",120
2013 ,"'6 points' ","'White' ",2835
2013 ,"'6 points' ","'Other' ",40
2013 ,"'6 points' ","'Unknown' ",10
2013 ,"'7 points' ","'Asian' ",800
2013 ,"'7 points' ","'Black' ",480
2013 ,"'7 points' ","'Mixed' ",230
2013 ,"'7 points' ","'White' ",4950
2013 ,"'7 points' ","'Other' ",80
2013 ,"'7 points' ","'Unknown' ",30
2013 ,"'8 points' ","'Asian' ",1125
2013 ,"'8 points' ","'Black' ",605
2013 ,"'8 points' ","'Mixed' ",355
2013 ,"'8 points' ","'White' ",7295
2013 ,"'8 points' ","'Other' ",115
2013 ,"'8 points' ","'Unknown' ",30
2013 ,"'9 points' ","'Asian' ",1330
2013 ,"'9 points' ","'Black' ",725
2013 ,"'9 points' ","'Mixed' ",410
2013 ,"'9 points' ","'White' ",10095
2013 ,"'9 points' ","'Other' ",145
2013 ,"'9 points' ","'Unknown' ",35
2013 ,"'10 points' ","'Asian' ",1505
2013 ,"'10 points' ","'Black' ",775
2013 ,"'10 points' ","'Mixed' ",510
2013 ,"'10 points' ","'White' ",12010
2013 ,"'10 points' ","'Other' ",185
2013 ,"'10 points' ","'Unknown' ",60
2013 ,"'11 points' ","'Asian' ",1540
2013 ,"'11 points' ","'Black' ",700
2013 ,"'11 points' ","'Mixed' ",560
2013 ,"'11 points' ","'White' ",13055
2013 ,"'11 points' ","'Other' ",155
2013 ,"'11 points' ","'Unknown' ",50
2013 ,"'12 points' ","'Asian' ",1685
2013 ,"'12 points' ","'Black' ",645
2013 ,"'12 points' ","'Mixed' ",610
2013 ,"'12 points' ","'White' ",14115
2013 ,"'12 points' ","'Other' ",165
2013 ,"'12 points' ","'Unknown' ",70
2013 ,"'13 points' ","'Asian' ",1605
2013 ,"'13 points' ","'Black' ",520
2013 ,"'13 points' ","'Mixed' ",600
2013 ,"'13 points' ","'White' ",13570
2013 ,"'13 points' ","'Other' ",175
2013 ,"'13 points' ","'Unknown' ",75
2013 ,"'14 points' ","'Asian' ",1370
2013 ,"'14 points' ","'Black' ",340
2013 ,"'14 points' ","'Mixed' ",540
2013 ,"'14 points' ","'White' ",12310
2013 ,"'14 points' ","'Other' ",155
2013 ,"'14 points' ","'Unknown' ",65
2013 ,"'15 points' ","'Asian' ",1320
2013 ,"'15 points' ","'Black' ",275
2013 ,"'15 points' ","'Mixed' ",525
2013 ,"'15 points' ","'White' ",11780
2013 ,"'15 points' ","'Other' ",120
2013 ,"'15 points' ","'Unknown' ",90
2013 ,"'16 points' ","'Asian' ",1060
2013 ,"'16 points' ","'Black' ",155
2013 ,"'16 points' ","'Mixed' ",470
2013 ,"'16 points' ","'White' ",8515
2013 ,"'16 points' ","'Other' ",100
2013 ,"'16 points' ","'Unknown' ",70
2013 ,"'17 points' ","'Asian' ",635
2013 ,"'17 points' ","'Black' ",65
2013 ,"'17 points' ","'Mixed' ",245
2013 ,"'17 points' ","'White' ",5020
2013 ,"'17 points' ","'Other' ",50
2013 ,"'17 points' ","'Unknown' ",45
2013 ,"'18 points' ","'Asian' ",660
2013 ,"'18 points' ","'Black' ",40
2013 ,"'18 points' ","'Mixed' ",195
2013 ,"'18 points' ","'White' ",3895
2013 ,"'18 points' ","'Other' ",50
2013 ,"'18 points' ","'Unknown' ",45
2014 ,"'3 points' ","'Asian' ",35
2014 ,"'3 points' ","'Black' ",15
2014 ,"'3 points' ","'Mixed' ",5
2014 ,"'3 points' ","'White' ",95
2014 ,"'4 points' ","'Asian' ",130
2014 ,"'4 points' ","'Black' ",70
2014 ,"'4 points' ","'Mixed' ",25
2014 ,"'4 points' ","'White' ",465
2014 ,"'4 points' ","'Other' ",10
