"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_06.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Applicants,
2010 ,"'3 points' ","'Asian' ",65
2010 ,"'3 points' ","'Black' ",25
2010 ,"'3 points' ","'Mixed' ",10
2010 ,"'3 points' ","'White' ",340
2010 ,"'3 points' ","'Other' ",5
2010 ,"'3 points' ","'Unknown' ",5
2010 ,"'4 points' ","'Asian' ",210
2010 ,"'4 points' ","'Black' ",90
2010 ,"'4 points' ","'Mixed' ",55
2010 ,"'4 points' ","'White' ",1185
2010 ,"'4 points' ","'Other' ",5
2010 ,"'4 points' ","'Unknown' ",5
2010 ,"'5 points' ","'Asian' ",430
2010 ,"'5 points' ","'Black' ",185
2010 ,"'5 points' ","'Mixed' ",95
2010 ,"'5 points' ","'White' ",2885
2010 ,"'5 points' ","'Other' ",30
2010 ,"'5 points' ","'Unknown' ",15
2010 ,"'6 points' ","'Asian' ",770
2010 ,"'6 points' ","'Black' ",310
2010 ,"'6 points' ","'Mixed' ",195
2010 ,"'6 points' ","'White' ",5275
2010 ,"'6 points' ","'Other' ",60
2010 ,"'6 points' ","'Unknown' ",35
2010 ,"'7 points' ","'Asian' ",1070
2010 ,"'7 points' ","'Black' ",480
2010 ,"'7 points' ","'Mixed' ",275
2010 ,"'7 points' ","'White' ",7950
2010 ,"'7 points' ","'Other' ",85
2010 ,"'7 points' ","'Unknown' ",40
2010 ,"'8 points' ","'Asian' ",1315
2010 ,"'8 points' ","'Black' ",625
2010 ,"'8 points' ","'Mixed' ",375
2010 ,"'8 points' ","'White' ",10705
2010 ,"'8 points' ","'Other' ",105
2010 ,"'8 points' ","'Unknown' ",60
2010 ,"'9 points' ","'Asian' ",1605
2010 ,"'9 points' ","'Black' ",675
2010 ,"'9 points' ","'Mixed' ",470
2010 ,"'9 points' ","'White' ",13455
2010 ,"'9 points' ","'Other' ",130
2010 ,"'9 points' ","'Unknown' ",75
2010 ,"'10 points' ","'Asian' ",1715
2010 ,"'10 points' ","'Black' ",640
2010 ,"'10 points' ","'Mixed' ",550
2010 ,"'10 points' ","'White' ",14815
2010 ,"'10 points' ","'Other' ",145
2010 ,"'10 points' ","'Unknown' ",90
2010 ,"'11 points' ","'Asian' ",1690
2010 ,"'11 points' ","'Black' ",610
2010 ,"'11 points' ","'Mixed' ",565
2010 ,"'11 points' ","'White' ",15650
2010 ,"'11 points' ","'Other' ",165
2010 ,"'11 points' ","'Unknown' ",100
2010 ,"'12 points' ","'Asian' ",1725
2010 ,"'12 points' ","'Black' ",520
2010 ,"'12 points' ","'Mixed' ",590
2010 ,"'12 points' ","'White' ",15980
2010 ,"'12 points' ","'Other' ",175
2010 ,"'12 points' ","'Unknown' ",120
2010 ,"'13 points' ","'Asian' ",1600
2010 ,"'13 points' ","'Black' ",460
2010 ,"'13 points' ","'Mixed' ",545
2010 ,"'13 points' ","'White' ",15110
2010 ,"'13 points' ","'Other' ",145
2010 ,"'13 points' ","'Unknown' ",105
2010 ,"'14 points' ","'Asian' ",1470
2010 ,"'14 points' ","'Black' ",340
2010 ,"'14 points' ","'Mixed' ",505
2010 ,"'14 points' ","'White' ",13840
2010 ,"'14 points' ","'Other' ",120
2010 ,"'14 points' ","'Unknown' ",100
2010 ,"'15 points' ","'Asian' ",1570
2010 ,"'15 points' ","'Black' ",245
2010 ,"'15 points' ","'Mixed' ",495
2010 ,"'15 points' ","'White' ",13805
2010 ,"'15 points' ","'Other' ",145
2010 ,"'15 points' ","'Unknown' ",140
2010 ,"'16 points' ","'Asian' ",1105
2010 ,"'16 points' ","'Black' ",150
2010 ,"'16 points' ","'Mixed' ",420
2010 ,"'16 points' ","'White' ",10105
2010 ,"'16 points' ","'Other' ",85
2010 ,"'16 points' ","'Unknown' ",100
2010 ,"'17 points' ","'Asian' ",695
2010 ,"'17 points' ","'Black' ",75
2010 ,"'17 points' ","'Mixed' ",250
2010 ,"'17 points' ","'White' ",5945
2010 ,"'17 points' ","'Other' ",45
2010 ,"'17 points' ","'Unknown' ",80
2010 ,"'18 points' ","'Asian' ",630
2010 ,"'18 points' ","'Black' ",25
2010 ,"'18 points' ","'Mixed' ",210
2010 ,"'18 points' ","'White' ",4380
2010 ,"'18 points' ","'Other' ",40
2010 ,"'18 points' ","'Unknown' ",75
2011 ,"'3 points' ","'Asian' ",60
2011 ,"'3 points' ","'Black' ",25
2011 ,"'3 points' ","'Mixed' ",10
2011 ,"'3 points' ","'White' ",240
2011 ,"'4 points' ","'Asian' ",195
2011 ,"'4 points' ","'Black' ",95
2011 ,"'4 points' ","'Mixed' ",45
2011 ,"'4 points' ","'White' ",940
2011 ,"'4 points' ","'Other' ",10
2011 ,"'4 points' ","'Unknown' ",10
2011 ,"'5 points' ","'Asian' ",400
2011 ,"'5 points' ","'Black' ",230
2011 ,"'5 points' ","'Mixed' ",90
2011 ,"'5 points' ","'White' ",2385
2011 ,"'5 points' ","'Other' ",25
2011 ,"'5 points' ","'Unknown' ",15
2011 ,"'6 points' ","'Asian' ",795
2011 ,"'6 points' ","'Black' ",345
2011 ,"'6 points' ","'Mixed' ",185
2011 ,"'6 points' ","'White' ",4560
2011 ,"'6 points' ","'Other' ",60
2011 ,"'6 points' ","'Unknown' ",20
2011 ,"'7 points' ","'Asian' ",1105
2011 ,"'7 points' ","'Black' ",515
2011 ,"'7 points' ","'Mixed' ",285
2011 ,"'7 points' ","'White' ",7390
2011 ,"'7 points' ","'Other' ",85
2011 ,"'7 points' ","'Unknown' ",30
2011 ,"'8 points' ","'Asian' ",1355
2011 ,"'8 points' ","'Black' ",640
2011 ,"'8 points' ","'Mixed' ",405
2011 ,"'8 points' ","'White' ",10335
2011 ,"'8 points' ","'Other' ",120
2011 ,"'8 points' ","'Unknown' ",65
2011 ,"'9 points' ","'Asian' ",1645
2011 ,"'9 points' ","'Black' ",740
2011 ,"'9 points' ","'Mixed' ",550
2011 ,"'9 points' ","'White' ",13215
2011 ,"'9 points' ","'Other' ",155
2011 ,"'9 points' ","'Unknown' ",60
2011 ,"'10 points' ","'Asian' ",1790
2011 ,"'10 points' ","'Black' ",675
2011 ,"'10 points' ","'Mixed' ",585
2011 ,"'10 points' ","'White' ",15165
2011 ,"'10 points' ","'Other' ",155
2011 ,"'10 points' ","'Unknown' ",80
2011 ,"'11 points' ","'Asian' ",1735
2011 ,"'11 points' ","'Black' ",635
2011 ,"'11 points' ","'Mixed' ",635
2011 ,"'11 points' ","'White' ",15605
2011 ,"'11 points' ","'Other' ",150
2011 ,"'11 points' ","'Unknown' ",80
2011 ,"'12 points' ","'Asian' ",1710
2011 ,"'12 points' ","'Black' ",610
2011 ,"'12 points' ","'Mixed' ",650
2011 ,"'12 points' ","'White' ",16160
2011 ,"'12 points' ","'Other' ",170
2011 ,"'12 points' ","'Unknown' ",95
2011 ,"'13 points' ","'Asian' ",1630
2011 ,"'13 points' ","'Black' ",470
2011 ,"'13 points' ","'Mixed' ",630
2011 ,"'13 points' ","'White' ",15070
2011 ,"'13 points' ","'Other' ",155
2011 ,"'13 points' ","'Unknown' ",105
2011 ,"'14 points' ","'Asian' ",1450
2011 ,"'14 points' ","'Black' ",385
2011 ,"'14 points' ","'Mixed' ",605
2011 ,"'14 points' ","'White' ",13880
2011 ,"'14 points' ","'Other' ",145
2011 ,"'14 points' ","'Unknown' ",95
2011 ,"'15 points' ","'Asian' ",1535
2011 ,"'15 points' ","'Black' ",290
2011 ,"'15 points' ","'Mixed' ",550
2011 ,"'15 points' ","'White' ",13535
2011 ,"'15 points' ","'Other' ",145
2011 ,"'15 points' ","'Unknown' ",110
2011 ,"'16 points' ","'Asian' ",1175
2011 ,"'16 points' ","'Black' ",190
2011 ,"'16 points' ","'Mixed' ",455
2011 ,"'16 points' ","'White' ",10160
2011 ,"'16 points' ","'Other' ",100
2011 ,"'16 points' ","'Unknown' ",120
2011 ,"'17 points' ","'Asian' ",700
