"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_045_05.pdf"
 
Cycle Year,Achieved A-Level point score , Applicant Domicile (High Level),Number of Acceptances,
2010 ,"'3 points' ","'England' ",190
2010 ,"'3 points' ","'Wales' ",15
2010 ,"'4 points' ","'England' ",750
2010 ,"'4 points' ","'Northern Ireland' ",10
2010 ,"'4 points' ","'Wales' ",50
2010 ,"'5 points' ","'England' ",2020
2010 ,"'5 points' ","'Northern Ireland' ",35
2010 ,"'5 points' ","'Wales' ",110
2010 ,"'6 points' ","'England' ",4170
2010 ,"'6 points' ","'Northern Ireland' ",80
2010 ,"'6 points' ","'Wales' ",220
2010 ,"'7 points' ","'England' ",6675
2010 ,"'7 points' ","'Northern Ireland' ",170
2010 ,"'7 points' ","'Wales' ",380
2010 ,"'8 points' ","'England' ",9260
2010 ,"'8 points' ","'Northern Ireland' ",290
2010 ,"'8 points' ","'Wales' ",550
2010 ,"'9 points' ","'England' ",12105
2010 ,"'9 points' ","'Northern Ireland' ",530
2010 ,"'9 points' ","'Wales' ",665
2010 ,"'10 points' ","'England' ",13370
2010 ,"'10 points' ","'Northern Ireland' ",665
2010 ,"'10 points' ","'Wales' ",810
2010 ,"'11 points' ","'England' ",14060
2010 ,"'11 points' ","'Northern Ireland' ",825
2010 ,"'11 points' ","'Wales' ",785
2010 ,"'12 points' ","'England' ",14660
2010 ,"'12 points' ","'Northern Ireland' ",975
2010 ,"'12 points' ","'Wales' ",830
2010 ,"'13 points' ","'England' ",14200
2010 ,"'13 points' ","'Northern Ireland' ",945
2010 ,"'13 points' ","'Wales' ",720
2010 ,"'14 points' ","'England' ",13175
2010 ,"'14 points' ","'Northern Ireland' ",900
2010 ,"'14 points' ","'Wales' ",635
2010 ,"'15 points' ","'England' ",13255
2010 ,"'15 points' ","'Northern Ireland' ",915
2010 ,"'15 points' ","'Wales' ",630
2010 ,"'16 points' ","'England' ",9810
2010 ,"'16 points' ","'Northern Ireland' ",630
2010 ,"'16 points' ","'Wales' ",410
2010 ,"'17 points' ","'England' ",5815
2010 ,"'17 points' ","'Northern Ireland' ",325
2010 ,"'17 points' ","'Wales' ",235
2010 ,"'18 points' ","'England' ",4475
2010 ,"'18 points' ","'Northern Ireland' ",255
2010 ,"'18 points' ","'Wales' ",150
2011 ,"'3 points' ","'England' ",145
2011 ,"'3 points' ","'Wales' ",10
2011 ,"'4 points' ","'England' ",615
2011 ,"'4 points' ","'Wales' ",30
2011 ,"'5 points' ","'England' ",1685
2011 ,"'5 points' ","'Northern Ireland' ",25
2011 ,"'5 points' ","'Wales' ",80
2011 ,"'6 points' ","'England' ",3610
2011 ,"'6 points' ","'Northern Ireland' ",55
2011 ,"'6 points' ","'Wales' ",170
2011 ,"'7 points' ","'England' ",6320
2011 ,"'7 points' ","'Northern Ireland' ",135
2011 ,"'7 points' ","'Wales' ",335
2011 ,"'8 points' ","'England' ",9340
2011 ,"'8 points' ","'Northern Ireland' ",295
2011 ,"'8 points' ","'Wales' ",505
2011 ,"'9 points' ","'England' ",12475
2011 ,"'9 points' ","'Northern Ireland' ",470
2011 ,"'9 points' ","'Wales' ",685
2011 ,"'10 points' ","'England' ",14365
2011 ,"'10 points' ","'Northern Ireland' ",685
2011 ,"'10 points' ","'Wales' ",730
2011 ,"'11 points' ","'England' ",14875
2011 ,"'11 points' ","'Northern Ireland' ",830
2011 ,"'11 points' ","'Wales' ",775
2011 ,"'12 points' ","'England' ",15565
2011 ,"'12 points' ","'Northern Ireland' ",965
2011 ,"'12 points' ","'Wales' ",765
2011 ,"'13 points' ","'England' ",14720
2011 ,"'13 points' ","'Northern Ireland' ",1000
2011 ,"'13 points' ","'Wales' ",700
2011 ,"'14 points' ","'England' ",13745
2011 ,"'14 points' ","'Northern Ireland' ",900
2011 ,"'14 points' ","'Wales' ",635
2011 ,"'15 points' ","'England' ",13375
2011 ,"'15 points' ","'Northern Ireland' ",960
2011 ,"'15 points' ","'Wales' ",595
2011 ,"'16 points' ","'England' ",10380
2011 ,"'16 points' ","'Northern Ireland' ",545
2011 ,"'16 points' ","'Wales' ",420
2011 ,"'17 points' ","'England' ",6180
2011 ,"'17 points' ","'Northern Ireland' ",305
2011 ,"'17 points' ","'Wales' ",200
2011 ,"'18 points' ","'England' ",4975
2011 ,"'18 points' ","'Northern Ireland' ",240
2011 ,"'18 points' ","'Wales' ",165
2012 ,"'3 points' ","'England' ",105
2012 ,"'3 points' ","'Wales' ",10
2012 ,"'4 points' ","'England' ",625
2012 ,"'4 points' ","'Northern Ireland' ",5
2012 ,"'4 points' ","'Wales' ",30
2012 ,"'5 points' ","'England' ",1670
2012 ,"'5 points' ","'Northern Ireland' ",20
2012 ,"'5 points' ","'Wales' ",90
2012 ,"'6 points' ","'England' ",3525
2012 ,"'6 points' ","'Northern Ireland' ",65
2012 ,"'6 points' ","'Wales' ",195
2012 ,"'7 points' ","'England' ",6030
2012 ,"'7 points' ","'Northern Ireland' ",150
2012 ,"'7 points' ","'Wales' ",305
2012 ,"'8 points' ","'England' ",8655
2012 ,"'8 points' ","'Northern Ireland' ",280
2012 ,"'8 points' ","'Wales' ",505
2012 ,"'9 points' ","'England' ",11400
2012 ,"'9 points' ","'Northern Ireland' ",505
2012 ,"'9 points' ","'Wales' ",600
2012 ,"'10 points' ","'England' ",13300
2012 ,"'10 points' ","'Northern Ireland' ",665
2012 ,"'10 points' ","'Wales' ",680
2012 ,"'11 points' ","'England' ",14080
2012 ,"'11 points' ","'Northern Ireland' ",885
2012 ,"'11 points' ","'Wales' ",750
2012 ,"'12 points' ","'England' ",14785
2012 ,"'12 points' ","'Northern Ireland' ",1020
2012 ,"'12 points' ","'Wales' ",800
2012 ,"'13 points' ","'England' ",14560
2012 ,"'13 points' ","'Northern Ireland' ",960
2012 ,"'13 points' ","'Wales' ",735
2012 ,"'14 points' ","'England' ",13255
2012 ,"'14 points' ","'Northern Ireland' ",880
2012 ,"'14 points' ","'Wales' ",615
2012 ,"'15 points' ","'England' ",12925
2012 ,"'15 points' ","'Northern Ireland' ",810
2012 ,"'15 points' ","'Wales' ",590
2012 ,"'16 points' ","'England' ",9705
2012 ,"'16 points' ","'Northern Ireland' ",530
2012 ,"'16 points' ","'Wales' ",400
2012 ,"'17 points' ","'England' ",5770
2012 ,"'17 points' ","'Northern Ireland' ",295
2012 ,"'17 points' ","'Wales' ",200
2012 ,"'18 points' ","'England' ",4830
2012 ,"'18 points' ","'Northern Ireland' ",175
2012 ,"'18 points' ","'Wales' ",145
2013 ,"'3 points' ","'England' ",155
2013 ,"'3 points' ","'Wales' ",5
2013 ,"'4 points' ","'England' ",585
2013 ,"'4 points' ","'Northern Ireland' ",5
2013 ,"'4 points' ","'Wales' ",30
2013 ,"'5 points' ","'England' ",1710
2013 ,"'5 points' ","'Northern Ireland' ",25
2013 ,"'5 points' ","'Wales' ",75
2013 ,"'6 points' ","'England' ",3560
2013 ,"'6 points' ","'Northern Ireland' ",75
2013 ,"'6 points' ","'Wales' ",170
2013 ,"'7 points' ","'England' ",6070
2013 ,"'7 points' ","'Northern Ireland' ",200
2013 ,"'7 points' ","'Wales' ",300
2013 ,"'8 points' ","'England' ",8710
2013 ,"'8 points' ","'Northern Ireland' ",345
2013 ,"'8 points' ","'Wales' ",465
2013 ,"'9 points' ","'England' ",11590
2013 ,"'9 points' ","'Northern Ireland' ",540
2013 ,"'9 points' ","'Wales' ",605
2013 ,"'10 points' ","'England' ",13615
2013 ,"'10 points' ","'Northern Ireland' ",730
2013 ,"'10 points' ","'Wales' ",700
2013 ,"'11 points' ","'England' ",14415
2013 ,"'11 points' ","'Northern Ireland' ",880
2013 ,"'11 points' ","'Wales' ",765
2013 ,"'12 points' ","'England' ",15460
2013 ,"'12 points' ","'Northern Ireland' ",1095
2013 ,"'12 points' ","'Wales' ",740
2013 ,"'13 points' ","'England' ",14835
2013 ,"'13 points' ","'Northern Ireland' ",1010
2013 ,"'13 points' ","'Wales' ",695
2013 ,"'14 points' ","'England' ",13300
2013 ,"'14 points' ","'Northern Ireland' ",875
2013 ,"'14 points' ","'Wales' ",605
2013 ,"'15 points' ","'England' ",12745
2013 ,"'15 points' ","'Northern Ireland' ",845
2013 ,"'15 points' ","'Wales' ",520
2013 ,"'16 points' ","'England' ",9520
2013 ,"'16 points' ","'Northern Ireland' ",490
2013 ,"'16 points' ","'Wales' ",350
2013 ,"'17 points' ","'England' ",5620
2013 ,"'17 points' ","'Northern Ireland' ",255
2013 ,"'17 points' ","'Wales' ",190
2013 ,"'18 points' ","'England' ",4590
2013 ,"'18 points' ","'Northern Ireland' ",165
2013 ,"'18 points' ","'Wales' ",130
2014 ,"'3 points' ","'England' ",150
2014 ,"'3 points' ","'Wales' ",5
2014 ,"'4 points' ","'England' ",670
2014 ,"'4 points' ","'Northern Ireland' ",5
2014 ,"'4 points' ","'Wales' ",25
2014 ,"'5 points' ","'England' ",1805
2014 ,"'5 points' ","'Northern Ireland' ",15
2014 ,"'5 points' ","'Wales' ",75
2014 ,"'6 points' ","'England' ",3905
2014 ,"'6 points' ","'Northern Ireland' ",35
2014 ,"'6 points' ","'Wales' ",175
2014 ,"'7 points' ","'England' ",6360
2014 ,"'7 points' ","'Northern Ireland' ",115
2014 ,"'7 points' ","'Wales' ",285
2014 ,"'8 points' ","'England' ",9105
2014 ,"'8 points' ","'Northern Ireland' ",295
2014 ,"'8 points' ","'Wales' ",455
2014 ,"'9 points' ","'England' ",11565
2014 ,"'9 points' ","'Northern Ireland' ",520
2014 ,"'9 points' ","'Wales' ",595
2014 ,"'10 points' ","'England' ",13310
2014 ,"'10 points' ","'Northern Ireland' ",760
2014 ,"'10 points' ","'Wales' ",715
2014 ,"'11 points' ","'England' ",14045
2014 ,"'11 points' ","'Northern Ireland' ",910
2014 ,"'11 points' ","'Wales' ",755
2014 ,"'12 points' ","'England' ",14980
2014 ,"'12 points' ","'Northern Ireland' ",995
2014 ,"'12 points' ","'Wales' ",700
2014 ,"'13 points' ","'England' ",14275
2014 ,"'13 points' ","'Northern Ireland' ",955
2014 ,"'13 points' ","'Wales' ",635
2014 ,"'14 points' ","'England' ",12810
2014 ,"'14 points' ","'Northern Ireland' ",825
2014 ,"'14 points' ","'Wales' ",555
2014 ,"'15 points' ","'England' ",11700
2014 ,"'15 points' ","'Northern Ireland' ",735
2014 ,"'15 points' ","'Wales' ",555
2014 ,"'16 points' ","'England' ",9210
2014 ,"'16 points' ","'Northern Ireland' ",435
2014 ,"'16 points' ","'Wales' ",330
2014 ,"'17 points' ","'England' ",5960
2014 ,"'17 points' ","'Northern Ireland' ",235
2014 ,"'17 points' ","'Wales' ",230
2014 ,"'18 points' ","'England' ",4820
2014 ,"'18 points' ","'Northern Ireland' ",200
2014 ,"'18 points' ","'Wales' ",155
2015 ,"'3 points' ","'England' ",140
2015 ,"'3 points' ","'Wales' ",5
2015 ,"'4 points' ","'England' ",645
2015 ,"'4 points' ","'Wales' ",25
2015 ,"'5 points' ","'England' ",1795
2015 ,"'5 points' ","'Northern Ireland' ",15
2015 ,"'5 points' ","'Wales' ",100
2015 ,"'6 points' ","'England' ",3845
2015 ,"'6 points' ","'Northern Ireland' ",30
2015 ,"'6 points' ","'Wales' ",190
2015 ,"'7 points' ","'England' ",6560
2015 ,"'7 points' ","'Northern Ireland' ",110
2015 ,"'7 points' ","'Wales' ",315
2015 ,"'8 points' ","'England' ",9520
2015 ,"'8 points' ","'Northern Ireland' ",210
2015 ,"'8 points' ","'Wales' ",455
2015 ,"'9 points' ","'England' ",12280
2015 ,"'9 points' ","'Northern Ireland' ",395
2015 ,"'9 points' ","'Wales' ",640
2015 ,"'10 points' ","'England' ",14090
2015 ,"'10 points' ","'Northern Ireland' ",645
2015 ,"'10 points' ","'Wales' ",705
2015 ,"'11 points' ","'England' ",15030
2015 ,"'11 points' ","'Northern Ireland' ",830
2015 ,"'11 points' ","'Wales' ",750
2015 ,"'12 points' ","'England' ",15680
2015 ,"'12 points' ","'Northern Ireland' ",1005
2015 ,"'12 points' ","'Wales' ",800
2015 ,"'13 points' ","'England' ",14565
2015 ,"'13 points' ","'Northern Ireland' ",1035
2015 ,"'13 points' ","'Wales' ",665
2015 ,"'14 points' ","'England' ",12940
2015 ,"'14 points' ","'Northern Ireland' ",860
2015 ,"'14 points' ","'Wales' ",565
2015 ,"'15 points' ","'England' ",11935
2015 ,"'15 points' ","'Northern Ireland' ",650
2015 ,"'15 points' ","'Wales' ",505
2015 ,"'16 points' ","'England' ",9415
2015 ,"'16 points' ","'Northern Ireland' ",450
2015 ,"'16 points' ","'Wales' ",330
2015 ,"'17 points' ","'England' ",6100
2015 ,"'17 points' ","'Northern Ireland' ",260
2015 ,"'17 points' ","'Wales' ",240
2015 ,"'18 points' ","'England' ",4925
2015 ,"'18 points' ","'Northern Ireland' ",195
2015 ,"'18 points' ","'Wales' ",160
2016 ,"'3 points' ","'England' ",150
2016 ,"'3 points' ","'Wales' ",5
2016 ,"'4 points' ","'England' ",680
2016 ,"'4 points' ","'Northern Ireland' ",5
2016 ,"'4 points' ","'Wales' ",35
2016 ,"'5 points' ","'England' ",1885
2016 ,"'5 points' ","'Northern Ireland' ",15
2016 ,"'5 points' ","'Wales' ",90
2016 ,"'6 points' ","'England' ",3890
2016 ,"'6 points' ","'Northern Ireland' ",30
2016 ,"'6 points' ","'Wales' ",205
2016 ,"'7 points' ","'England' ",6605
2016 ,"'7 points' ","'Northern Ireland' ",115
2016 ,"'7 points' ","'Wales' ",335
