"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_045_06.pdf"
 
Cycle Year,Achieved A-Level point score , Applicant Domicile (High Level),Number of Applicants,
2010 ,"'3 points' ","'England' ",425
2010 ,"'3 points' ","'Northern Ireland' ",10
2010 ,"'3 points' ","'Wales' ",25
2010 ,"'4 points' ","'England' ",1435
2010 ,"'4 points' ","'Northern Ireland' ",45
2010 ,"'4 points' ","'Wales' ",75
2010 ,"'5 points' ","'England' ",3350
2010 ,"'5 points' ","'Northern Ireland' ",120
2010 ,"'5 points' ","'Wales' ",170
2010 ,"'6 points' ","'England' ",6120
2010 ,"'6 points' ","'Northern Ireland' ",215
2010 ,"'6 points' ","'Wales' ",300
2010 ,"'7 points' ","'England' ",9055
2010 ,"'7 points' ","'Northern Ireland' ",370
2010 ,"'7 points' ","'Wales' ",475
2010 ,"'8 points' ","'England' ",11930
2010 ,"'8 points' ","'Northern Ireland' ",595
2010 ,"'8 points' ","'Wales' ",665
2010 ,"'9 points' ","'England' ",14835
2010 ,"'9 points' ","'Northern Ireland' ",810
2010 ,"'9 points' ","'Wales' ",760
2010 ,"'10 points' ","'England' ",16110
2010 ,"'10 points' ","'Northern Ireland' ",945
2010 ,"'10 points' ","'Wales' ",905
2010 ,"'11 points' ","'England' ",16790
2010 ,"'11 points' ","'Northern Ireland' ",1105
2010 ,"'11 points' ","'Wales' ",890
2010 ,"'12 points' ","'England' ",17060
2010 ,"'12 points' ","'Northern Ireland' ",1130
2010 ,"'12 points' ","'Wales' ",920
2010 ,"'13 points' ","'England' ",16130
2010 ,"'13 points' ","'Northern Ireland' ",1050
2010 ,"'13 points' ","'Wales' ",790
2010 ,"'14 points' ","'England' ",14670
2010 ,"'14 points' ","'Northern Ireland' ",1020
2010 ,"'14 points' ","'Wales' ",690
2010 ,"'15 points' ","'England' ",14655
2010 ,"'15 points' ","'Northern Ireland' ",1065
2010 ,"'15 points' ","'Wales' ",685
2010 ,"'16 points' ","'England' ",10825
2010 ,"'16 points' ","'Northern Ireland' ",695
2010 ,"'16 points' ","'Wales' ",440
2010 ,"'17 points' ","'England' ",6470
2010 ,"'17 points' ","'Northern Ireland' ",370
2010 ,"'17 points' ","'Wales' ",250
2010 ,"'18 points' ","'England' ",4930
2010 ,"'18 points' ","'Northern Ireland' ",275
2010 ,"'18 points' ","'Wales' ",160
2011 ,"'3 points' ","'England' ",320
2011 ,"'3 points' ","'Northern Ireland' ",5
2011 ,"'3 points' ","'Wales' ",15
2011 ,"'4 points' ","'England' ",1205
2011 ,"'4 points' ","'Northern Ireland' ",30
2011 ,"'4 points' ","'Wales' ",55
2011 ,"'5 points' ","'England' ",2910
2011 ,"'5 points' ","'Northern Ireland' ",110
2011 ,"'5 points' ","'Wales' ",125
2011 ,"'6 points' ","'England' ",5510
2011 ,"'6 points' ","'Northern Ireland' ",210
2011 ,"'6 points' ","'Wales' ",245
2011 ,"'7 points' ","'England' ",8605
2011 ,"'7 points' ","'Northern Ireland' ",370
2011 ,"'7 points' ","'Wales' ",435
2011 ,"'8 points' ","'England' ",11720
2011 ,"'8 points' ","'Northern Ireland' ",570
2011 ,"'8 points' ","'Wales' ",630
2011 ,"'9 points' ","'England' ",14810
2011 ,"'9 points' ","'Northern Ireland' ",760
2011 ,"'9 points' ","'Wales' ",800
2011 ,"'10 points' ","'England' ",16675
2011 ,"'10 points' ","'Northern Ireland' ",955
2011 ,"'10 points' ","'Wales' ",820
2011 ,"'11 points' ","'England' ",16900
2011 ,"'11 points' ","'Northern Ireland' ",1075
2011 ,"'11 points' ","'Wales' ",865
2011 ,"'12 points' ","'England' ",17435
2011 ,"'12 points' ","'Northern Ireland' ",1100
2011 ,"'12 points' ","'Wales' ",855
2011 ,"'13 points' ","'England' ",16165
2011 ,"'13 points' ","'Northern Ireland' ",1120
2011 ,"'13 points' ","'Wales' ",770
2011 ,"'14 points' ","'England' ",14860
2011 ,"'14 points' ","'Northern Ireland' ",1010
2011 ,"'14 points' ","'Wales' ",685
2011 ,"'15 points' ","'England' ",14430
2011 ,"'15 points' ","'Northern Ireland' ",1080
2011 ,"'15 points' ","'Wales' ",650
2011 ,"'16 points' ","'England' ",11115
2011 ,"'16 points' ","'Northern Ireland' ",635
2011 ,"'16 points' ","'Wales' ",455
2011 ,"'17 points' ","'England' ",6665
2011 ,"'17 points' ","'Northern Ireland' ",335
2011 ,"'17 points' ","'Wales' ",220
2011 ,"'18 points' ","'England' ",5320
2011 ,"'18 points' ","'Northern Ireland' ",260
2011 ,"'18 points' ","'Wales' ",180
2012 ,"'3 points' ","'England' ",225
2012 ,"'3 points' ","'Northern Ireland' ",5
2012 ,"'3 points' ","'Wales' ",15
2012 ,"'4 points' ","'England' ",1100
2012 ,"'4 points' ","'Northern Ireland' ",35
2012 ,"'4 points' ","'Wales' ",40
2012 ,"'5 points' ","'England' ",2610
2012 ,"'5 points' ","'Northern Ireland' ",90
2012 ,"'5 points' ","'Wales' ",110
2012 ,"'6 points' ","'England' ",5080
2012 ,"'6 points' ","'Northern Ireland' ",200
2012 ,"'6 points' ","'Wales' ",240
2012 ,"'7 points' ","'England' ",7960
2012 ,"'7 points' ","'Northern Ireland' ",365
2012 ,"'7 points' ","'Wales' ",375
2012 ,"'8 points' ","'England' ",10770
2012 ,"'8 points' ","'Northern Ireland' ",555
2012 ,"'8 points' ","'Wales' ",580
2012 ,"'9 points' ","'England' ",13740
2012 ,"'9 points' ","'Northern Ireland' ",850
2012 ,"'9 points' ","'Wales' ",685
2012 ,"'10 points' ","'England' ",15750
2012 ,"'10 points' ","'Northern Ireland' ",940
2012 ,"'10 points' ","'Wales' ",755
2012 ,"'11 points' ","'England' ",16405
2012 ,"'11 points' ","'Northern Ireland' ",1155
2012 ,"'11 points' ","'Wales' ",840
2012 ,"'12 points' ","'England' ",16790
2012 ,"'12 points' ","'Northern Ireland' ",1190
2012 ,"'12 points' ","'Wales' ",865
2012 ,"'13 points' ","'England' ",16025
2012 ,"'13 points' ","'Northern Ireland' ",1100
2012 ,"'13 points' ","'Wales' ",805
2012 ,"'14 points' ","'England' ",14415
2012 ,"'14 points' ","'Northern Ireland' ",1005
2012 ,"'14 points' ","'Wales' ",665
2012 ,"'15 points' ","'England' ",14190
2012 ,"'15 points' ","'Northern Ireland' ",925
2012 ,"'15 points' ","'Wales' ",640
2012 ,"'16 points' ","'England' ",10635
2012 ,"'16 points' ","'Northern Ireland' ",605
2012 ,"'16 points' ","'Wales' ",430
2012 ,"'17 points' ","'England' ",6365
2012 ,"'17 points' ","'Northern Ireland' ",345
2012 ,"'17 points' ","'Wales' ",220
2012 ,"'18 points' ","'England' ",5250
2012 ,"'18 points' ","'Northern Ireland' ",195
2012 ,"'18 points' ","'Wales' ",150
2013 ,"'3 points' ","'England' ",265
2013 ,"'3 points' ","'Northern Ireland' ",5
2013 ,"'3 points' ","'Wales' ",5
2013 ,"'4 points' ","'England' ",915
2013 ,"'4 points' ","'Northern Ireland' ",30
2013 ,"'4 points' ","'Wales' ",35
2013 ,"'5 points' ","'England' ",2465
2013 ,"'5 points' ","'Northern Ireland' ",100
2013 ,"'5 points' ","'Wales' ",105
2013 ,"'6 points' ","'England' ",4715
2013 ,"'6 points' ","'Northern Ireland' ",205
2013 ,"'6 points' ","'Wales' ",200
2013 ,"'7 points' ","'England' ",7610
2013 ,"'7 points' ","'Northern Ireland' ",405
2013 ,"'7 points' ","'Wales' ",350
2013 ,"'8 points' ","'England' ",10540
2013 ,"'8 points' ","'Northern Ireland' ",595
2013 ,"'8 points' ","'Wales' ",530
2013 ,"'9 points' ","'England' ",13685
2013 ,"'9 points' ","'Northern Ireland' ",775
2013 ,"'9 points' ","'Wales' ",680
2013 ,"'10 points' ","'England' ",15780
2013 ,"'10 points' ","'Northern Ireland' ",975
2013 ,"'10 points' ","'Wales' ",775
2013 ,"'11 points' ","'England' ",16435
2013 ,"'11 points' ","'Northern Ireland' ",1080
2013 ,"'11 points' ","'Wales' ",855
2013 ,"'12 points' ","'England' ",17210
2013 ,"'12 points' ","'Northern Ireland' ",1230
2013 ,"'12 points' ","'Wales' ",800
2013 ,"'13 points' ","'England' ",16055
2013 ,"'13 points' ","'Northern Ireland' ",1115
2013 ,"'13 points' ","'Wales' ",735
2013 ,"'14 points' ","'England' ",14395
2013 ,"'14 points' ","'Northern Ireland' ",990
2013 ,"'14 points' ","'Wales' ",655
2013 ,"'15 points' ","'England' ",13990
2013 ,"'15 points' ","'Northern Ireland' ",955
2013 ,"'15 points' ","'Wales' ",570
2013 ,"'16 points' ","'England' ",10470
2013 ,"'16 points' ","'Northern Ireland' ",565
2013 ,"'16 points' ","'Wales' ",390
2013 ,"'17 points' ","'England' ",6175
2013 ,"'17 points' ","'Northern Ireland' ",285
2013 ,"'17 points' ","'Wales' ",210
2013 ,"'18 points' ","'England' ",4965
2013 ,"'18 points' ","'Northern Ireland' ",185
2013 ,"'18 points' ","'Wales' ",135
2014 ,"'3 points' ","'England' ",265
2014 ,"'3 points' ","'Northern Ireland' ",10
2014 ,"'3 points' ","'Wales' ",5
2014 ,"'4 points' ","'England' ",1030
2014 ,"'4 points' ","'Northern Ireland' ",25
2014 ,"'4 points' ","'Wales' ",35
2014 ,"'5 points' ","'England' ",2560
2014 ,"'5 points' ","'Northern Ireland' ",80
2014 ,"'5 points' ","'Wales' ",100
2014 ,"'6 points' ","'England' ",5090
2014 ,"'6 points' ","'Northern Ireland' ",180
2014 ,"'6 points' ","'Wales' ",200
2014 ,"'7 points' ","'England' ",7850
2014 ,"'7 points' ","'Northern Ireland' ",320
2014 ,"'7 points' ","'Wales' ",335
2014 ,"'8 points' ","'England' ",10970
2014 ,"'8 points' ","'Northern Ireland' ",555
2014 ,"'8 points' ","'Wales' ",520
2014 ,"'9 points' ","'England' ",13590
2014 ,"'9 points' ","'Northern Ireland' ",785
2014 ,"'9 points' ","'Wales' ",665
2014 ,"'10 points' ","'England' ",15530
2014 ,"'10 points' ","'Northern Ireland' ",1030
2014 ,"'10 points' ","'Wales' ",790
2014 ,"'11 points' ","'England' ",16080
2014 ,"'11 points' ","'Northern Ireland' ",1125
2014 ,"'11 points' ","'Wales' ",835
2014 ,"'12 points' ","'England' ",16745
2014 ,"'12 points' ","'Northern Ireland' ",1140
2014 ,"'12 points' ","'Wales' ",760
2014 ,"'13 points' ","'England' ",15420
2014 ,"'13 points' ","'Northern Ireland' ",1075
2014 ,"'13 points' ","'Wales' ",675
2014 ,"'14 points' ","'England' ",13865
2014 ,"'14 points' ","'Northern Ireland' ",930
2014 ,"'14 points' ","'Wales' ",600
2014 ,"'15 points' ","'England' ",12775
2014 ,"'15 points' ","'Northern Ireland' ",865
2014 ,"'15 points' ","'Wales' ",605
2014 ,"'16 points' ","'England' ",10025
2014 ,"'16 points' ","'Northern Ireland' ",505
2014 ,"'16 points' ","'Wales' ",355
2014 ,"'17 points' ","'England' ",6455
2014 ,"'17 points' ","'Northern Ireland' ",265
2014 ,"'17 points' ","'Wales' ",235
2014 ,"'18 points' ","'England' ",5190
2014 ,"'18 points' ","'Northern Ireland' ",220
2014 ,"'18 points' ","'Wales' ",170
2015 ,"'3 points' ","'England' ",240
2015 ,"'3 points' ","'Northern Ireland' ",5
2015 ,"'3 points' ","'Wales' ",10
2015 ,"'4 points' ","'England' ",970
2015 ,"'4 points' ","'Northern Ireland' ",20
2015 ,"'4 points' ","'Wales' ",35
2015 ,"'5 points' ","'England' ",2445
2015 ,"'5 points' ","'Northern Ireland' ",75
2015 ,"'5 points' ","'Wales' ",125
2015 ,"'6 points' ","'England' ",4920
2015 ,"'6 points' ","'Northern Ireland' ",160
2015 ,"'6 points' ","'Wales' ",225
2015 ,"'7 points' ","'England' ",7955
2015 ,"'7 points' ","'Northern Ireland' ",325
2015 ,"'7 points' ","'Wales' ",365
2015 ,"'8 points' ","'England' ",11250
2015 ,"'8 points' ","'Northern Ireland' ",550
2015 ,"'8 points' ","'Wales' ",520
2015 ,"'9 points' ","'England' ",14250
2015 ,"'9 points' ","'Northern Ireland' ",805
2015 ,"'9 points' ","'Wales' ",715
2015 ,"'10 points' ","'England' ",16160
2015 ,"'10 points' ","'Northern Ireland' ",1000
2015 ,"'10 points' ","'Wales' ",775
2015 ,"'11 points' ","'England' ",16910
2015 ,"'11 points' ","'Northern Ireland' ",1150
2015 ,"'11 points' ","'Wales' ",815
2015 ,"'12 points' ","'England' ",17220
2015 ,"'12 points' ","'Northern Ireland' ",1165
2015 ,"'12 points' ","'Wales' ",865
2015 ,"'13 points' ","'England' ",15940
2015 ,"'13 points' ","'Northern Ireland' ",1165
2015 ,"'13 points' ","'Wales' ",700
2015 ,"'14 points' ","'England' ",14035
2015 ,"'14 points' ","'Northern Ireland' ",965
2015 ,"'14 points' ","'Wales' ",595
2015 ,"'15 points' ","'England' ",12895
2015 ,"'15 points' ","'Northern Ireland' ",770
2015 ,"'15 points' ","'Wales' ",535
2015 ,"'16 points' ","'England' ",10160
2015 ,"'16 points' ","'Northern Ireland' ",525
2015 ,"'16 points' ","'Wales' ",355
2015 ,"'17 points' ","'England' ",6595
2015 ,"'17 points' ","'Northern Ireland' ",300
2015 ,"'17 points' ","'Wales' ",255
2015 ,"'18 points' ","'England' ",5285
2015 ,"'18 points' ","'Northern Ireland' ",220
2015 ,"'18 points' ","'Wales' ",165
2016 ,"'3 points' ","'England' ",230
2016 ,"'3 points' ","'Northern Ireland' ",5
2016 ,"'3 points' ","'Wales' ",10
2016 ,"'4 points' ","'England' ",970
2016 ,"'4 points' ","'Northern Ireland' ",20
2016 ,"'4 points' ","'Wales' ",45
2016 ,"'5 points' ","'England' ",2505
2016 ,"'5 points' ","'Northern Ireland' ",60
2016 ,"'5 points' ","'Wales' ",115
2016 ,"'6 points' ","'England' ",4875
2016 ,"'6 points' ","'Northern Ireland' ",145
2016 ,"'6 points' ","'Wales' ",240
2016 ,"'7 points' ","'England' ",7985
2016 ,"'7 points' ","'Northern Ireland' ",305
2016 ,"'7 points' ","'Wales' ",400
2016 ,"'8 points' ","'England' ",11235
2016 ,"'8 points' ","'Northern Ireland' ",510
2016 ,"'8 points' ","'Wales' ",555
2016 ,"'9 points' ","'England' ",14340
2016 ,"'9 points' ","'Northern Ireland' ",765
2016 ,"'9 points' ","'Wales' ",670
