"Statistic:   Number of Applicants"
"Variables:   SIMD Quintile 2012 , Sex , Cycle Year"
"Coverage:   Applied before June deadline, Scottish domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_047_06.pdf"
 
Cycle Year,SIMD Quintile 2012 , Sex,Number of Applicants,
2006 ,"'SIMD Quintile 1' ","'Men' ",560
2006 ,"'SIMD Quintile 1' ","'Women' ",895
2006 ,"'SIMD Quintile 2' ","'Men' ",900
2006 ,"'SIMD Quintile 2' ","'Women' ",1335
2006 ,"'SIMD Quintile 3' ","'Men' ",1400
2006 ,"'SIMD Quintile 3' ","'Women' ",1805
2006 ,"'SIMD Quintile 4' ","'Men' ",1930
2006 ,"'SIMD Quintile 4' ","'Women' ",2410
2006 ,"'SIMD Quintile 5' ","'Men' ",2975
2006 ,"'SIMD Quintile 5' ","'Women' ",3365
2006 ,"'Not assigned' ","'Men' ",50
2006 ,"'Not assigned' ","'Women' ",55
2007 ,"'SIMD Quintile 1' ","'Men' ",605
2007 ,"'SIMD Quintile 1' ","'Women' ",840
2007 ,"'SIMD Quintile 2' ","'Men' ",810
2007 ,"'SIMD Quintile 2' ","'Women' ",1235
2007 ,"'SIMD Quintile 3' ","'Men' ",1355
2007 ,"'SIMD Quintile 3' ","'Women' ",1760
2007 ,"'SIMD Quintile 4' ","'Men' ",1805
2007 ,"'SIMD Quintile 4' ","'Women' ",2405
2007 ,"'SIMD Quintile 5' ","'Men' ",2730
2007 ,"'SIMD Quintile 5' ","'Women' ",3210
2007 ,"'Not assigned' ","'Men' ",40
2007 ,"'Not assigned' ","'Women' ",50
2008 ,"'SIMD Quintile 1' ","'Men' ",530
2008 ,"'SIMD Quintile 1' ","'Women' ",795
2008 ,"'SIMD Quintile 2' ","'Men' ",865
2008 ,"'SIMD Quintile 2' ","'Women' ",1270
2008 ,"'SIMD Quintile 3' ","'Men' ",1285
2008 ,"'SIMD Quintile 3' ","'Women' ",1805
2008 ,"'SIMD Quintile 4' ","'Men' ",1980
