"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_001_07.pdf"
 
Cycle Year,Deferred Status , Acceptance Route,Number of Acceptances,
2006 ,"'Deferred' ","'Firm choice' ",22955
2006 ,"'Deferred' ","'Insurance choice' ",2390
2006 ,"'Deferred' ","'Other main scheme choice' ",860
2006 ,"'Deferred' ","'Extra' ",125
2006 ,"'Deferred' ","'Main scheme Clearing' ",1195
2006 ,"'Deferred' ","'Direct Clearing' ",210
2006 ,"'Deferred' ","'RPA' ",335
2006 ,"'Not deferred' ","'Firm choice' ",263350
2006 ,"'Not deferred' ","'Insurance choice' ",19435
2006 ,"'Not deferred' ","'Other main scheme choice' ",16085
2006 ,"'Not deferred' ","'Extra' ",3140
2006 ,"'Not deferred' ","'Main scheme Clearing' ",27595
2006 ,"'Not deferred' ","'Direct Clearing' ",9035
2006 ,"'Not deferred' ","'RPA' ",24185
2007 ,"'Deferred' ","'Firm choice' ",23180
2007 ,"'Deferred' ","'Insurance choice' ",2555
2007 ,"'Deferred' ","'Other main scheme choice' ",915
2007 ,"'Deferred' ","'Extra' ",120
2007 ,"'Deferred' ","'Main scheme Clearing' ",1010
2007 ,"'Deferred' ","'Direct Clearing' ",120
2007 ,"'Deferred' ","'RPA' ",420
2007 ,"'Not deferred' ","'Firm choice' ",279795
2007 ,"'Not deferred' ","'Insurance choice' ",21195
2007 ,"'Not deferred' ","'Other main scheme choice' ",16185
2007 ,"'Not deferred' ","'Extra' ",3645
2007 ,"'Not deferred' ","'Main scheme Clearing' ",28675
2007 ,"'Not deferred' ","'Direct Clearing' ",9060
2007 ,"'Not deferred' ","'RPA' ",26550
2008 ,"'Deferred' ","'Firm choice' ",24275
2008 ,"'Deferred' ","'Insurance choice' ",3025
2008 ,"'Deferred' ","'Other main scheme choice' ",970
2008 ,"'Deferred' ","'Extra' ",210
2008 ,"'Deferred' ","'Main scheme Clearing' ",1130
2008 ,"'Deferred' ","'Direct Clearing' ",155
2008 ,"'Deferred' ","'RPA' ",515
2008 ,"'Not deferred' ","'Firm choice' ",305940
2008 ,"'Not deferred' ","'Insurance choice' ",24175
2008 ,"'Not deferred' ","'Other main scheme choice' ",16725
