"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_002_07.pdf"
 
Cycle Year,Deferred Status , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2006 ,"'Deferred' ","'UK' ","'Firm choice' ",21255
2006 ,"'Deferred' ","'UK' ","'Insurance choice' ",2240
2006 ,"'Deferred' ","'UK' ","'Other main scheme choice' ",495
2006 ,"'Deferred' ","'UK' ","'Extra' ",115
2006 ,"'Deferred' ","'UK' ","'Main scheme Clearing' ",1040
2006 ,"'Deferred' ","'UK' ","'Direct Clearing' ",170
2006 ,"'Deferred' ","'UK' ","'RPA' ",180
2006 ,"'Deferred' ","'EU (excluding UK)' ","'Firm choice' ",725
2006 ,"'Deferred' ","'EU (excluding UK)' ","'Insurance choice' ",75
2006 ,"'Deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",60
2006 ,"'Deferred' ","'EU (excluding UK)' ","'Extra' ",5
2006 ,"'Deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",55
2006 ,"'Deferred' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2006 ,"'Deferred' ","'EU (excluding UK)' ","'RPA' ",15
2006 ,"'Deferred' ","'Not EU' ","'Firm choice' ",975
2006 ,"'Deferred' ","'Not EU' ","'Insurance choice' ",70
2006 ,"'Deferred' ","'Not EU' ","'Other main scheme choice' ",305
2006 ,"'Deferred' ","'Not EU' ","'Extra' ",10
2006 ,"'Deferred' ","'Not EU' ","'Main scheme Clearing' ",100
2006 ,"'Deferred' ","'Not EU' ","'Direct Clearing' ",30
2006 ,"'Deferred' ","'Not EU' ","'RPA' ",140
2006 ,"'Not deferred' ","'UK' ","'Firm choice' ",236435
2006 ,"'Not deferred' ","'UK' ","'Insurance choice' ",16895
2006 ,"'Not deferred' ","'UK' ","'Other main scheme choice' ",11150
2006 ,"'Not deferred' ","'UK' ","'Extra' ",2805
2006 ,"'Not deferred' ","'UK' ","'Main scheme Clearing' ",24455
2006 ,"'Not deferred' ","'UK' ","'Direct Clearing' ",7955
2006 ,"'Not deferred' ","'UK' ","'RPA' ",19170
2006 ,"'Not deferred' ","'EU (excluding UK)' ","'Firm choice' ",11795
2006 ,"'Not deferred' ","'EU (excluding UK)' ","'Insurance choice' ",845
2006 ,"'Not deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",1870
2006 ,"'Not deferred' ","'EU (excluding UK)' ","'Extra' ",150
2006 ,"'Not deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",950
