"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Applicant Domicile (High Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_003_07.pdf"
 
Cycle Year,Deferred Status , Applicant Domicile (High Level) , Acceptance Route,Number of Acceptances,
2006 ,"'Deferred' ","'England' ","'Firm choice' ",18950
2006 ,"'Deferred' ","'England' ","'Insurance choice' ",1990
2006 ,"'Deferred' ","'England' ","'Other main scheme choice' ",440
2006 ,"'Deferred' ","'England' ","'Extra' ",105
2006 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",915
2006 ,"'Deferred' ","'England' ","'Direct Clearing' ",135
2006 ,"'Deferred' ","'England' ","'RPA' ",155
2006 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",355
2006 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",55
2006 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",5
2006 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2006 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",25
2006 ,"'Deferred' ","'Northern Ireland' ","'Direct Clearing' ",10
2006 ,"'Deferred' ","'Scotland' ","'Firm choice' ",1215
2006 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",135
2006 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",35
2006 ,"'Deferred' ","'Scotland' ","'Extra' ",5
2006 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",60
2006 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",20
2006 ,"'Deferred' ","'Scotland' ","'RPA' ",15
2006 ,"'Deferred' ","'Wales' ","'Firm choice' ",735
2006 ,"'Deferred' ","'Wales' ","'Insurance choice' ",65
2006 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",15
2006 ,"'Deferred' ","'Wales' ","'Extra' ",5
2006 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",35
2006 ,"'Deferred' ","'Wales' ","'Direct Clearing' ",5
2006 ,"'Deferred' ","'Wales' ","'RPA' ",10
2006 ,"'Not deferred' ","'England' ","'Firm choice' ",195745
2006 ,"'Not deferred' ","'England' ","'Insurance choice' ",13560
2006 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",9440
2006 ,"'Not deferred' ","'England' ","'Extra' ",2415
2006 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",20940
2006 ,"'Not deferred' ","'England' ","'Direct Clearing' ",6905
2006 ,"'Not deferred' ","'England' ","'RPA' ",16335
2006 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",9030
2006 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1390
2006 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",195
2006 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",95
2006 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",965
2006 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",135
2006 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",125
2006 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",19495
2006 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1275
2006 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",980
2006 ,"'Not deferred' ","'Scotland' ","'Extra' ",130
2006 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1490
2006 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",415
2006 ,"'Not deferred' ","'Scotland' ","'RPA' ",1545
2006 ,"'Not deferred' ","'Wales' ","'Firm choice' ",12170
2006 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",670
2006 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",535
2006 ,"'Not deferred' ","'Wales' ","'Extra' ",165
2006 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1065
2006 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",500
2006 ,"'Not deferred' ","'Wales' ","'RPA' ",1170
2007 ,"'Deferred' ","'England' ","'Firm choice' ",19005
2007 ,"'Deferred' ","'England' ","'Insurance choice' ",2135
2007 ,"'Deferred' ","'England' ","'Other main scheme choice' ",510
2007 ,"'Deferred' ","'England' ","'Extra' ",95
2007 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",805
2007 ,"'Deferred' ","'England' ","'Direct Clearing' ",70
2007 ,"'Deferred' ","'England' ","'RPA' ",195
2007 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",320
2007 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",55
2007 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2007 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'Deferred' ","'Northern Ireland' ","'RPA' ",5
2007 ,"'Deferred' ","'Scotland' ","'Firm choice' ",1165
2007 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",130
2007 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",45
2007 ,"'Deferred' ","'Scotland' ","'Extra' ",5
2007 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",35
2007 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'Deferred' ","'Scotland' ","'RPA' ",60
2007 ,"'Deferred' ","'Wales' ","'Firm choice' ",715
2007 ,"'Deferred' ","'Wales' ","'Insurance choice' ",60
2007 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'Deferred' ","'Wales' ","'Extra' ",5
2007 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",30
2007 ,"'Deferred' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'Deferred' ","'Wales' ","'RPA' ",10
2007 ,"'Not deferred' ","'England' ","'Firm choice' ",208155
2007 ,"'Not deferred' ","'England' ","'Insurance choice' ",15025
2007 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",9870
2007 ,"'Not deferred' ","'England' ","'Extra' ",2845
2007 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",22210
2007 ,"'Not deferred' ","'England' ","'Direct Clearing' ",6985
2007 ,"'Not deferred' ","'England' ","'RPA' ",17880
