"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_004_07.pdf"
 
Cycle Year,Provider Country 2016 , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'Firm choice' ",237345
2006 ,"'England' ","'Insurance choice' ",17710
2006 ,"'England' ","'Other main scheme choice' ",14260
2006 ,"'England' ","'Extra' ",2870
2006 ,"'England' ","'Main scheme Clearing' ",24745
2006 ,"'England' ","'Direct Clearing' ",8015
2006 ,"'England' ","'RPA' ",20305
2006 ,"'Northern Ireland' ","'Firm choice' ",6505
2006 ,"'Northern Ireland' ","'Insurance choice' ",1050
2006 ,"'Northern Ireland' ","'Other main scheme choice' ",125
2006 ,"'Northern Ireland' ","'Extra' ",45
2006 ,"'Northern Ireland' ","'Main scheme Clearing' ",665
2006 ,"'Northern Ireland' ","'Direct Clearing' ",115
2006 ,"'Northern Ireland' ","'RPA' ",70
2006 ,"'Scotland' ","'Firm choice' ",26165
2006 ,"'Scotland' ","'Insurance choice' ",2055
2006 ,"'Scotland' ","'Other main scheme choice' ",1715
2006 ,"'Scotland' ","'Extra' ",180
2006 ,"'Scotland' ","'Main scheme Clearing' ",1990
2006 ,"'Scotland' ","'Direct Clearing' ",500
2006 ,"'Scotland' ","'RPA' ",2720
2006 ,"'Wales' ","'Firm choice' ",16295
2006 ,"'Wales' ","'Insurance choice' ",1005
2006 ,"'Wales' ","'Other main scheme choice' ",845
2006 ,"'Wales' ","'Extra' ",165
2006 ,"'Wales' ","'Main scheme Clearing' ",1390
2006 ,"'Wales' ","'Direct Clearing' ",615
2006 ,"'Wales' ","'RPA' ",1430
2007 ,"'England' ","'Firm choice' ",251295
2007 ,"'England' ","'Insurance choice' ",19770
2007 ,"'England' ","'Other main scheme choice' ",14510
2007 ,"'England' ","'Extra' ",3280
2007 ,"'England' ","'Main scheme Clearing' ",25790
2007 ,"'England' ","'Direct Clearing' ",7840
2007 ,"'England' ","'RPA' ",22695
2007 ,"'Northern Ireland' ","'Firm choice' ",7265
2007 ,"'Northern Ireland' ","'Insurance choice' ",970
2007 ,"'Northern Ireland' ","'Other main scheme choice' ",185
2007 ,"'Northern Ireland' ","'Extra' ",70
2007 ,"'Northern Ireland' ","'Main scheme Clearing' ",605
2007 ,"'Northern Ireland' ","'Direct Clearing' ",185
2007 ,"'Northern Ireland' ","'RPA' ",10
2007 ,"'Scotland' ","'Firm choice' ",27345
2007 ,"'Scotland' ","'Insurance choice' ",1905
2007 ,"'Scotland' ","'Other main scheme choice' ",1620
2007 ,"'Scotland' ","'Extra' ",225
2007 ,"'Scotland' ","'Main scheme Clearing' ",2005
