"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_005_07.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'UK' ","'Firm choice' ",212990
2006 ,"'England' ","'UK' ","'Insurance choice' ",15365
2006 ,"'England' ","'UK' ","'Other main scheme choice' ",9940
2006 ,"'England' ","'UK' ","'Extra' ",2575
2006 ,"'England' ","'UK' ","'Main scheme Clearing' ",21860
2006 ,"'England' ","'UK' ","'Direct Clearing' ",7070
2006 ,"'England' ","'UK' ","'RPA' ",16500
2006 ,"'England' ","'EU (excluding UK)' ","'Firm choice' ",9830
2006 ,"'England' ","'EU (excluding UK)' ","'Insurance choice' ",725
2006 ,"'England' ","'EU (excluding UK)' ","'Other main scheme choice' ",1340
2006 ,"'England' ","'EU (excluding UK)' ","'Extra' ",130
2006 ,"'England' ","'EU (excluding UK)' ","'Main scheme Clearing' ",810
2006 ,"'England' ","'EU (excluding UK)' ","'Direct Clearing' ",530
2006 ,"'England' ","'EU (excluding UK)' ","'RPA' ",930
2006 ,"'England' ","'Not EU' ","'Firm choice' ",14525
2006 ,"'England' ","'Not EU' ","'Insurance choice' ",1625
2006 ,"'England' ","'Not EU' ","'Other main scheme choice' ",2980
2006 ,"'England' ","'Not EU' ","'Extra' ",170
2006 ,"'England' ","'Not EU' ","'Main scheme Clearing' ",2080
2006 ,"'England' ","'Not EU' ","'Direct Clearing' ",415
2006 ,"'England' ","'Not EU' ","'RPA' ",2875
2006 ,"'Northern Ireland' ","'UK' ","'Firm choice' ",6205
2006 ,"'Northern Ireland' ","'UK' ","'Insurance choice' ",1005
2006 ,"'Northern Ireland' ","'UK' ","'Other main scheme choice' ",110
2006 ,"'Northern Ireland' ","'UK' ","'Extra' ",45
2006 ,"'Northern Ireland' ","'UK' ","'Main scheme Clearing' ",635
2006 ,"'Northern Ireland' ","'UK' ","'Direct Clearing' ",100
2006 ,"'Northern Ireland' ","'UK' ","'RPA' ",60
2006 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Firm choice' ",275
2006 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Insurance choice' ",40
2006 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2006 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2006 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2006 ,"'Northern Ireland' ","'EU (excluding UK)' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Not EU' ","'Firm choice' ",25
2006 ,"'Northern Ireland' ","'Not EU' ","'Other main scheme choice' ",5
2006 ,"'Northern Ireland' ","'Not EU' ","'Main scheme Clearing' ",10
2006 ,"'Northern Ireland' ","'Not EU' ","'Direct Clearing' ",5
2006 ,"'Northern Ireland' ","'Not EU' ","'RPA' ",5
2006 ,"'Scotland' ","'UK' ","'Firm choice' ",23135
2006 ,"'Scotland' ","'UK' ","'Insurance choice' ",1835
2006 ,"'Scotland' ","'UK' ","'Other main scheme choice' ",1000
2006 ,"'Scotland' ","'UK' ","'Extra' ",150
2006 ,"'Scotland' ","'UK' ","'Main scheme Clearing' ",1755
2006 ,"'Scotland' ","'UK' ","'Direct Clearing' ",415
2006 ,"'Scotland' ","'UK' ","'RPA' ",1590
2006 ,"'Scotland' ","'EU (excluding UK)' ","'Firm choice' ",1965
2006 ,"'Scotland' ","'EU (excluding UK)' ","'Insurance choice' ",125
2006 ,"'Scotland' ","'EU (excluding UK)' ","'Other main scheme choice' ",460
2006 ,"'Scotland' ","'EU (excluding UK)' ","'Extra' ",15
2006 ,"'Scotland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",125
2006 ,"'Scotland' ","'EU (excluding UK)' ","'Direct Clearing' ",55
2006 ,"'Scotland' ","'EU (excluding UK)' ","'RPA' ",140
2006 ,"'Scotland' ","'Not EU' ","'Firm choice' ",1065
2006 ,"'Scotland' ","'Not EU' ","'Insurance choice' ",95
2006 ,"'Scotland' ","'Not EU' ","'Other main scheme choice' ",250
2006 ,"'Scotland' ","'Not EU' ","'Extra' ",15
2006 ,"'Scotland' ","'Not EU' ","'Main scheme Clearing' ",110
2006 ,"'Scotland' ","'Not EU' ","'Direct Clearing' ",30
2006 ,"'Scotland' ","'Not EU' ","'RPA' ",985
2006 ,"'Wales' ","'UK' ","'Firm choice' ",15360
2006 ,"'Wales' ","'UK' ","'Insurance choice' ",930
2006 ,"'Wales' ","'UK' ","'Other main scheme choice' ",595
2006 ,"'Wales' ","'UK' ","'Extra' ",155
2006 ,"'Wales' ","'UK' ","'Main scheme Clearing' ",1250
2006 ,"'Wales' ","'UK' ","'Direct Clearing' ",540
2006 ,"'Wales' ","'UK' ","'RPA' ",1200
2006 ,"'Wales' ","'EU (excluding UK)' ","'Firm choice' ",455
2006 ,"'Wales' ","'EU (excluding UK)' ","'Insurance choice' ",25
2006 ,"'Wales' ","'EU (excluding UK)' ","'Other main scheme choice' ",115
2006 ,"'Wales' ","'EU (excluding UK)' ","'Extra' ",10
2006 ,"'Wales' ","'EU (excluding UK)' ","'Main scheme Clearing' ",50
2006 ,"'Wales' ","'EU (excluding UK)' ","'Direct Clearing' ",65
2006 ,"'Wales' ","'EU (excluding UK)' ","'RPA' ",25
2006 ,"'Wales' ","'Not EU' ","'Firm choice' ",480
2006 ,"'Wales' ","'Not EU' ","'Insurance choice' ",50
2006 ,"'Wales' ","'Not EU' ","'Other main scheme choice' ",135
2006 ,"'Wales' ","'Not EU' ","'Main scheme Clearing' ",90
2006 ,"'Wales' ","'Not EU' ","'Direct Clearing' ",15
2006 ,"'Wales' ","'Not EU' ","'RPA' ",205
2007 ,"'England' ","'UK' ","'Firm choice' ",225185
2007 ,"'England' ","'UK' ","'Insurance choice' ",17025
2007 ,"'England' ","'UK' ","'Other main scheme choice' ",10405
2007 ,"'England' ","'UK' ","'Extra' ",2965
2007 ,"'England' ","'UK' ","'Main scheme Clearing' ",22970
2007 ,"'England' ","'UK' ","'Direct Clearing' ",7065
2007 ,"'England' ","'UK' ","'RPA' ",18105
2007 ,"'England' ","'EU (excluding UK)' ","'Firm choice' ",11325
2007 ,"'England' ","'EU (excluding UK)' ","'Insurance choice' ",895
2007 ,"'England' ","'EU (excluding UK)' ","'Other main scheme choice' ",1300
2007 ,"'England' ","'EU (excluding UK)' ","'Extra' ",130
2007 ,"'England' ","'EU (excluding UK)' ","'Main scheme Clearing' ",825
2007 ,"'England' ","'EU (excluding UK)' ","'Direct Clearing' ",385
2007 ,"'England' ","'EU (excluding UK)' ","'RPA' ",1155
2007 ,"'England' ","'Not EU' ","'Firm choice' ",14785
2007 ,"'England' ","'Not EU' ","'Insurance choice' ",1850
2007 ,"'England' ","'Not EU' ","'Other main scheme choice' ",2810
2007 ,"'England' ","'Not EU' ","'Extra' ",185
2007 ,"'England' ","'Not EU' ","'Main scheme Clearing' ",2000
2007 ,"'England' ","'Not EU' ","'Direct Clearing' ",390
2007 ,"'England' ","'Not EU' ","'RPA' ",3435
2007 ,"'Northern Ireland' ","'UK' ","'Firm choice' ",6855
2007 ,"'Northern Ireland' ","'UK' ","'Insurance choice' ",920
2007 ,"'Northern Ireland' ","'UK' ","'Other main scheme choice' ",160
2007 ,"'Northern Ireland' ","'UK' ","'Extra' ",65
2007 ,"'Northern Ireland' ","'UK' ","'Main scheme Clearing' ",575
2007 ,"'Northern Ireland' ","'UK' ","'Direct Clearing' ",165
2007 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Firm choice' ",375
2007 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Insurance choice' ",50
2007 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2007 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2007 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Direct Clearing' ",20
2007 ,"'Northern Ireland' ","'Not EU' ","'Firm choice' ",35
2007 ,"'Northern Ireland' ","'Not EU' ","'Other main scheme choice' ",10
2007 ,"'Northern Ireland' ","'Not EU' ","'Main scheme Clearing' ",5
2007 ,"'Northern Ireland' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'Northern Ireland' ","'Not EU' ","'RPA' ",5
2007 ,"'Scotland' ","'UK' ","'Firm choice' ",23585
2007 ,"'Scotland' ","'UK' ","'Insurance choice' ",1660
2007 ,"'Scotland' ","'UK' ","'Other main scheme choice' ",995
2007 ,"'Scotland' ","'UK' ","'Extra' ",170
2007 ,"'Scotland' ","'UK' ","'Main scheme Clearing' ",1715
2007 ,"'Scotland' ","'UK' ","'Direct Clearing' ",460
2007 ,"'Scotland' ","'UK' ","'RPA' ",1815
2007 ,"'Scotland' ","'EU (excluding UK)' ","'Firm choice' ",2525
2007 ,"'Scotland' ","'EU (excluding UK)' ","'Insurance choice' ",140
2007 ,"'Scotland' ","'EU (excluding UK)' ","'Other main scheme choice' ",360
2007 ,"'Scotland' ","'EU (excluding UK)' ","'Extra' ",15
2007 ,"'Scotland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",150
2007 ,"'Scotland' ","'EU (excluding UK)' ","'Direct Clearing' ",75
2007 ,"'Scotland' ","'EU (excluding UK)' ","'RPA' ",115
2007 ,"'Scotland' ","'Not EU' ","'Firm choice' ",1235
2007 ,"'Scotland' ","'Not EU' ","'Insurance choice' ",105
2007 ,"'Scotland' ","'Not EU' ","'Other main scheme choice' ",265
2007 ,"'Scotland' ","'Not EU' ","'Extra' ",40
2007 ,"'Scotland' ","'Not EU' ","'Main scheme Clearing' ",135
2007 ,"'Scotland' ","'Not EU' ","'Direct Clearing' ",35
2007 ,"'Scotland' ","'Not EU' ","'RPA' ",880
2007 ,"'Wales' ","'UK' ","'Firm choice' ",15970
2007 ,"'Wales' ","'UK' ","'Insurance choice' ",1010
2007 ,"'Wales' ","'UK' ","'Other main scheme choice' ",565
2007 ,"'Wales' ","'UK' ","'Extra' ",180
2007 ,"'Wales' ","'UK' ","'Main scheme Clearing' ",1165
2007 ,"'Wales' ","'UK' ","'Direct Clearing' ",535
2007 ,"'Wales' ","'UK' ","'RPA' ",1090
2007 ,"'Wales' ","'EU (excluding UK)' ","'Firm choice' ",510
2007 ,"'Wales' ","'EU (excluding UK)' ","'Insurance choice' ",30
2007 ,"'Wales' ","'EU (excluding UK)' ","'Other main scheme choice' ",85
2007 ,"'Wales' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Wales' ","'EU (excluding UK)' ","'Main scheme Clearing' ",35
2007 ,"'Wales' ","'EU (excluding UK)' ","'Direct Clearing' ",35
2007 ,"'Wales' ","'EU (excluding UK)' ","'RPA' ",75
2007 ,"'Wales' ","'Not EU' ","'Firm choice' ",600
2007 ,"'Wales' ","'Not EU' ","'Insurance choice' ",70
2007 ,"'Wales' ","'Not EU' ","'Other main scheme choice' ",135
2007 ,"'Wales' ","'Not EU' ","'Extra' ",5
2007 ,"'Wales' ","'Not EU' ","'Main scheme Clearing' ",80
2007 ,"'Wales' ","'Not EU' ","'Direct Clearing' ",15
2007 ,"'Wales' ","'Not EU' ","'RPA' ",290
2008 ,"'England' ","'UK' ","'Firm choice' ",249130
2008 ,"'England' ","'UK' ","'Insurance choice' ",19745
2008 ,"'England' ","'UK' ","'Other main scheme choice' ",11665
2008 ,"'England' ","'UK' ","'Extra' ",4295
2008 ,"'England' ","'UK' ","'Main scheme Clearing' ",25890
2008 ,"'England' ","'UK' ","'Direct Clearing' ",8290
2008 ,"'England' ","'UK' ","'RPA' ",20800
2008 ,"'England' ","'EU (excluding UK)' ","'Firm choice' ",11495
2008 ,"'England' ","'EU (excluding UK)' ","'Insurance choice' ",1030
2008 ,"'England' ","'EU (excluding UK)' ","'Other main scheme choice' ",1100
