"Statistic:   Number of Applications"
"Variables:   Provider Country , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_006_03.pdf"
 
Cycle Year,Provider Country , Applicant Domicile (High Level),Number of Applications,
2006 ,"'England' ","'England' ",1485705
2006 ,"'England' ","'Northern Ireland' ",22825
2006 ,"'England' ","'Scotland' ",12875
2006 ,"'England' ","'Wales' ",41810
2006 ,"'Northern Ireland' ","'England' ",1225
2006 ,"'Northern Ireland' ","'Northern Ireland' ",52640
2006 ,"'Northern Ireland' ","'Scotland' ",155
2006 ,"'Northern Ireland' ","'Wales' ",55
2006 ,"'Scotland' ","'England' ",39115
2006 ,"'Scotland' ","'Northern Ireland' ",11355
2006 ,"'Scotland' ","'Scotland' ",128215
2006 ,"'Scotland' ","'Wales' ",1215
2006 ,"'Wales' ","'England' ",52085
2006 ,"'Wales' ","'Northern Ireland' ",1255
2006 ,"'Wales' ","'Scotland' ",485
2006 ,"'Wales' ","'Wales' ",42480
2007 ,"'England' ","'England' ",1595535
2007 ,"'England' ","'Northern Ireland' ",25920
2007 ,"'England' ","'Scotland' ",12935
2007 ,"'England' ","'Wales' ",41220
2007 ,"'Northern Ireland' ","'England' ",1330
2007 ,"'Northern Ireland' ","'Northern Ireland' ",50325
2007 ,"'Northern Ireland' ","'Scotland' ",185
2007 ,"'Northern Ireland' ","'Wales' ",85
2007 ,"'Scotland' ","'England' ",39535
2007 ,"'Scotland' ","'Northern Ireland' ",10430
2007 ,"'Scotland' ","'Scotland' ",129380
2007 ,"'Scotland' ","'Wales' ",1185
2007 ,"'Wales' ","'England' ",51070
2007 ,"'Wales' ","'Northern Ireland' ",1145
2007 ,"'Wales' ","'Scotland' ",425
2007 ,"'Wales' ","'Wales' ",44010
2008 ,"'England' ","'England' ",1512740
2008 ,"'England' ","'Northern Ireland' ",21775
2008 ,"'England' ","'Scotland' ",11065
2008 ,"'England' ","'Wales' ",35735
2008 ,"'Northern Ireland' ","'England' ",1620
2008 ,"'Northern Ireland' ","'Northern Ireland' ",42385
2008 ,"'Northern Ireland' ","'Scotland' ",175
2008 ,"'Northern Ireland' ","'Wales' ",70
2008 ,"'Scotland' ","'England' ",37295
2008 ,"'Scotland' ","'Northern Ireland' ",8955
2008 ,"'Scotland' ","'Scotland' ",117975
2008 ,"'Scotland' ","'Wales' ",1150
2008 ,"'Wales' ","'England' ",41800
2008 ,"'Wales' ","'Northern Ireland' ",935
2008 ,"'Wales' ","'Scotland' ",365
2008 ,"'Wales' ","'Wales' ",42325
2009 ,"'England' ","'England' ",1649290
2009 ,"'England' ","'Northern Ireland' ",22575
2009 ,"'England' ","'Scotland' ",11385
2009 ,"'England' ","'Wales' ",37930
2009 ,"'Northern Ireland' ","'England' ",1835
2009 ,"'Northern Ireland' ","'Northern Ireland' ",44650
2009 ,"'Northern Ireland' ","'Scotland' ",200
2009 ,"'Northern Ireland' ","'Wales' ",90
2009 ,"'Scotland' ","'England' ",38840
2009 ,"'Scotland' ","'Northern Ireland' ",8815
2009 ,"'Scotland' ","'Scotland' ",124220
2009 ,"'Scotland' ","'Wales' ",1145
2009 ,"'Wales' ","'England' ",44545
2009 ,"'Wales' ","'Northern Ireland' ",970
2009 ,"'Wales' ","'Scotland' ",355
2009 ,"'Wales' ","'Wales' ",46855
2010 ,"'England' ","'England' ",1874505
2010 ,"'England' ","'Northern Ireland' ",25185
2010 ,"'England' ","'Scotland' ",12090
2010 ,"'England' ","'Wales' ",44865
2010 ,"'Northern Ireland' ","'England' ",1610
2010 ,"'Northern Ireland' ","'Northern Ireland' ",49030
2010 ,"'Northern Ireland' ","'Scotland' ",205
2010 ,"'Northern Ireland' ","'Wales' ",75
2010 ,"'Scotland' ","'England' ",39750
2010 ,"'Scotland' ","'Northern Ireland' ",10260
2010 ,"'Scotland' ","'Scotland' ",150435
2010 ,"'Scotland' ","'Wales' ",1165
2010 ,"'Wales' ","'England' ",49805
2010 ,"'Wales' ","'Northern Ireland' ",1175
2010 ,"'Wales' ","'Scotland' ",400
2010 ,"'Wales' ","'Wales' ",46065
2011 ,"'England' ","'England' ",1956715
2011 ,"'England' ","'Northern Ireland' ",29200
2011 ,"'England' ","'Scotland' ",11830
2011 ,"'England' ","'Wales' ",47610
2011 ,"'Northern Ireland' ","'England' ",1935
2011 ,"'Northern Ireland' ","'Northern Ireland' ",49965
2011 ,"'Northern Ireland' ","'Scotland' ",215
2011 ,"'Northern Ireland' ","'Wales' ",80
2011 ,"'Scotland' ","'England' ",33420
2011 ,"'Scotland' ","'Northern Ireland' ",10380
2011 ,"'Scotland' ","'Scotland' ",159385
2011 ,"'Scotland' ","'Wales' ",1030
2011 ,"'Wales' ","'England' ",51095
