"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_006_07.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'England' ","'Firm choice' ",204910
2006 ,"'England' ","'England' ","'Insurance choice' ",14740
2006 ,"'England' ","'England' ","'Other main scheme choice' ",9680
2006 ,"'England' ","'England' ","'Extra' ",2450
2006 ,"'England' ","'England' ","'Main scheme Clearing' ",21180
2006 ,"'England' ","'England' ","'Direct Clearing' ",6905
2006 ,"'England' ","'England' ","'RPA' ",16265
2006 ,"'England' ","'Northern Ireland' ","'Firm choice' ",2280
2006 ,"'England' ","'Northern Ireland' ","'Insurance choice' ",280
2006 ,"'England' ","'Northern Ireland' ","'Other main scheme choice' ",75
2006 ,"'England' ","'Northern Ireland' ","'Extra' ",40
2006 ,"'England' ","'Northern Ireland' ","'Main scheme Clearing' ",240
2006 ,"'England' ","'Northern Ireland' ","'Direct Clearing' ",40
2006 ,"'England' ","'Northern Ireland' ","'RPA' ",45
2006 ,"'England' ","'Scotland' ","'Firm choice' ",1375
2006 ,"'England' ","'Scotland' ","'Insurance choice' ",65
2006 ,"'England' ","'Scotland' ","'Other main scheme choice' ",75
2006 ,"'England' ","'Scotland' ","'Extra' ",20
2006 ,"'England' ","'Scotland' ","'Main scheme Clearing' ",100
2006 ,"'England' ","'Scotland' ","'Direct Clearing' ",40
2006 ,"'England' ","'Scotland' ","'RPA' ",65
2006 ,"'England' ","'Wales' ","'Firm choice' ",4430
2006 ,"'England' ","'Wales' ","'Insurance choice' ",280
2006 ,"'England' ","'Wales' ","'Other main scheme choice' ",110
2006 ,"'England' ","'Wales' ","'Extra' ",65
2006 ,"'England' ","'Wales' ","'Main scheme Clearing' ",340
2006 ,"'England' ","'Wales' ","'Direct Clearing' ",85
2006 ,"'England' ","'Wales' ","'RPA' ",125
2006 ,"'Northern Ireland' ","'England' ","'Firm choice' ",70
2006 ,"'Northern Ireland' ","'England' ","'Insurance choice' ",10
2006 ,"'Northern Ireland' ","'England' ","'Main scheme Clearing' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'Firm choice' ",6120
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'Insurance choice' ",995
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'Other main scheme choice' ",110
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'Extra' ",45
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'Main scheme Clearing' ",625
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'Direct Clearing' ",100
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'RPA' ",55
2006 ,"'Northern Ireland' ","'Scotland' ","'Firm choice' ",10
2006 ,"'Northern Ireland' ","'Wales' ","'Firm choice' ",5
2006 ,"'Scotland' ","'England' ","'Firm choice' ",2875
2006 ,"'Scotland' ","'England' ","'Insurance choice' ",330
2006 ,"'Scotland' ","'England' ","'Other main scheme choice' ",50
2006 ,"'Scotland' ","'England' ","'Extra' ",20
2006 ,"'Scotland' ","'England' ","'Main scheme Clearing' ",190
2006 ,"'Scotland' ","'England' ","'Direct Clearing' ",20
2006 ,"'Scotland' ","'England' ","'RPA' ",80
2006 ,"'Scotland' ","'Northern Ireland' ","'Firm choice' ",900
2006 ,"'Scotland' ","'Northern Ireland' ","'Insurance choice' ",160
2006 ,"'Scotland' ","'Northern Ireland' ","'Other main scheme choice' ",20
2006 ,"'Scotland' ","'Northern Ireland' ","'Extra' ",10
2006 ,"'Scotland' ","'Northern Ireland' ","'Main scheme Clearing' ",115
2006 ,"'Scotland' ","'Northern Ireland' ","'Direct Clearing' ",5
