"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Age Band , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_007_01.pdf"
 
Cycle Year,Provider Country 2016 , Age Band,Number of Acceptances,
2006 ,"'England' ","'17 and under' ",3460
2006 ,"'England' ","'18' ",169070
2006 ,"'England' ","'19' ",58775
2006 ,"'England' ","'20' ",24585
2006 ,"'England' ","'21 and over' ",69365
2006 ,"'Northern Ireland' ","'17 and under' ",85
2006 ,"'Northern Ireland' ","'18' ",5925
2006 ,"'Northern Ireland' ","'19' ",970
2006 ,"'Northern Ireland' ","'20' ",415
2006 ,"'Northern Ireland' ","'21 and over' ",1175
2006 ,"'Scotland' ","'17 and under' ",1035
2006 ,"'Scotland' ","'18' ",17975
2006 ,"'Scotland' ","'19' ",4390
2006 ,"'Scotland' ","'20' ",2850
2006 ,"'Scotland' ","'21 and over' ",9065
2006 ,"'Wales' ","'17 and under' ",110
2006 ,"'Wales' ","'18' ",12455
2006 ,"'Wales' ","'19' ",3310
2006 ,"'Wales' ","'20' ",1355
2006 ,"'Wales' ","'21 and over' ",4515
2007 ,"'England' ","'17 and under' ",3695
2007 ,"'England' ","'18' ",171200
2007 ,"'England' ","'19' ",70730
2007 ,"'England' ","'20' ",26640
2007 ,"'England' ","'21 and over' ",72910
2007 ,"'Northern Ireland' ","'17 and under' ",130
2007 ,"'Northern Ireland' ","'18' ",6155
2007 ,"'Northern Ireland' ","'19' ",1215
2007 ,"'Northern Ireland' ","'20' ",455
2007 ,"'Northern Ireland' ","'21 and over' ",1330
2007 ,"'Scotland' ","'17 and under' ",1125
2007 ,"'Scotland' ","'18' ",17470
2007 ,"'Scotland' ","'19' ",5070
2007 ,"'Scotland' ","'20' ",3150
2007 ,"'Scotland' ","'21 and over' ",9660
2007 ,"'Wales' ","'17 and under' ",155
2007 ,"'Wales' ","'18' ",12220
2007 ,"'Wales' ","'19' ",4080
2007 ,"'Wales' ","'20' ",1475
2007 ,"'Wales' ","'21 and over' ",4555
