"Statistic:   Number of Applications"
"Variables:   Provider Country 2016 , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_007_03.pdf"
 
Cycle Year,Provider Country 2016 , Age Band,Number of Applications,
2006 ,"'England' ","'17 and under' ",27105
2006 ,"'England' ","'18' ",1068930
2006 ,"'England' ","'19' ",321275
2006 ,"'England' ","'20' ",122590
2006 ,"'England' ","'21 and over' ",295700
2006 ,"'Northern Ireland' ","'17 and under' ",1245
2006 ,"'Northern Ireland' ","'18' ",41600
2006 ,"'Northern Ireland' ","'19' ",6265
2006 ,"'Northern Ireland' ","'20' ",2760
2006 ,"'Northern Ireland' ","'21 and over' ",7960
2006 ,"'Scotland' ","'17 and under' ",7110
2006 ,"'Scotland' ","'18' ",129660
2006 ,"'Scotland' ","'19' ",27465
2006 ,"'Scotland' ","'20' ",13045
2006 ,"'Scotland' ","'21 and over' ",35035
2006 ,"'Wales' ","'17 and under' ",1110
2006 ,"'Wales' ","'18' ",68950
2006 ,"'Wales' ","'19' ",15695
2006 ,"'Wales' ","'20' ",5820
2006 ,"'Wales' ","'21 and over' ",16105
2007 ,"'England' ","'17 and under' ",30035
2007 ,"'England' ","'18' ",1103345
2007 ,"'England' ","'19' ",394085
2007 ,"'England' ","'20' ",135570
2007 ,"'England' ","'21 and over' ",310150
2007 ,"'Northern Ireland' ","'17 and under' ",1115
2007 ,"'Northern Ireland' ","'18' ",38455
2007 ,"'Northern Ireland' ","'19' ",7145
2007 ,"'Northern Ireland' ","'20' ",2525
2007 ,"'Northern Ireland' ","'21 and over' ",8075
2007 ,"'Scotland' ","'17 and under' ",7115
2007 ,"'Scotland' ","'18' ",125645
2007 ,"'Scotland' ","'19' ",30950
2007 ,"'Scotland' ","'20' ",14715
2007 ,"'Scotland' ","'21 and over' ",37785
2007 ,"'Wales' ","'17 and under' ",1145
2007 ,"'Wales' ","'18' ",66395
2007 ,"'Wales' ","'19' ",18800
2007 ,"'Wales' ","'20' ",6100
2007 ,"'Wales' ","'21 and over' ",15930
2008 ,"'England' ","'17 and under' ",25820
2008 ,"'England' ","'18' ",990980
2008 ,"'England' ","'19' ",373235
2008 ,"'England' ","'20' ",141140
2008 ,"'England' ","'21 and over' ",321390
2008 ,"'Northern Ireland' ","'17 and under' ",615
2008 ,"'Northern Ireland' ","'18' ",31815
2008 ,"'Northern Ireland' ","'19' ",5995
2008 ,"'Northern Ireland' ","'20' ",2600
2008 ,"'Northern Ireland' ","'21 and over' ",7015
2008 ,"'Scotland' ","'17 and under' ",6255
2008 ,"'Scotland' ","'18' ",115280
2008 ,"'Scotland' ","'19' ",28825
2008 ,"'Scotland' ","'20' ",13790
2008 ,"'Scotland' ","'21 and over' ",35560
2008 ,"'Wales' ","'17 and under' ",940
2008 ,"'Wales' ","'18' ",56570
2008 ,"'Wales' ","'19' ",17210
2008 ,"'Wales' ","'20' ",6005
2008 ,"'Wales' ","'21 and over' ",14600
2009 ,"'England' ","'17 and under' ",28085
2009 ,"'England' ","'18' ",1051410
2009 ,"'England' ","'19' ",411470
2009 ,"'England' ","'20' ",154300
2009 ,"'England' ","'21 and over' ",376235
2009 ,"'Northern Ireland' ","'17 and under' ",635
2009 ,"'Northern Ireland' ","'18' ",34530
2009 ,"'Northern Ireland' ","'19' ",5810
2009 ,"'Northern Ireland' ","'20' ",2675
