"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_007_07.pdf"
 
Cycle Year,Provider Country 2016 , Age Band , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'17 and under' ","'Firm choice' ",2435
2006 ,"'England' ","'17 and under' ","'Insurance choice' ",255
2006 ,"'England' ","'17 and under' ","'Other main scheme choice' ",225
2006 ,"'England' ","'17 and under' ","'Extra' ",35
2006 ,"'England' ","'17 and under' ","'Main scheme Clearing' ",245
2006 ,"'England' ","'17 and under' ","'Direct Clearing' ",75
2006 ,"'England' ","'17 and under' ","'RPA' ",190
2006 ,"'England' ","'18' ","'Firm choice' ",136475
2006 ,"'England' ","'18' ","'Insurance choice' ",12960
2006 ,"'England' ","'18' ","'Other main scheme choice' ",1670
2006 ,"'England' ","'18' ","'Extra' ",1560
2006 ,"'England' ","'18' ","'Main scheme Clearing' ",13205
2006 ,"'England' ","'18' ","'Direct Clearing' ",1010
2006 ,"'England' ","'18' ","'RPA' ",2190
2006 ,"'England' ","'19' ","'Firm choice' ",43380
2006 ,"'England' ","'19' ","'Insurance choice' ",2930
2006 ,"'England' ","'19' ","'Other main scheme choice' ",2445
2006 ,"'England' ","'19' ","'Extra' ",630
2006 ,"'England' ","'19' ","'Main scheme Clearing' ",5040
2006 ,"'England' ","'19' ","'Direct Clearing' ",1465
2006 ,"'England' ","'19' ","'RPA' ",2885
2006 ,"'England' ","'20' ","'Firm choice' ",15955
2006 ,"'England' ","'20' ","'Insurance choice' ",765
2006 ,"'England' ","'20' ","'Other main scheme choice' ",1870
2006 ,"'England' ","'20' ","'Extra' ",265
2006 ,"'England' ","'20' ","'Main scheme Clearing' ",1990
2006 ,"'England' ","'20' ","'Direct Clearing' ",1200
2006 ,"'England' ","'20' ","'RPA' ",2540
2006 ,"'England' ","'21 and over' ","'Firm choice' ",39100
2006 ,"'England' ","'21 and over' ","'Insurance choice' ",800
2006 ,"'England' ","'21 and over' ","'Other main scheme choice' ",8055
2006 ,"'England' ","'21 and over' ","'Extra' ",385
2006 ,"'England' ","'21 and over' ","'Main scheme Clearing' ",4265
2006 ,"'England' ","'21 and over' ","'Direct Clearing' ",4260
2006 ,"'England' ","'21 and over' ","'RPA' ",12500
2006 ,"'Northern Ireland' ","'17 and under' ","'Firm choice' ",65
2006 ,"'Northern Ireland' ","'17 and under' ","'Insurance choice' ",15
2006 ,"'Northern Ireland' ","'17 and under' ","'Main scheme Clearing' ",5
2006 ,"'Northern Ireland' ","'18' ","'Firm choice' ",4540
2006 ,"'Northern Ireland' ","'18' ","'Insurance choice' ",885
2006 ,"'Northern Ireland' ","'18' ","'Other main scheme choice' ",20
2006 ,"'Northern Ireland' ","'18' ","'Extra' ",25
2006 ,"'Northern Ireland' ","'18' ","'Main scheme Clearing' ",435
2006 ,"'Northern Ireland' ","'18' ","'Direct Clearing' ",10
2006 ,"'Northern Ireland' ","'18' ","'RPA' ",10
