"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_008_07.pdf"
 
Cycle Year,Provider Country 2016 , Sex , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'Men' ","'Firm choice' ",106120
2006 ,"'England' ","'Men' ","'Insurance choice' ",9005
2006 ,"'England' ","'Men' ","'Other main scheme choice' ",7195
2006 ,"'England' ","'Men' ","'Extra' ",1105
2006 ,"'England' ","'Men' ","'Main scheme Clearing' ",11550
2006 ,"'England' ","'Men' ","'Direct Clearing' ",4375
2006 ,"'England' ","'Men' ","'RPA' ",11090
2006 ,"'England' ","'Women' ","'Firm choice' ",131220
2006 ,"'England' ","'Women' ","'Insurance choice' ",8705
2006 ,"'England' ","'Women' ","'Other main scheme choice' ",7070
2006 ,"'England' ","'Women' ","'Extra' ",1765
2006 ,"'England' ","'Women' ","'Main scheme Clearing' ",13195
2006 ,"'England' ","'Women' ","'Direct Clearing' ",3635
2006 ,"'England' ","'Women' ","'RPA' ",9220
2006 ,"'Northern Ireland' ","'Men' ","'Firm choice' ",2770
2006 ,"'Northern Ireland' ","'Men' ","'Insurance choice' ",505
2006 ,"'Northern Ireland' ","'Men' ","'Other main scheme choice' ",65
2006 ,"'Northern Ireland' ","'Men' ","'Extra' ",15
2006 ,"'Northern Ireland' ","'Men' ","'Main scheme Clearing' ",280
2006 ,"'Northern Ireland' ","'Men' ","'Direct Clearing' ",70
2006 ,"'Northern Ireland' ","'Men' ","'RPA' ",35
2006 ,"'Northern Ireland' ","'Women' ","'Firm choice' ",3735
2006 ,"'Northern Ireland' ","'Women' ","'Insurance choice' ",545
2006 ,"'Northern Ireland' ","'Women' ","'Other main scheme choice' ",60
2006 ,"'Northern Ireland' ","'Women' ","'Extra' ",30
2006 ,"'Northern Ireland' ","'Women' ","'Main scheme Clearing' ",385
2006 ,"'Northern Ireland' ","'Women' ","'Direct Clearing' ",45
2006 ,"'Northern Ireland' ","'Women' ","'RPA' ",30
2006 ,"'Scotland' ","'Men' ","'Firm choice' ",11790
2006 ,"'Scotland' ","'Men' ","'Insurance choice' ",1020
2006 ,"'Scotland' ","'Men' ","'Other main scheme choice' ",965
2006 ,"'Scotland' ","'Men' ","'Extra' ",75
2006 ,"'Scotland' ","'Men' ","'Main scheme Clearing' ",940
2006 ,"'Scotland' ","'Men' ","'Direct Clearing' ",285
