"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_01.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex,Number of Acceptances,
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ",510
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ",530
2006 ,"'England' ","'England' ","'18' ","'Men' ",69075
2006 ,"'England' ","'England' ","'18' ","'Women' ",84200
2006 ,"'England' ","'England' ","'19' ","'Men' ",22795
2006 ,"'England' ","'England' ","'19' ","'Women' ",25320
2006 ,"'England' ","'England' ","'20' ","'Men' ",9425
2006 ,"'England' ","'England' ","'20' ","'Women' ",8955
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ",23775
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ",31545
2006 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Men' ",5
2006 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Women' ",10
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ",825
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ",1120
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ",210
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ",255
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ",110
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ",95
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ",210
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ",160
2006 ,"'England' ","'Scotland' ","'17 and under' ","'Men' ",10
2006 ,"'England' ","'Scotland' ","'17 and under' ","'Women' ",15
2006 ,"'England' ","'Scotland' ","'18' ","'Men' ",330
2006 ,"'England' ","'Scotland' ","'18' ","'Women' ",360
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ",175
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ",200
2006 ,"'England' ","'Scotland' ","'20' ","'Men' ",70
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ",105
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ",230
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ",245
2006 ,"'England' ","'Wales' ","'17 and under' ","'Men' ",15
2006 ,"'England' ","'Wales' ","'17 and under' ","'Women' ",20
2006 ,"'England' ","'Wales' ","'18' ","'Men' ",1550
2006 ,"'England' ","'Wales' ","'18' ","'Women' ",1990
2006 ,"'England' ","'Wales' ","'19' ","'Men' ",400
2006 ,"'England' ","'Wales' ","'19' ","'Women' ",555
2006 ,"'England' ","'Wales' ","'20' ","'Men' ",155
2006 ,"'England' ","'Wales' ","'20' ","'Women' ",165
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ",280
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ",305
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Men' ",25
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ",45
2006 ,"'Northern Ireland' ","'England' ","'19' ","'Men' ",5
2006 ,"'Northern Ireland' ","'England' ","'19' ","'Women' ",5
2006 ,"'Northern Ireland' ","'England' ","'20' ","'Women' ",5
2006 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Women' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Men' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Women' ",20
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ",2530
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ",3165
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ",390
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ",495
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ",175
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ",190
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ",410
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ",665
2006 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Women' ",5
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Men' ",15
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Women' ",10
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ",1095
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ",1380
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ",275
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ",285
2006 ,"'Scotland' ","'England' ","'20' ","'Men' ",70
2006 ,"'Scotland' ","'England' ","'20' ","'Women' ",65
2006 ,"'Scotland' ","'England' ","'21 and over' ","'Men' ",180
2006 ,"'Scotland' ","'England' ","'21 and over' ","'Women' ",185
2006 ,"'Scotland' ","'Northern Ireland' ","'17 and under' ","'Men' ",5
2006 ,"'Scotland' ","'Northern Ireland' ","'17 and under' ","'Women' ",5
2006 ,"'Scotland' ","'Northern Ireland' ","'18' ","'Men' ",405
2006 ,"'Scotland' ","'Northern Ireland' ","'18' ","'Women' ",555
2006 ,"'Scotland' ","'Northern Ireland' ","'19' ","'Men' ",55
2006 ,"'Scotland' ","'Northern Ireland' ","'19' ","'Women' ",60
2006 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Men' ",40
2006 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Women' ",10
2006 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Men' ",55
2006 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Women' ",40
2006 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Men' ",320
2006 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Women' ",460
2006 ,"'Scotland' ","'Scotland' ","'18' ","'Men' ",6135
2006 ,"'Scotland' ","'Scotland' ","'18' ","'Women' ",7275
2006 ,"'Scotland' ","'Scotland' ","'19' ","'Men' ",1300
2006 ,"'Scotland' ","'Scotland' ","'19' ","'Women' ",1500
2006 ,"'Scotland' ","'Scotland' ","'20' ","'Men' ",865
2006 ,"'Scotland' ","'Scotland' ","'20' ","'Women' ",935
2006 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Men' ",2780
2006 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Women' ",3415
2006 ,"'Scotland' ","'Wales' ","'17 and under' ","'Women' ",5
2006 ,"'Scotland' ","'Wales' ","'18' ","'Men' ",25
2006 ,"'Scotland' ","'Wales' ","'18' ","'Women' ",35
2006 ,"'Scotland' ","'Wales' ","'19' ","'Men' ",5
2006 ,"'Scotland' ","'Wales' ","'19' ","'Women' ",5
2006 ,"'Scotland' ","'Wales' ","'20' ","'Women' ",5
2006 ,"'Scotland' ","'Wales' ","'21 and over' ","'Men' ",10
2006 ,"'Scotland' ","'Wales' ","'21 and over' ","'Women' ",5
2006 ,"'Wales' ","'England' ","'17 and under' ","'Men' ",10
2006 ,"'Wales' ","'England' ","'17 and under' ","'Women' ",20
2006 ,"'Wales' ","'England' ","'18' ","'Men' ",2635
2006 ,"'Wales' ","'England' ","'18' ","'Women' ",3040
2006 ,"'Wales' ","'England' ","'19' ","'Men' ",650
2006 ,"'Wales' ","'England' ","'19' ","'Women' ",620
2006 ,"'Wales' ","'England' ","'20' ","'Men' ",235
2006 ,"'Wales' ","'England' ","'20' ","'Women' ",180
2006 ,"'Wales' ","'England' ","'21 and over' ","'Men' ",490
2006 ,"'Wales' ","'England' ","'21 and over' ","'Women' ",370
2006 ,"'Wales' ","'Northern Ireland' ","'18' ","'Men' ",20
2006 ,"'Wales' ","'Northern Ireland' ","'18' ","'Women' ",45
2006 ,"'Wales' ","'Northern Ireland' ","'19' ","'Men' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'19' ","'Women' ",10
2006 ,"'Wales' ","'Northern Ireland' ","'20' ","'Men' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Men' ",10
2006 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Women' ",10
2006 ,"'Wales' ","'Scotland' ","'18' ","'Men' ",10
2006 ,"'Wales' ","'Scotland' ","'18' ","'Women' ",15
2006 ,"'Wales' ","'Scotland' ","'19' ","'Men' ",5
2006 ,"'Wales' ","'Scotland' ","'21 and over' ","'Men' ",10
2006 ,"'Wales' ","'Scotland' ","'21 and over' ","'Women' ",10
2006 ,"'Wales' ","'Wales' ","'17 and under' ","'Men' ",10
2006 ,"'Wales' ","'Wales' ","'17 and under' ","'Women' ",10
