"Statistic:   Number of Applications"
"Variables:   Provider Country , Applicant Domicile (High Level) , Age Band , Sex , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_03.pdf"
 
Cycle Year,Provider Country , Applicant Domicile (High Level) , Age Band , Sex,Number of Applications,
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ",2995
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ",3260
2006 ,"'England' ","'England' ","'18' ","'Men' ",420970
2006 ,"'England' ","'England' ","'18' ","'Women' ",519470
2006 ,"'England' ","'England' ","'19' ","'Men' ",117240
2006 ,"'England' ","'England' ","'19' ","'Women' ",127790
2006 ,"'England' ","'England' ","'20' ","'Men' ",41350
2006 ,"'England' ","'England' ","'20' ","'Women' ",41520
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ",87480
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ",123630
2006 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Men' ",50
2006 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Women' ",80
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ",6510
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ",9455
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ",1315
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ",1600
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ",670
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ",650
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ",1300
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ",1190
2006 ,"'England' ","'Scotland' ","'17 and under' ","'Men' ",95
2006 ,"'England' ","'Scotland' ","'17 and under' ","'Women' ",170
2006 ,"'England' ","'Scotland' ","'18' ","'Men' ",2715
2006 ,"'England' ","'Scotland' ","'18' ","'Women' ",3205
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ",1110
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ",1250
2006 ,"'England' ","'Scotland' ","'20' ","'Men' ",410
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ",685
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ",1425
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ",1815
2006 ,"'England' ","'Wales' ","'17 and under' ","'Men' ",85
2006 ,"'England' ","'Wales' ","'17 and under' ","'Women' ",145
2006 ,"'England' ","'Wales' ","'18' ","'Men' ",12880
2006 ,"'England' ","'Wales' ","'18' ","'Women' ",16910
2006 ,"'England' ","'Wales' ","'19' ","'Men' ",2550
2006 ,"'England' ","'Wales' ","'19' ","'Women' ",3450
2006 ,"'England' ","'Wales' ","'20' ","'Men' ",840
2006 ,"'England' ","'Wales' ","'20' ","'Women' ",940
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ",1805
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ",2210
2006 ,"'Northern Ireland' ","'England' ","'17 and under' ","'Women' ",5
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Men' ",300
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ",500
2006 ,"'Northern Ireland' ","'England' ","'19' ","'Men' ",75
2006 ,"'Northern Ireland' ","'England' ","'19' ","'Women' ",95
2006 ,"'Northern Ireland' ","'England' ","'20' ","'Men' ",20
2006 ,"'Northern Ireland' ","'England' ","'20' ","'Women' ",35
2006 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Men' ",70
2006 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Women' ",120
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Men' ",85
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Women' ",115
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ",16565
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ",21750
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ",2245
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ",3005
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ",1040
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ",1175
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ",2220
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ",4445
2006 ,"'Northern Ireland' ","'Scotland' ","'17 and under' ","'Women' ",5
2006 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Men' ",20
2006 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Women' ",55
2006 ,"'Northern Ireland' ","'Scotland' ","'19' ","'Men' ",5
2006 ,"'Northern Ireland' ","'Scotland' ","'19' ","'Women' ",15
2006 ,"'Northern Ireland' ","'Scotland' ","'20' ","'Women' ",5
2006 ,"'Northern Ireland' ","'Scotland' ","'21 and over' ","'Men' ",20
2006 ,"'Northern Ireland' ","'Scotland' ","'21 and over' ","'Women' ",20
2006 ,"'Northern Ireland' ","'Wales' ","'18' ","'Men' ",5
2006 ,"'Northern Ireland' ","'Wales' ","'18' ","'Women' ",30
2006 ,"'Northern Ireland' ","'Wales' ","'19' ","'Women' ",5
2006 ,"'Northern Ireland' ","'Wales' ","'20' ","'Women' ",5
2006 ,"'Northern Ireland' ","'Wales' ","'21 and over' ","'Men' ",5
2006 ,"'Northern Ireland' ","'Wales' ","'21 and over' ","'Women' ",5
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Men' ",195
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Women' ",215
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ",12925
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ",15995
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ",2630
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ",2895
2006 ,"'Scotland' ","'England' ","'20' ","'Men' ",610
2006 ,"'Scotland' ","'England' ","'20' ","'Women' ",610
2006 ,"'Scotland' ","'England' ","'21 and over' ","'Men' ",1465
2006 ,"'Scotland' ","'England' ","'21 and over' ","'Women' ",1575
2006 ,"'Scotland' ","'Northern Ireland' ","'17 and under' ","'Men' ",30
2006 ,"'Scotland' ","'Northern Ireland' ","'17 and under' ","'Women' ",40
2006 ,"'Scotland' ","'Northern Ireland' ","'18' ","'Men' ",3760
2006 ,"'Scotland' ","'Northern Ireland' ","'18' ","'Women' ",5495
2006 ,"'Scotland' ","'Northern Ireland' ","'19' ","'Men' ",440
2006 ,"'Scotland' ","'Northern Ireland' ","'19' ","'Women' ",585
2006 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Men' ",225
2006 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Women' ",140
2006 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Men' ",360
2006 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Women' ",290
2006 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Men' ",1725
2006 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Women' ",2705
2006 ,"'Scotland' ","'Scotland' ","'18' ","'Men' ",36110
2006 ,"'Scotland' ","'Scotland' ","'18' ","'Women' ",45345
2006 ,"'Scotland' ","'Scotland' ","'19' ","'Men' ",6105
2006 ,"'Scotland' ","'Scotland' ","'19' ","'Women' ",7575
2006 ,"'Scotland' ","'Scotland' ","'20' ","'Men' ",3205
2006 ,"'Scotland' ","'Scotland' ","'20' ","'Women' ",4135
2006 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Men' ",9165
2006 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Women' ",12145
2006 ,"'Scotland' ","'Wales' ","'17 and under' ","'Men' ",10
2006 ,"'Scotland' ","'Wales' ","'17 and under' ","'Women' ",20
2006 ,"'Scotland' ","'Wales' ","'18' ","'Men' ",390
2006 ,"'Scotland' ","'Wales' ","'18' ","'Women' ",495
2006 ,"'Scotland' ","'Wales' ","'19' ","'Men' ",65
2006 ,"'Scotland' ","'Wales' ","'19' ","'Women' ",85
2006 ,"'Scotland' ","'Wales' ","'20' ","'Men' ",10
2006 ,"'Scotland' ","'Wales' ","'20' ","'Women' ",25
2006 ,"'Scotland' ","'Wales' ","'21 and over' ","'Men' ",50
2006 ,"'Scotland' ","'Wales' ","'21 and over' ","'Women' ",65
2006 ,"'Wales' ","'England' ","'17 and under' ","'Men' ",95
2006 ,"'Wales' ","'England' ","'17 and under' ","'Women' ",120
2006 ,"'Wales' ","'England' ","'18' ","'Men' ",16980
2006 ,"'Wales' ","'England' ","'18' ","'Women' ",20660
2006 ,"'Wales' ","'England' ","'19' ","'Men' ",3495
2006 ,"'Wales' ","'England' ","'19' ","'Women' ",3720
2006 ,"'Wales' ","'England' ","'20' ","'Men' ",1130
2006 ,"'Wales' ","'England' ","'20' ","'Women' ",1035
2006 ,"'Wales' ","'England' ","'21 and over' ","'Men' ",2380
2006 ,"'Wales' ","'England' ","'21 and over' ","'Women' ",2475
2006 ,"'Wales' ","'Northern Ireland' ","'17 and under' ","'Men' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'17 and under' ","'Women' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'18' ","'Men' ",350
2006 ,"'Wales' ","'Northern Ireland' ","'18' ","'Women' ",560
2006 ,"'Wales' ","'Northern Ireland' ","'19' ","'Men' ",70
2006 ,"'Wales' ","'Northern Ireland' ","'19' ","'Women' ",90
2006 ,"'Wales' ","'Northern Ireland' ","'20' ","'Men' ",35
2006 ,"'Wales' ","'Northern Ireland' ","'20' ","'Women' ",15
2006 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Men' ",65
2006 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Women' ",70
2006 ,"'Wales' ","'Scotland' ","'17 and under' ","'Men' ",5
