"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_07.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Firm choice' ",375
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Insurance choice' ",40
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Other main scheme choice' ",20
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Main scheme Clearing' ",40
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Direct Clearing' ",5
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'RPA' ",25
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ","'Firm choice' ",415
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ","'Insurance choice' ",35
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",30
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'England' ","'17 and under' ","'Women' ","'RPA' ",30
2006 ,"'England' ","'England' ","'18' ","'Men' ","'Firm choice' ",55505
2006 ,"'England' ","'England' ","'18' ","'Men' ","'Insurance choice' ",5740
2006 ,"'England' ","'England' ","'18' ","'Men' ","'Other main scheme choice' ",585
2006 ,"'England' ","'England' ","'18' ","'Men' ","'Extra' ",500
2006 ,"'England' ","'England' ","'18' ","'Men' ","'Main scheme Clearing' ",5265
2006 ,"'England' ","'England' ","'18' ","'Men' ","'Direct Clearing' ",505
2006 ,"'England' ","'England' ","'18' ","'Men' ","'RPA' ",970
2006 ,"'England' ","'England' ","'18' ","'Women' ","'Firm choice' ",69060
2006 ,"'England' ","'England' ","'18' ","'Women' ","'Insurance choice' ",5770
2006 ,"'England' ","'England' ","'18' ","'Women' ","'Other main scheme choice' ",585
2006 ,"'England' ","'England' ","'18' ","'Women' ","'Extra' ",920
2006 ,"'England' ","'England' ","'18' ","'Women' ","'Main scheme Clearing' ",6720
2006 ,"'England' ","'England' ","'18' ","'Women' ","'Direct Clearing' ",350
2006 ,"'England' ","'England' ","'18' ","'Women' ","'RPA' ",795
2006 ,"'England' ","'England' ","'19' ","'Men' ","'Firm choice' ",16530
2006 ,"'England' ","'England' ","'19' ","'Men' ","'Insurance choice' ",1150
2006 ,"'England' ","'England' ","'19' ","'Men' ","'Other main scheme choice' ",830
2006 ,"'England' ","'England' ","'19' ","'Men' ","'Extra' ",225
2006 ,"'England' ","'England' ","'19' ","'Men' ","'Main scheme Clearing' ",2130
2006 ,"'England' ","'England' ","'19' ","'Men' ","'Direct Clearing' ",670
2006 ,"'England' ","'England' ","'19' ","'Men' ","'RPA' ",1255
2006 ,"'England' ","'England' ","'19' ","'Women' ","'Firm choice' ",19360
2006 ,"'England' ","'England' ","'19' ","'Women' ","'Insurance choice' ",995
2006 ,"'England' ","'England' ","'19' ","'Women' ","'Other main scheme choice' ",875
2006 ,"'England' ","'England' ","'19' ","'Women' ","'Extra' ",300
2006 ,"'England' ","'England' ","'19' ","'Women' ","'Main scheme Clearing' ",2120
2006 ,"'England' ","'England' ","'19' ","'Women' ","'Direct Clearing' ",595
2006 ,"'England' ","'England' ","'19' ","'Women' ","'RPA' ",1075
2006 ,"'England' ","'England' ","'20' ","'Men' ","'Firm choice' ",5965
2006 ,"'England' ","'England' ","'20' ","'Men' ","'Insurance choice' ",285
2006 ,"'England' ","'England' ","'20' ","'Men' ","'Other main scheme choice' ",630
2006 ,"'England' ","'England' ","'20' ","'Men' ","'Extra' ",80
2006 ,"'England' ","'England' ","'20' ","'Men' ","'Main scheme Clearing' ",745
2006 ,"'England' ","'England' ","'20' ","'Men' ","'Direct Clearing' ",585
2006 ,"'England' ","'England' ","'20' ","'Men' ","'RPA' ",1135
2006 ,"'England' ","'England' ","'20' ","'Women' ","'Firm choice' ",6090
2006 ,"'England' ","'England' ","'20' ","'Women' ","'Insurance choice' ",180
2006 ,"'England' ","'England' ","'20' ","'Women' ","'Other main scheme choice' ",565
2006 ,"'England' ","'England' ","'20' ","'Women' ","'Extra' ",115
2006 ,"'England' ","'England' ","'20' ","'Women' ","'Main scheme Clearing' ",740
2006 ,"'England' ","'England' ","'20' ","'Women' ","'Direct Clearing' ",460
2006 ,"'England' ","'England' ","'20' ","'Women' ","'RPA' ",800
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'Firm choice' ",12195
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'Insurance choice' ",280
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'Other main scheme choice' ",2465
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'Extra' ",105
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",1545
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'Direct Clearing' ",1985
2006 ,"'England' ","'England' ","'21 and over' ","'Men' ","'RPA' ",5200
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'Firm choice' ",19400
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'Insurance choice' ",270
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'Other main scheme choice' ",3120
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'Extra' ",195
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",1845
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'Direct Clearing' ",1740
2006 ,"'England' ","'England' ","'21 and over' ","'Women' ","'RPA' ",4975
2006 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Men' ","'Firm choice' ",5
2006 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Women' ","'Firm choice' ",10
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ","'Firm choice' ",640
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ","'Insurance choice' ",90
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ","'Extra' ",10
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ","'Main scheme Clearing' ",75
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ","'RPA' ",5
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ","'Firm choice' ",865
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ","'Insurance choice' ",135
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ","'Extra' ",15
2006 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ","'Main scheme Clearing' ",100
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ","'Firm choice' ",150
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ","'Insurance choice' ",15
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ","'Other main scheme choice' ",15
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ","'Direct Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'Firm choice' ",195
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'Insurance choice' ",20
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'Extra' ",5
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ","'RPA' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ","'Firm choice' ",80
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ","'Insurance choice' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ","'Other main scheme choice' ",10
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ","'Main scheme Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ","'Direct Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ","'RPA' ",10
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ","'Firm choice' ",75
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ","'Insurance choice' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ","'Main scheme Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ","'RPA' ",5
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Firm choice' ",145
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Insurance choice' ",5
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Other main scheme choice' ",20
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",15
