"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_011_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Firm choice' ",7625
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Insurance choice' ",90
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Other main scheme choice' ",30
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Extra' ",30
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Main scheme Clearing' ",305
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Direct Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'RPA' ",65
2007 ,"'Group A Medicine and Dentistry' ","'EU (excluding UK)' ","'Firm choice' ",210
2007 ,"'Group A Medicine and Dentistry' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Not EU' ","'Firm choice' ",560
2007 ,"'Group A Medicine and Dentistry' ","'Not EU' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Not EU' ","'Other main scheme choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Not EU' ","'Main scheme Clearing' ",55
2007 ,"'Group A Medicine and Dentistry' ","'Not EU' ","'RPA' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Firm choice' ",17925
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Insurance choice' ",1280
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Other main scheme choice' ",840
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Extra' ",395
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Main scheme Clearing' ",2510
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Direct Clearing' ",525
2007 ,"'Group B Subjects allied to Medicine' ","'UK' ","'RPA' ",1305
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Firm choice' ",930
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Insurance choice' ",70
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Other main scheme choice' ",90
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Extra' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",105
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Direct Clearing' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'RPA' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Firm choice' ",770
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Insurance choice' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Other main scheme choice' ",115
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Extra' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Main scheme Clearing' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Direct Clearing' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'RPA' ",90
2007 ,"'Group C Biological Sciences' ","'UK' ","'Firm choice' ",22310
2007 ,"'Group C Biological Sciences' ","'UK' ","'Insurance choice' ",2240
2007 ,"'Group C Biological Sciences' ","'UK' ","'Other main scheme choice' ",745
2007 ,"'Group C Biological Sciences' ","'UK' ","'Extra' ",345
2007 ,"'Group C Biological Sciences' ","'UK' ","'Main scheme Clearing' ",2300
2007 ,"'Group C Biological Sciences' ","'UK' ","'Direct Clearing' ",545
2007 ,"'Group C Biological Sciences' ","'UK' ","'RPA' ",1330
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Firm choice' ",950
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",90
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",95
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",80
