"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (High Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_012_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (High Level) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Firm choice' ",6135
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Insurance choice' ",60
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Other main scheme choice' ",20
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Extra' ",25
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Main scheme Clearing' ",245
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Direct Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'RPA' ",50
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Firm choice' ",435
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Insurance choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Firm choice' ",735
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Main scheme Clearing' ",35
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'RPA' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Firm choice' ",325
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Main scheme Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Firm choice' ",13950
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Insurance choice' ",1050
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Other main scheme choice' ",725
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Extra' ",340
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Main scheme Clearing' ",2190
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Direct Clearing' ",455
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'RPA' ",1185
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Firm choice' ",1140
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Insurance choice' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Other main scheme choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Extra' ",15
