"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_013_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Firm choice' ",110
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Firm choice' ",5060
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Insurance choice' ",75
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Other main scheme choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Extra' ",30
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Main scheme Clearing' ",200
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'RPA' ",15
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Firm choice' ",1210
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Main scheme Clearing' ",60
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'RPA' ",35
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Firm choice' ",220
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Main scheme Clearing' ",20
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'RPA' ",20
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Firm choice' ",1800
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Other main scheme choice' ",20
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Main scheme Clearing' ",80
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Direct Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'RPA' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Firm choice' ",155
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Insurance choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Other main scheme choice' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Extra' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Main scheme Clearing' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'RPA' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Firm choice' ",8570
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Insurance choice' ",925
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Other main scheme choice' ",85
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Extra' ",230
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Main scheme Clearing' ",1290
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Direct Clearing' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'RPA' ",85
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Firm choice' ",3060
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Insurance choice' ",290
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Other main scheme choice' ",120
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Extra' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Main scheme Clearing' ",495
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Direct Clearing' ",65
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'RPA' ",150
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Firm choice' ",1105
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Insurance choice' ",70
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Other main scheme choice' ",70
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Extra' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Main scheme Clearing' ",180
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Direct Clearing' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'RPA' ",125
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Firm choice' ",6740
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Insurance choice' ",100
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Other main scheme choice' ",755
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Extra' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Main scheme Clearing' ",700
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Direct Clearing' ",395
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'RPA' ",1050
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Firm choice' ",250
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Insurance choice' ",30
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Other main scheme choice' ",15
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Extra' ",5
