"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_014_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'Firm choice' ",3645
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'Insurance choice' ",45
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'Extra' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'Main scheme Clearing' ",160
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'RPA' ",50
2007 ,"'Group A Medicine and Dentistry' ","'Women' ","'Firm choice' ",4755
2007 ,"'Group A Medicine and Dentistry' ","'Women' ","'Insurance choice' ",60
2007 ,"'Group A Medicine and Dentistry' ","'Women' ","'Other main scheme choice' ",25
2007 ,"'Group A Medicine and Dentistry' ","'Women' ","'Extra' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Women' ","'Main scheme Clearing' ",205
2007 ,"'Group A Medicine and Dentistry' ","'Women' ","'RPA' ",65
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'Firm choice' ",4280
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'Insurance choice' ",455
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'Other main scheme choice' ",285
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'Extra' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'Main scheme Clearing' ",710
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'Direct Clearing' ",165
2007 ,"'Group B Subjects allied to Medicine' ","'Men' ","'RPA' ",380
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'Firm choice' ",15340
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'Insurance choice' ",945
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'Other main scheme choice' ",765
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'Extra' ",330
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'Main scheme Clearing' ",1980
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'Direct Clearing' ",415
2007 ,"'Group B Subjects allied to Medicine' ","'Women' ","'RPA' ",1065
2007 ,"'Group C Biological Sciences' ","'Men' ","'Firm choice' ",9250
2007 ,"'Group C Biological Sciences' ","'Men' ","'Insurance choice' ",965
2007 ,"'Group C Biological Sciences' ","'Men' ","'Other main scheme choice' ",415
2007 ,"'Group C Biological Sciences' ","'Men' ","'Extra' ",125
2007 ,"'Group C Biological Sciences' ","'Men' ","'Main scheme Clearing' ",935
2007 ,"'Group C Biological Sciences' ","'Men' ","'Direct Clearing' ",305
2007 ,"'Group C Biological Sciences' ","'Men' ","'RPA' ",700
2007 ,"'Group C Biological Sciences' ","'Women' ","'Firm choice' ",14685
2007 ,"'Group C Biological Sciences' ","'Women' ","'Insurance choice' ",1445
2007 ,"'Group C Biological Sciences' ","'Women' ","'Other main scheme choice' ",530
2007 ,"'Group C Biological Sciences' ","'Women' ","'Extra' ",245
2007 ,"'Group C Biological Sciences' ","'Women' ","'Main scheme Clearing' ",1530
2007 ,"'Group C Biological Sciences' ","'Women' ","'Direct Clearing' ",285
2007 ,"'Group C Biological Sciences' ","'Women' ","'RPA' ",770
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'Firm choice' ",895
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'Insurance choice' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'Other main scheme choice' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'Main scheme Clearing' ",65
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'Direct Clearing' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Men' ","'RPA' ",130
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'Firm choice' ",2225
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'Insurance choice' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'Other main scheme choice' ",130
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'Extra' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'Main scheme Clearing' ",145
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'Direct Clearing' ",130
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Women' ","'RPA' ",240
2007 ,"'Group F Physical Sciences' ","'Men' ","'Firm choice' ",7185
2007 ,"'Group F Physical Sciences' ","'Men' ","'Insurance choice' ",780
2007 ,"'Group F Physical Sciences' ","'Men' ","'Other main scheme choice' ",205
2007 ,"'Group F Physical Sciences' ","'Men' ","'Extra' ",40
2007 ,"'Group F Physical Sciences' ","'Men' ","'Main scheme Clearing' ",555
2007 ,"'Group F Physical Sciences' ","'Men' ","'Direct Clearing' ",165
2007 ,"'Group F Physical Sciences' ","'Men' ","'RPA' ",280
2007 ,"'Group F Physical Sciences' ","'Women' ","'Firm choice' ",4900
2007 ,"'Group F Physical Sciences' ","'Women' ","'Insurance choice' ",410
2007 ,"'Group F Physical Sciences' ","'Women' ","'Other main scheme choice' ",165
2007 ,"'Group F Physical Sciences' ","'Women' ","'Extra' ",55
2007 ,"'Group F Physical Sciences' ","'Women' ","'Main scheme Clearing' ",425
2007 ,"'Group F Physical Sciences' ","'Women' ","'Direct Clearing' ",90
2007 ,"'Group F Physical Sciences' ","'Women' ","'RPA' ",230
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'Firm choice' ",2480
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'Insurance choice' ",490
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'Other main scheme choice' ",75
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'Extra' ",35
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'Main scheme Clearing' ",245
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'Direct Clearing' ",65
2007 ,"'Group G Mathematical Sciences' ","'Men' ","'RPA' ",95
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'Firm choice' ",1730
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'Insurance choice' ",300
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'Other main scheme choice' ",45
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'Extra' ",15
