"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_016_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Firm choice' ",6580
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Insurance choice' ",70
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Other main scheme choice' ",25
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Extra' ",30
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Main scheme Clearing' ",225
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Direct Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'RPA' ",65
2007 ,"'A1 - Pre-clinical Medicine' ","'EU (excluding UK)' ","'Firm choice' ",195
2007 ,"'A1 - Pre-clinical Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Firm choice' ",530
2007 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Insurance choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Other main scheme choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Main scheme Clearing' ",50
2007 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'RPA' ",45
2007 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Firm choice' ",1030
2007 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Insurance choice' ",20
2007 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Main scheme Clearing' ",75
2007 ,"'A2 - Pre-clinical Dentistry' ","'EU (excluding UK)' ","'Firm choice' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'Firm choice' ",30
