"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_017_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ",5645
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ",380
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ",670
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ",300
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ",875
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ",85
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ",120
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ",55
2007 ,"'A9 - Others in Medicine and Dentistry' ","'England' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ",2825
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ",150
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ",380
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ",135
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ",2630
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ",240
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ",255
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ",155
2007 ,"'B3 - Complementary Medicine' ","'England' ",925
2007 ,"'B3 - Complementary Medicine' ","'Northern Ireland' ",10
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ",55
2007 ,"'B3 - Complementary Medicine' ","'Wales' ",55
2007 ,"'B4 - Nutrition' ","'England' ",645
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ",85
2007 ,"'B4 - Nutrition' ","'Scotland' ",85
2007 ,"'B4 - Nutrition' ","'Wales' ",30
2007 ,"'B5 - Ophthalmics' ","'England' ",550
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ",55
2007 ,"'B5 - Ophthalmics' ","'Scotland' ",80
2007 ,"'B5 - Ophthalmics' ","'Wales' ",30
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ",660
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ",65
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ",50
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ",55
2007 ,"'B7 - Nursing' ","'England' ",4810
2007 ,"'B7 - Nursing' ","'Northern Ireland' ",405
2007 ,"'B7 - Nursing' ","'Scotland' ",215
2007 ,"'B7 - Nursing' ","'Wales' ",840
2007 ,"'B8 - Medical Technology' ","'England' ",1225
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ",75
2007 ,"'B8 - Medical Technology' ","'Scotland' ",135
2007 ,"'B8 - Medical Technology' ","'Wales' ",95
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ",5425
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ",300
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ",525
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ",300
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ",205
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Northern Ireland' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Scotland' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'England' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'Wales' ",5
2007 ,"'C1 - Biology' ","'England' ",3295
2007 ,"'C1 - Biology' ","'Northern Ireland' ",115
2007 ,"'C1 - Biology' ","'Scotland' ",400
2007 ,"'C1 - Biology' ","'Wales' ",155
2007 ,"'C2 - Botany' ","'England' ",15
2007 ,"'C3 - Zoology' ","'England' ",805
2007 ,"'C3 - Zoology' ","'Northern Ireland' ",20
2007 ,"'C3 - Zoology' ","'Scotland' ",190
2007 ,"'C3 - Zoology' ","'Wales' ",55
2007 ,"'C4 - Genetics' ","'England' ",265
2007 ,"'C4 - Genetics' ","'Northern Ireland' ",10
2007 ,"'C4 - Genetics' ","'Scotland' ",40
2007 ,"'C4 - Genetics' ","'Wales' ",30
2007 ,"'C5 - Microbiology' ","'England' ",170
2007 ,"'C5 - Microbiology' ","'Northern Ireland' ",5
2007 ,"'C5 - Microbiology' ","'Scotland' ",90
2007 ,"'C5 - Microbiology' ","'Wales' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'England' ",7760
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ",210
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ",510
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ",525
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ",1620
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ",30
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ",110
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ",85
2007 ,"'C8 - Psychology' ","'England' ",10280
2007 ,"'C8 - Psychology' ","'Northern Ireland' ",490
2007 ,"'C8 - Psychology' ","'Scotland' ",835
2007 ,"'C8 - Psychology' ","'Wales' ",480
2007 ,"'C9 - Others in Biological Sciences' ","'England' ",525
2007 ,"'C9 - Others in Biological Sciences' ","'Scotland' ",45
2007 ,"'C9 - Others in Biological Sciences' ","'Wales' ",15
2007 ,"'CC - Combinations within Biological Sciences' ","'England' ",455
2007 ,"'CC - Combinations within Biological Sciences' ","'Northern Ireland' ",20
2007 ,"'CC - Combinations within Biological Sciences' ","'Scotland' ",90
2007 ,"'CC - Combinations within Biological Sciences' ","'Wales' ",20
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'England' ",645
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Northern Ireland' ",30
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Scotland' ",105
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Wales' ",30
2007 ,"'D3 - Animal Science' ","'England' ",1210
2007 ,"'D3 - Animal Science' ","'Northern Ireland' ",15
2007 ,"'D3 - Animal Science' ","'Scotland' ",95
2007 ,"'D3 - Animal Science' ","'Wales' ",70
2007 ,"'D4 - Agriculture' ","'England' ",970
2007 ,"'D4 - Agriculture' ","'Northern Ireland' ",90
2007 ,"'D4 - Agriculture' ","'Scotland' ",140
2007 ,"'D4 - Agriculture' ","'Wales' ",55
2007 ,"'D5 - Forestry & arboriculture' ","'England' ",100
2007 ,"'D5 - Forestry & arboriculture' ","'Wales' ",5
2007 ,"'D6 - Food and Beverage studies' ","'England' ",200
2007 ,"'D6 - Food and Beverage studies' ","'Northern Ireland' ",25
2007 ,"'D6 - Food and Beverage studies' ","'Scotland' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Wales' ",10
2007 ,"'D7 - Agricultural Sciences' ","'England' ",25
2007 ,"'D7 - Agricultural Sciences' ","'Scotland' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'England' ",30
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'England' ",60
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Northern Ireland' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Wales' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'England' ",70
2007 ,"'F1 - Chemistry' ","'England' ",2695
2007 ,"'F1 - Chemistry' ","'Northern Ireland' ",85
2007 ,"'F1 - Chemistry' ","'Scotland' ",310
2007 ,"'F1 - Chemistry' ","'Wales' ",125
2007 ,"'F2 - Materials Science' ","'England' ",5
2007 ,"'F2 - Materials Science' ","'Scotland' ",5
2007 ,"'F3 - Physics' ","'England' ",2145
2007 ,"'F3 - Physics' ","'Northern Ireland' ",55
2007 ,"'F3 - Physics' ","'Scotland' ",325
2007 ,"'F3 - Physics' ","'Wales' ",135
2007 ,"'F4 - Forensic and Archaeological Science' ","'England' ",1305
2007 ,"'F4 - Forensic and Archaeological Science' ","'Northern Ireland' ",30
2007 ,"'F4 - Forensic and Archaeological Science' ","'Scotland' ",180
2007 ,"'F4 - Forensic and Archaeological Science' ","'Wales' ",175
2007 ,"'F5 - Astronomy' ","'England' ",70
2007 ,"'F5 - Astronomy' ","'Scotland' ",20
2007 ,"'F5 - Astronomy' ","'Wales' ",5
2007 ,"'F6 - Geology' ","'England' ",975
2007 ,"'F6 - Geology' ","'Northern Ireland' ",10
2007 ,"'F6 - Geology' ","'Scotland' ",130
2007 ,"'F6 - Geology' ","'Wales' ",110
