"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_017_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (High Level),Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ",49310
2007 ,"'A1 - Pre-clinical Medicine' ","'Northern Ireland' ",2480
2007 ,"'A1 - Pre-clinical Medicine' ","'Scotland' ",4360
2007 ,"'A1 - Pre-clinical Medicine' ","'Wales' ",2455
2007 ,"'A2 - Pre-clinical Dentistry' ","'England' ",8005
2007 ,"'A2 - Pre-clinical Dentistry' ","'Northern Ireland' ",525
2007 ,"'A2 - Pre-clinical Dentistry' ","'Scotland' ",600
2007 ,"'A2 - Pre-clinical Dentistry' ","'Wales' ",460
2007 ,"'A9 - Others in Medicine and Dentistry' ","'England' ",60
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Wales' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ",20140
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ",1315
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ",2170
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ",1040
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ",18855
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ",1335
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ",1345
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ",1000
2007 ,"'B3 - Complementary Medicine' ","'England' ",2070
2007 ,"'B3 - Complementary Medicine' ","'Northern Ireland' ",40
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ",115
2007 ,"'B3 - Complementary Medicine' ","'Wales' ",170
2007 ,"'B4 - Nutrition' ","'England' ",3565
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ",675
2007 ,"'B4 - Nutrition' ","'Scotland' ",535
2007 ,"'B4 - Nutrition' ","'Wales' ",135
2007 ,"'B5 - Ophthalmics' ","'England' ",3770
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ",365
2007 ,"'B5 - Ophthalmics' ","'Scotland' ",395
2007 ,"'B5 - Ophthalmics' ","'Wales' ",210
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ",5035
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ",785
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ",345
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ",395
2007 ,"'B7 - Nursing' ","'England' ",44670
2007 ,"'B7 - Nursing' ","'Northern Ireland' ",3330
2007 ,"'B7 - Nursing' ","'Scotland' ",1580
2007 ,"'B7 - Nursing' ","'Wales' ",5540
2007 ,"'B8 - Medical Technology' ","'England' ",7860
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ",560
2007 ,"'B8 - Medical Technology' ","'Scotland' ",665
2007 ,"'B8 - Medical Technology' ","'Wales' ",535
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ",27375
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ",2170
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ",2430
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ",1185
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ",1075
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Northern Ireland' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Scotland' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ",60
2007 ,"'C0 - Biological Sciences: any area of study' ","'England' ",80
2007 ,"'C0 - Biological Sciences: any area of study' ","'Wales' ",5
2007 ,"'C1 - Biology' ","'England' ",18155
2007 ,"'C1 - Biology' ","'Northern Ireland' ",740
2007 ,"'C1 - Biology' ","'Scotland' ",2395
2007 ,"'C1 - Biology' ","'Wales' ",795
2007 ,"'C2 - Botany' ","'England' ",95
2007 ,"'C2 - Botany' ","'Scotland' ",15
2007 ,"'C3 - Zoology' ","'England' ",4695
2007 ,"'C3 - Zoology' ","'Northern Ireland' ",180
2007 ,"'C3 - Zoology' ","'Scotland' ",980
2007 ,"'C3 - Zoology' ","'Wales' ",270
2007 ,"'C4 - Genetics' ","'England' ",1385
2007 ,"'C4 - Genetics' ","'Northern Ireland' ",90
2007 ,"'C4 - Genetics' ","'Scotland' ",180
2007 ,"'C4 - Genetics' ","'Wales' ",115
2007 ,"'C5 - Microbiology' ","'England' ",1120
2007 ,"'C5 - Microbiology' ","'Northern Ireland' ",65
2007 ,"'C5 - Microbiology' ","'Scotland' ",540
2007 ,"'C5 - Microbiology' ","'Wales' ",55
2007 ,"'C6 - Sport and Exercise Science' ","'England' ",41235
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ",1560
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ",2825
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ",2610
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ",9465
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ",285
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ",660
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ",395
2007 ,"'C8 - Psychology' ","'England' ",62070
2007 ,"'C8 - Psychology' ","'Northern Ireland' ",2800
