"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_018_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Firm choice' ",100
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Firm choice' ",4380
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Insurance choice' ",60
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Other main scheme choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Extra' ",25
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Main scheme Clearing' ",155
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'RPA' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Firm choice' ",1080
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Insurance choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Other main scheme choice' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Extra' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Main scheme Clearing' ",45
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'RPA' ",35
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'Firm choice' ",195
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'Main scheme Clearing' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'RPA' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Firm choice' ",1550
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Insurance choice' ",10
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Other main scheme choice' ",20
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Main scheme Clearing' ",65
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Direct Clearing' ",5
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'RPA' ",40
2007 ,"'A2 - Pre-clinical Dentistry' ","'17 and under' ","'Firm choice' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Firm choice' ",675
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Insurance choice' ",20
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Main scheme Clearing' ",45
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'RPA' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Firm choice' ",125
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Main scheme Clearing' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ","'Firm choice' ",25
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ","'Main scheme Clearing' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Firm choice' ",245
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Insurance choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Main scheme Clearing' ",15
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ","'Firm choice' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ","'Main scheme Clearing' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'19' ","'Firm choice' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'21 and over' ","'Firm choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ","'Firm choice' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Firm choice' ",1550
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Insurance choice' ",105
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Extra' ",30
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Main scheme Clearing' ",190
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'RPA' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Firm choice' ",445
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Insurance choice' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Other main scheme choice' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Extra' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Main scheme Clearing' ",45
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Direct Clearing' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'RPA' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Firm choice' ",145
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Insurance choice' ",5
