"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_019_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'Firm choice' ",3190
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'Insurance choice' ",35
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'Extra' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'Main scheme Clearing' ",115
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'RPA' ",45
2007 ,"'A1 - Pre-clinical Medicine' ","'Women' ","'Firm choice' ",4115
2007 ,"'A1 - Pre-clinical Medicine' ","'Women' ","'Insurance choice' ",45
2007 ,"'A1 - Pre-clinical Medicine' ","'Women' ","'Other main scheme choice' ",20
2007 ,"'A1 - Pre-clinical Medicine' ","'Women' ","'Extra' ",15
2007 ,"'A1 - Pre-clinical Medicine' ","'Women' ","'Main scheme Clearing' ",165
2007 ,"'A1 - Pre-clinical Medicine' ","'Women' ","'RPA' ",60
2007 ,"'A2 - Pre-clinical Dentistry' ","'Men' ","'Firm choice' ",450
2007 ,"'A2 - Pre-clinical Dentistry' ","'Men' ","'Insurance choice' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'Men' ","'Main scheme Clearing' ",40
2007 ,"'A2 - Pre-clinical Dentistry' ","'Men' ","'RPA' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Women' ","'Firm choice' ",625
2007 ,"'A2 - Pre-clinical Dentistry' ","'Women' ","'Insurance choice' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'Women' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Women' ","'Main scheme Clearing' ",40
2007 ,"'A2 - Pre-clinical Dentistry' ","'Women' ","'RPA' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Men' ","'Firm choice' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'Women' ","'Firm choice' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'Firm choice' ",890
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'Insurance choice' ",45
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'Other main scheme choice' ",35
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'Extra' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'Main scheme Clearing' ",105
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'Direct Clearing' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Men' ","'RPA' ",40
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'Firm choice' ",2130
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'Insurance choice' ",95
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'Other main scheme choice' ",55
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'Extra' ",35
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'Main scheme Clearing' ",250
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'Direct Clearing' ",40
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Women' ","'RPA' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'Firm choice' ",1090
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'Insurance choice' ",190
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'Other main scheme choice' ",55
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'Extra' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'Main scheme Clearing' ",185
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'Direct Clearing' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Men' ","'RPA' ",55
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'Firm choice' ",1640
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'Insurance choice' ",235
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'Other main scheme choice' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'Extra' ",50
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'Main scheme Clearing' ",250
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'Direct Clearing' ",35
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Women' ","'RPA' ",65
2007 ,"'B3 - Complementary Medicine' ","'Men' ","'Firm choice' ",180
2007 ,"'B3 - Complementary Medicine' ","'Men' ","'Other main scheme choice' ",25
2007 ,"'B3 - Complementary Medicine' ","'Men' ","'Extra' ",5
2007 ,"'B3 - Complementary Medicine' ","'Men' ","'Main scheme Clearing' ",10
2007 ,"'B3 - Complementary Medicine' ","'Men' ","'Direct Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Men' ","'RPA' ",25
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'Firm choice' ",580
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'Insurance choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'Other main scheme choice' ",100
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'Extra' ",15
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'Main scheme Clearing' ",50
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'Direct Clearing' ",50
2007 ,"'B3 - Complementary Medicine' ","'Women' ","'RPA' ",180
2007 ,"'B4 - Nutrition' ","'Men' ","'Firm choice' ",60
2007 ,"'B4 - Nutrition' ","'Men' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Men' ","'Direct Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Women' ","'Firm choice' ",715
2007 ,"'B4 - Nutrition' ","'Women' ","'Insurance choice' ",55
2007 ,"'B4 - Nutrition' ","'Women' ","'Other main scheme choice' ",35
2007 ,"'B4 - Nutrition' ","'Women' ","'Extra' ",15
2007 ,"'B4 - Nutrition' ","'Women' ","'Main scheme Clearing' ",55
2007 ,"'B4 - Nutrition' ","'Women' ","'Direct Clearing' ",25
2007 ,"'B4 - Nutrition' ","'Women' ","'RPA' ",40
2007 ,"'B5 - Ophthalmics' ","'Men' ","'Firm choice' ",180
2007 ,"'B5 - Ophthalmics' ","'Men' ","'Insurance choice' ",15
2007 ,"'B5 - Ophthalmics' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'B5 - Ophthalmics' ","'Men' ","'Extra' ",10
2007 ,"'B5 - Ophthalmics' ","'Men' ","'Main scheme Clearing' ",30
2007 ,"'B5 - Ophthalmics' ","'Men' ","'Direct Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Men' ","'RPA' ",10
2007 ,"'B5 - Ophthalmics' ","'Women' ","'Firm choice' ",405
2007 ,"'B5 - Ophthalmics' ","'Women' ","'Insurance choice' ",40
2007 ,"'B5 - Ophthalmics' ","'Women' ","'Other main scheme choice' ",20
2007 ,"'B5 - Ophthalmics' ","'Women' ","'Extra' ",15
2007 ,"'B5 - Ophthalmics' ","'Women' ","'Main scheme Clearing' ",70
2007 ,"'B5 - Ophthalmics' ","'Women' ","'Direct Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Women' ","'RPA' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Men' ","'Firm choice' ",50
2007 ,"'B6 - Aural and Oral Sciences' ","'Men' ","'Insurance choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Men' ","'Main scheme Clearing' ",10
