"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_01.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ",40
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Women' ",75
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ",2275
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ",3125
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ",615
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ",710
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ",135
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ",125
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ",870
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ",1095
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ",65
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ",195
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ",2415
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ",8820
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ",1190
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ",3070
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ",450
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ",1180
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ",2255
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ",7570
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ",110
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ",260
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ",7145
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ",12090
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ",2520
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ",3200
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ",915
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ",1050
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ",2005
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ",2890
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Men' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ",45
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ",545
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ",1500
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ",200
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ",460
