"Statistic:   Number of Applications"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_03.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex,Number of Applications,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ",690
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Women' ",1050
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ",17795
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ",23980
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ",5590
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ",6140
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ",1535
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ",1610
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ",11005
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ",14110
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ",575
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ",1970
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ",18110
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ",69300
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ",8460
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ",23270
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ",2990
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ",9290
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ",13035
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ",40155
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ",735
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ",1865
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ",45805
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ",78410
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ",13595
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ",18105
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ",4385
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ",5385
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ",8020
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ",11255
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Men' ",85
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ",230
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ",2685
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ",8165
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ",695
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ",2115
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ",315
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ",730
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ",1015
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ",2395
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ",790
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ",565
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ",39255
