"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ","'Firm choice' ",35
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Women' ","'Firm choice' ",75
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ","'Firm choice' ",2140
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ","'Insurance choice' ",25
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ","'Extra' ",15
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ","'Main scheme Clearing' ",80
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ","'Firm choice' ",2920
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ","'Insurance choice' ",50
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ","'Other main scheme choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ","'Extra' ",15
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ","'Main scheme Clearing' ",120
2007 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ","'RPA' ",10
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ","'Firm choice' ",565
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ","'Main scheme Clearing' ",25
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ","'RPA' ",15
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ","'Firm choice' ",645
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ","'Main scheme Clearing' ",35
2007 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ","'RPA' ",20
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ","'Firm choice' ",110
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ","'RPA' ",10
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ","'Firm choice' ",110
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ","'Firm choice' ",795
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ","'Other main scheme choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",40
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ","'RPA' ",20
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ","'Firm choice' ",1010
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",45
2007 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ","'RPA' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ","'Firm choice' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ","'Insurance choice' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ","'RPA' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'Firm choice' ",120
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'Insurance choice' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'Other main scheme choice' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'Extra' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'Direct Clearing' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ","'RPA' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'Firm choice' ",1700
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'Insurance choice' ",270
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'Extra' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'Main scheme Clearing' ",335
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'Direct Clearing' ",15
