"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (Region) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_021_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (Region) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'North East' ","'Firm choice' ",210
2007 ,"'Group A Medicine and Dentistry' ","'North East' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'North East' ","'Main scheme Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'North East' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'Firm choice' ",465
2007 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'RPA' ",15
2007 ,"'Group A Medicine and Dentistry' ","'North West' ","'Firm choice' ",860
2007 ,"'Group A Medicine and Dentistry' ","'North West' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'North West' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'North West' ","'Main scheme Clearing' ",40
2007 ,"'Group A Medicine and Dentistry' ","'North West' ","'RPA' ",10
2007 ,"'Group A Medicine and Dentistry' ","'East Midlands' ","'Firm choice' ",400
2007 ,"'Group A Medicine and Dentistry' ","'East Midlands' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'East Midlands' ","'Main scheme Clearing' ",15
2007 ,"'Group A Medicine and Dentistry' ","'East Midlands' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ","'Firm choice' ",605
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ","'Main scheme Clearing' ",30
2007 ,"'Group A Medicine and Dentistry' ","'West Midlands' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'East of England' ","'Firm choice' ",560
2007 ,"'Group A Medicine and Dentistry' ","'East of England' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'East of England' ","'Main scheme Clearing' ",20
2007 ,"'Group A Medicine and Dentistry' ","'East of England' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'London' ","'Firm choice' ",1430
2007 ,"'Group A Medicine and Dentistry' ","'London' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'London' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'London' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'London' ","'Main scheme Clearing' ",75
2007 ,"'Group A Medicine and Dentistry' ","'London' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South East' ","'Firm choice' ",1035
2007 ,"'Group A Medicine and Dentistry' ","'South East' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South East' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South East' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South East' ","'Main scheme Clearing' ",30
2007 ,"'Group A Medicine and Dentistry' ","'South East' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South West' ","'Firm choice' ",565
2007 ,"'Group A Medicine and Dentistry' ","'South West' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South West' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'South West' ","'Main scheme Clearing' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Firm choice' ",325
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Main scheme Clearing' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Firm choice' ",735
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Main scheme Clearing' ",35
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'RPA' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Firm choice' ",435
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Insurance choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'Firm choice' ",775
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'Insurance choice' ",45
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'Other main scheme choice' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'Extra' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'Main scheme Clearing' ",105
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'Direct Clearing' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'North East' ","'RPA' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'Firm choice' ",1350
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'Insurance choice' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'Other main scheme choice' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'Extra' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",190
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'Direct Clearing' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'Yorkshire and The Humber' ","'RPA' ",105
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'Firm choice' ",2450
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'Insurance choice' ",160
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'Other main scheme choice' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'Extra' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'Main scheme Clearing' ",400
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'Direct Clearing' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'North West' ","'RPA' ",255
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'Firm choice' ",1085
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'Insurance choice' ",85
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'Other main scheme choice' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'Extra' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'Main scheme Clearing' ",160
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'Direct Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'East Midlands' ","'RPA' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'Firm choice' ",1590
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'Insurance choice' ",145
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'Other main scheme choice' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'Extra' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'Main scheme Clearing' ",280
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'Direct Clearing' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'West Midlands' ","'RPA' ",140
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'Firm choice' ",1205
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'Insurance choice' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'Other main scheme choice' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'Extra' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'Main scheme Clearing' ",150
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'Direct Clearing' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'East of England' ","'RPA' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'Firm choice' ",2180
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'Insurance choice' ",290
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'Other main scheme choice' ",180
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'Extra' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'Main scheme Clearing' ",575
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'Direct Clearing' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'London' ","'RPA' ",275
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'Firm choice' ",1895
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'Insurance choice' ",115
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'Other main scheme choice' ",105
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'Extra' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'Main scheme Clearing' ",195
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'Direct Clearing' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'South East' ","'RPA' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'Firm choice' ",1400
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'Insurance choice' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'Other main scheme choice' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'Extra' ",30
