"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Ethnic Group (Summary Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_022_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Ethnic Group (Summary Level) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'Firm choice' ",1725
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'Insurance choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'Main scheme Clearing' ",110
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'RPA' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Black' ","'Firm choice' ",180
2007 ,"'Group A Medicine and Dentistry' ","'Black' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Black' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Mixed' ","'Firm choice' ",275
2007 ,"'Group A Medicine and Dentistry' ","'Mixed' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'Firm choice' ",5215
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'Insurance choice' ",70
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'Other main scheme choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'Extra' ",20
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'Main scheme Clearing' ",165
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'Direct Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'White' ","'RPA' ",20
2007 ,"'Group A Medicine and Dentistry' ","'Other' ","'Firm choice' ",140
2007 ,"'Group A Medicine and Dentistry' ","'Other' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Other' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Unknown' ","'Firm choice' ",90
2007 ,"'Group A Medicine and Dentistry' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Unknown' ","'RPA' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'Firm choice' ",2240
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'Insurance choice' ",405
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'Other main scheme choice' ",105
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'Extra' ",90
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'Main scheme Clearing' ",735
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'Direct Clearing' ",85
2007 ,"'Group B Subjects allied to Medicine' ","'Asian' ","'RPA' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'Firm choice' ",1050
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'Insurance choice' ",145
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'Other main scheme choice' ",110
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'Extra' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'Main scheme Clearing' ",290
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'Direct Clearing' ",55
