"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Disability Indicator , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_023_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Disability Indicator , Acceptance Route,Number of Acceptances,
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Firm choice' ",335
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Insurance choice' ",5
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'RPA' ",5
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Firm choice' ",7540
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Insurance choice' ",65
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Other main scheme choice' ",15
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Extra' ",20
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Main scheme Clearing' ",165
2010 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'RPA' ",60
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Firm choice' ",2185
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Insurance choice' ",95
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Other main scheme choice' ",115
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Extra' ",35
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Main scheme Clearing' ",175
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Direct Clearing' ",45
2010 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'RPA' ",80
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Firm choice' ",35285
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Insurance choice' ",1935
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Other main scheme choice' ",1510
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Extra' ",850
