"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Provider Country 2016 , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_025_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Provider Country 2016 , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Firm choice' ",6715
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Insurance choice' ",80
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Other main scheme choice' ",30
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Extra' ",25
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Main scheme Clearing' ",250
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Direct Clearing' ",5
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'RPA' ",75
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Firm choice' ",290
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Northern Ireland' ","'RPA' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Firm choice' ",990
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Insurance choice' ",15
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Extra' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'Main scheme Clearing' ",70
2007 ,"'Group A Medicine and Dentistry' ","'Scotland' ","'RPA' ",30
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Firm choice' ",400
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'Group A Medicine and Dentistry' ","'Wales' ","'Main scheme Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Firm choice' ",15265
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Insurance choice' ",1195
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Other main scheme choice' ",895
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Extra' ",380
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Main scheme Clearing' ",2420
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'Direct Clearing' ",500
2007 ,"'Group B Subjects allied to Medicine' ","'England' ","'RPA' ",1305
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Firm choice' ",840
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Insurance choice' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Other main scheme choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Extra' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Main scheme Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Direct Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Firm choice' ",1950
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Insurance choice' ",115
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Other main scheme choice' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Extra' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Main scheme Clearing' ",135
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Direct Clearing' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'RPA' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Firm choice' ",1565
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Insurance choice' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Other main scheme choice' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Extra' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Main scheme Clearing' ",100
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Direct Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'RPA' ",65
2007 ,"'Group C Biological Sciences' ","'England' ","'Firm choice' ",19205
2007 ,"'Group C Biological Sciences' ","'England' ","'Insurance choice' ",1925
2007 ,"'Group C Biological Sciences' ","'England' ","'Other main scheme choice' ",780
2007 ,"'Group C Biological Sciences' ","'England' ","'Extra' ",305
2007 ,"'Group C Biological Sciences' ","'England' ","'Main scheme Clearing' ",2030
2007 ,"'Group C Biological Sciences' ","'England' ","'Direct Clearing' ",480
2007 ,"'Group C Biological Sciences' ","'England' ","'RPA' ",1225
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Firm choice' ",475
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Insurance choice' ",70
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Extra' ",10
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",65
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Direct Clearing' ",20
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Firm choice' ",2330
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Insurance choice' ",260
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Other main scheme choice' ",110
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Extra' ",35
