"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Age Band , Sex , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_026_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Sex,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Men' ",40
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Women' ",70
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Men' ",1970
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ","'Women' ",2675
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Men' ",550
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ","'Women' ",625
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'Men' ",120
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ","'Women' ",110
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Men' ",740
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ","'Women' ",945
2007 ,"'A2 - Pre-clinical Dentistry' ","'17 and under' ","'Women' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Men' ",300
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ","'Women' ",445
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Men' ",65
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ","'Women' ",80
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ","'Men' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ","'Women' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Men' ",125
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ","'Women' ",145
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ","'Men' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ","'Women' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'21 and over' ","'Women' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ","'Men' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ","'Women' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Men' ",520
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Women' ",1370
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Men' ",180
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Women' ",390
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Men' ",70
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Women' ",115
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Men' ",385
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Women' ",795
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Men' ",30
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Women' ",55
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Men' ",730
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Women' ",1220
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Men' ",410
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Women' ",490
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Men' ",110
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Women' ",155
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Men' ",345
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Women' ",445
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Men' ",25
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Women' ",185
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Men' ",20
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Women' ",120
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Men' ",20
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Women' ",70
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Men' ",185
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Women' ",600
2007 ,"'B4 - Nutrition' ","'17 and under' ","'Women' ",20
2007 ,"'B4 - Nutrition' ","'18' ","'Men' ",25
2007 ,"'B4 - Nutrition' ","'18' ","'Women' ",390
2007 ,"'B4 - Nutrition' ","'19' ","'Men' ",15
2007 ,"'B4 - Nutrition' ","'19' ","'Women' ",115
2007 ,"'B4 - Nutrition' ","'20' ","'Men' ",10
2007 ,"'B4 - Nutrition' ","'20' ","'Women' ",60
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Men' ",35
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Women' ",350
2007 ,"'B5 - Ophthalmics' ","'17 and under' ","'Women' ",10
2007 ,"'B5 - Ophthalmics' ","'18' ","'Men' ",100
2007 ,"'B5 - Ophthalmics' ","'18' ","'Women' ",305
2007 ,"'B5 - Ophthalmics' ","'19' ","'Men' ",65
2007 ,"'B5 - Ophthalmics' ","'19' ","'Women' ",90
2007 ,"'B5 - Ophthalmics' ","'20' ","'Men' ",10
2007 ,"'B5 - Ophthalmics' ","'20' ","'Women' ",30
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Men' ",85
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Women' ",115
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Men' ",35
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Women' ",420
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Men' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Women' ",120
2007 ,"'B6 - Aural and Oral Sciences' ","'20' ","'Women' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Men' ",30
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Women' ",240
2007 ,"'B7 - Nursing' ","'17 and under' ","'Women' ",20
2007 ,"'B7 - Nursing' ","'18' ","'Men' ",65
2007 ,"'B7 - Nursing' ","'18' ","'Women' ",2330
2007 ,"'B7 - Nursing' ","'19' ","'Men' ",50
2007 ,"'B7 - Nursing' ","'19' ","'Women' ",785
2007 ,"'B7 - Nursing' ","'20' ","'Men' ",30
2007 ,"'B7 - Nursing' ","'20' ","'Women' ",310
2007 ,"'B7 - Nursing' ","'21 and over' ","'Men' ",260
2007 ,"'B7 - Nursing' ","'21 and over' ","'Women' ",2580
2007 ,"'B8 - Medical Technology' ","'17 and under' ","'Women' ",10
2007 ,"'B8 - Medical Technology' ","'18' ","'Men' ",115
2007 ,"'B8 - Medical Technology' ","'18' ","'Women' ",465
2007 ,"'B8 - Medical Technology' ","'19' ","'Men' ",60
2007 ,"'B8 - Medical Technology' ","'19' ","'Women' ",165
2007 ,"'B8 - Medical Technology' ","'20' ","'Men' ",25
2007 ,"'B8 - Medical Technology' ","'20' ","'Women' ",70
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Men' ",245
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Women' ",460
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'Men' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'Women' ",55
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Men' ",775
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Women' ",2075
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Men' ",365
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Women' ",755
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Men' ",160
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Women' ",325
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Men' ",670
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Women' ",1920
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Men' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Women' ",65
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Men' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Women' ",40
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ","'Men' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ","'Women' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Men' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Women' ",55
2007 ,"'C0 - Biological Sciences: any area of study' ","'18' ","'Women' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'19' ","'Men' ",5
2007 ,"'C1 - Biology' ","'17 and under' ","'Men' ",20
2007 ,"'C1 - Biology' ","'17 and under' ","'Women' ",50
2007 ,"'C1 - Biology' ","'18' ","'Men' ",1135
2007 ,"'C1 - Biology' ","'18' ","'Women' ",1625
2007 ,"'C1 - Biology' ","'19' ","'Men' ",315
2007 ,"'C1 - Biology' ","'19' ","'Women' ",435
2007 ,"'C1 - Biology' ","'20' ","'Men' ",105
2007 ,"'C1 - Biology' ","'20' ","'Women' ",135
2007 ,"'C1 - Biology' ","'21 and over' ","'Men' ",255
2007 ,"'C1 - Biology' ","'21 and over' ","'Women' ",320
2007 ,"'C2 - Botany' ","'18' ","'Men' ",5
2007 ,"'C2 - Botany' ","'18' ","'Women' ",5
2007 ,"'C2 - Botany' ","'19' ","'Men' ",5
2007 ,"'C2 - Botany' ","'21 and over' ","'Women' ",5
2007 ,"'C3 - Zoology' ","'17 and under' ","'Men' ",5
2007 ,"'C3 - Zoology' ","'17 and under' ","'Women' ",10
2007 ,"'C3 - Zoology' ","'18' ","'Men' ",255
2007 ,"'C3 - Zoology' ","'18' ","'Women' ",455
2007 ,"'C3 - Zoology' ","'19' ","'Men' ",65
2007 ,"'C3 - Zoology' ","'19' ","'Women' ",125
2007 ,"'C3 - Zoology' ","'20' ","'Men' ",15
2007 ,"'C3 - Zoology' ","'20' ","'Women' ",40
2007 ,"'C3 - Zoology' ","'21 and over' ","'Men' ",50
2007 ,"'C3 - Zoology' ","'21 and over' ","'Women' ",105
2007 ,"'C4 - Genetics' ","'17 and under' ","'Men' ",5
2007 ,"'C4 - Genetics' ","'17 and under' ","'Women' ",10
2007 ,"'C4 - Genetics' ","'18' ","'Men' ",115
2007 ,"'C4 - Genetics' ","'18' ","'Women' ",175
2007 ,"'C4 - Genetics' ","'19' ","'Men' ",30
2007 ,"'C4 - Genetics' ","'19' ","'Women' ",50
2007 ,"'C4 - Genetics' ","'20' ","'Men' ",5
2007 ,"'C4 - Genetics' ","'20' ","'Women' ",15
2007 ,"'C4 - Genetics' ","'21 and over' ","'Men' ",15
2007 ,"'C4 - Genetics' ","'21 and over' ","'Women' ",30
2007 ,"'C5 - Microbiology' ","'17 and under' ","'Men' ",5
2007 ,"'C5 - Microbiology' ","'17 and under' ","'Women' ",10
2007 ,"'C5 - Microbiology' ","'18' ","'Men' ",95
2007 ,"'C5 - Microbiology' ","'18' ","'Women' ",100
2007 ,"'C5 - Microbiology' ","'19' ","'Men' ",25
2007 ,"'C5 - Microbiology' ","'19' ","'Women' ",15
2007 ,"'C5 - Microbiology' ","'20' ","'Men' ",10
2007 ,"'C5 - Microbiology' ","'20' ","'Women' ",15
2007 ,"'C5 - Microbiology' ","'21 and over' ","'Men' ",30
2007 ,"'C5 - Microbiology' ","'21 and over' ","'Women' ",45
2007 ,"'C6 - Sport and Exercise Science' ","'17 and under' ","'Men' ",20
2007 ,"'C6 - Sport and Exercise Science' ","'17 and under' ","'Women' ",15
2007 ,"'C6 - Sport and Exercise Science' ","'18' ","'Men' ",3355
2007 ,"'C6 - Sport and Exercise Science' ","'18' ","'Women' ",2010
2007 ,"'C6 - Sport and Exercise Science' ","'19' ","'Men' ",1350
2007 ,"'C6 - Sport and Exercise Science' ","'19' ","'Women' ",555
2007 ,"'C6 - Sport and Exercise Science' ","'20' ","'Men' ",515
2007 ,"'C6 - Sport and Exercise Science' ","'20' ","'Women' ",180
2007 ,"'C6 - Sport and Exercise Science' ","'21 and over' ","'Men' ",880
2007 ,"'C6 - Sport and Exercise Science' ","'21 and over' ","'Women' ",375
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'17 and under' ","'Men' ",25
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'17 and under' ","'Women' ",35
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'18' ","'Men' ",620
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'18' ","'Women' ",765
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'19' ","'Men' ",185
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'19' ","'Women' ",210
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'20' ","'Men' ",55
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'20' ","'Women' ",60
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'21 and over' ","'Men' ",100
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'21 and over' ","'Women' ",95
2007 ,"'C8 - Psychology' ","'17 and under' ","'Men' ",20
2007 ,"'C8 - Psychology' ","'17 and under' ","'Women' ",110
2007 ,"'C8 - Psychology' ","'18' ","'Men' ",1260
2007 ,"'C8 - Psychology' ","'18' ","'Women' ",6540
2007 ,"'C8 - Psychology' ","'19' ","'Men' ",435
2007 ,"'C8 - Psychology' ","'19' ","'Women' ",1660
2007 ,"'C8 - Psychology' ","'20' ","'Men' ",170
2007 ,"'C8 - Psychology' ","'20' ","'Women' ",565
2007 ,"'C8 - Psychology' ","'21 and over' ","'Men' ",585
2007 ,"'C8 - Psychology' ","'21 and over' ","'Women' ",1780
2007 ,"'C9 - Others in Biological Sciences' ","'17 and under' ","'Men' ",5
2007 ,"'C9 - Others in Biological Sciences' ","'17 and under' ","'Women' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'18' ","'Men' ",125
2007 ,"'C9 - Others in Biological Sciences' ","'18' ","'Women' ",195
2007 ,"'C9 - Others in Biological Sciences' ","'19' ","'Men' ",50
2007 ,"'C9 - Others in Biological Sciences' ","'19' ","'Women' ",75
2007 ,"'C9 - Others in Biological Sciences' ","'20' ","'Men' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'20' ","'Women' ",30
2007 ,"'C9 - Others in Biological Sciences' ","'21 and over' ","'Men' ",60
2007 ,"'C9 - Others in Biological Sciences' ","'21 and over' ","'Women' ",90
2007 ,"'CC - Combinations within Biological Sciences' ","'17 and under' ","'Men' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'17 and under' ","'Women' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'18' ","'Men' ",190
2007 ,"'CC - Combinations within Biological Sciences' ","'18' ","'Women' ",210
2007 ,"'CC - Combinations within Biological Sciences' ","'19' ","'Men' ",55
2007 ,"'CC - Combinations within Biological Sciences' ","'19' ","'Women' ",65
2007 ,"'CC - Combinations within Biological Sciences' ","'20' ","'Men' ",20
2007 ,"'CC - Combinations within Biological Sciences' ","'20' ","'Women' ",20
2007 ,"'CC - Combinations within Biological Sciences' ","'21 and over' ","'Men' ",25
2007 ,"'CC - Combinations within Biological Sciences' ","'21 and over' ","'Women' ",45
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'17 and under' ","'Women' ",10
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'18' ","'Men' ",120
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'18' ","'Women' ",460
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'19' ","'Men' ",20
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'19' ","'Women' ",60
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'20' ","'Men' ",10
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'20' ","'Women' ",5
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'21 and over' ","'Men' ",50
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'21 and over' ","'Women' ",205
2007 ,"'D3 - Animal Science' ","'17 and under' ","'Women' ",10
2007 ,"'D3 - Animal Science' ","'18' ","'Men' ",90
2007 ,"'D3 - Animal Science' ","'18' ","'Women' ",630
2007 ,"'D3 - Animal Science' ","'19' ","'Men' ",40
2007 ,"'D3 - Animal Science' ","'19' ","'Women' ",235
2007 ,"'D3 - Animal Science' ","'20' ","'Men' ",25
2007 ,"'D3 - Animal Science' ","'20' ","'Women' ",105
2007 ,"'D3 - Animal Science' ","'21 and over' ","'Men' ",65
2007 ,"'D3 - Animal Science' ","'21 and over' ","'Women' ",255
2007 ,"'D4 - Agriculture' ","'17 and under' ","'Men' ",15
2007 ,"'D4 - Agriculture' ","'17 and under' ","'Women' ",10
2007 ,"'D4 - Agriculture' ","'18' ","'Men' ",275
2007 ,"'D4 - Agriculture' ","'18' ","'Women' ",260
2007 ,"'D4 - Agriculture' ","'19' ","'Men' ",110
2007 ,"'D4 - Agriculture' ","'19' ","'Women' ",115
2007 ,"'D4 - Agriculture' ","'20' ","'Men' ",50
2007 ,"'D4 - Agriculture' ","'20' ","'Women' ",65
2007 ,"'D4 - Agriculture' ","'21 and over' ","'Men' ",205
2007 ,"'D4 - Agriculture' ","'21 and over' ","'Women' ",225
2007 ,"'D5 - Forestry & arboriculture' ","'18' ","'Men' ",20
2007 ,"'D5 - Forestry & arboriculture' ","'18' ","'Women' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'19' ","'Men' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'20' ","'Men' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'21 and over' ","'Men' ",55
2007 ,"'D5 - Forestry & arboriculture' ","'21 and over' ","'Women' ",10
2007 ,"'D6 - Food and Beverage studies' ","'17 and under' ","'Women' ",10
2007 ,"'D6 - Food and Beverage studies' ","'18' ","'Men' ",30
2007 ,"'D6 - Food and Beverage studies' ","'18' ","'Women' ",85
2007 ,"'D6 - Food and Beverage studies' ","'19' ","'Men' ",15
2007 ,"'D6 - Food and Beverage studies' ","'19' ","'Women' ",25
2007 ,"'D6 - Food and Beverage studies' ","'20' ","'Men' ",20
2007 ,"'D6 - Food and Beverage studies' ","'20' ","'Women' ",15
2007 ,"'D6 - Food and Beverage studies' ","'21 and over' ","'Men' ",70
2007 ,"'D6 - Food and Beverage studies' ","'21 and over' ","'Women' ",60
2007 ,"'D7 - Agricultural Sciences' ","'18' ","'Women' ",15
2007 ,"'D7 - Agricultural Sciences' ","'19' ","'Men' ",5
2007 ,"'D7 - Agricultural Sciences' ","'19' ","'Women' ",5
